"rownum","Id","StashId","Id2","i32","i32","i32","Icon"
0,"NormalStash",0,"NormalStash",12,12,56,"Art/2DArt/UIImages/InGame/MTX/BlankTabIcon"
1,"PremiumStash",1,"PremiumStash",12,12,56,"Art/2DArt/UIImages/InGame/MTX/PremiumTabIcon"
2,"TradeStash",2,"TradeStash",12,12,56,"Art/2DArt/UIImages/InGame/MTX/BlankTabIcon"
3,"CurrencyStash",3,"CurrencyStash",104,4,18,"Art/2DArt/UIImages/InGame/MTX/CurrencyTabIcon"
4,"UniqueStash",4,"UniqueStash",246,4,24,"Art/2DArt/UIImages/InGame/MTX/UniqueTabIcon"
5,"MapStash",5,"MapStash",12,6,23,"Art/2DArt/UIImages/InGame/MTX/MapTabIcon"
6,"DivinationCardStash",6,"DivinationCardStash",255,2,20,"Art/2DArt/UIImages/InGame/MTX/DivinationTabIcon"
7,"QuadStash",7,"QuadStash",24,24,56,"Art/2DArt/UIImages/InGame/MTX/QuadTabIcon"
8,"EssenceStash",8,"EssenceStash",110,4,21,"Art/2DArt/UIImages/InGame/MTX/EssenceTabIcon"
9,"FragmentStash",9,"FragmentStash",152,3,22,"Art/2DArt/UIImages/InGame/MTX/FragmentTabIcon"
10,"PCBangPremiumStash",10,"PCBangPremiumStash",12,12,56,"Art/2DArt/UIImages/InGame/MTX/PremiumTabIcon"
11,"PCBangEssenceStash",11,"PCBangEssenceStash",110,4,21,"Art/2DArt/UIImages/InGame/MTX/EssenceTabIcon"
12,"DelveStash",12,"DelveStash",41,4,27,"Art/2DArt/UIImages/InGame/MTX/DelveTabIcon"
13,"BlightStash",13,"BlightStash",82,4,31,"Art/2DArt/UIImages/InGame/MTX/BlightTabIcon"
14,"MetamorphStash",14,"MetamorphStash",62,5,33,"Art/2DArt/UIImages/InGame/MTX/MetamorphTabIcon"
15,"DeliriumStash",15,"DeliriumStash",88,1,30,"Art/2DArt/UIImages/InGame/MTX/DeliriumTabIcon"
16,"Folder",16,"Folder",0,0,56,"Art/2DArt/UIImages/InGame/MTX/StashFolderTabIcon"
17,"FlaskStash",17,"FlaskStash",250,4,46,"Art/2DArt/UIImages/InGame/MTX/FlaskStash"
18,"GemStash",18,"GemStash",250,2,47,"Art/2DArt/UIImages/InGame/MTX/GemStash"
