"rownum","MTX","TierThresholds","rid","[i32]","rid","TierCount","[rid]","[i32]","[i32]","bool","bool","rid"
0,3802,"[0,10000,500000,2000000]",16264,[],"",4,[],[],[],1,"",""
1,3810,"[0,150,500,1000,1500]",572,[],573,5,[],[],[],"","",""
2,3809,"[0,150,500,1000,1500]",575,[],576,5,[],[],[],"","",""
3,3873,"[74,75]",306,[],146,2,[],[],[],"","",""
4,3872,"[74,75]",307,[],144,2,[],[],[],"","",""
5,3874,"[74,75]",308,[],148,2,[],[],[],"","",""
6,3875,"[74,75]",16176,[],141,2,[],[],[],"","",""
7,3814,"[0,25,50,100,200,250,325]",242,[],177,7,[],[],[],"","",""
8,3815,"[0,25,50,100,200,250,325]",242,[],177,7,[],[],[],"","",""
9,3816,"[0,25,50,100,200,250,325]",242,[],177,7,[],[],[],"","",""
10,3817,"[0,25,50,100,200,250,325]",242,[],177,7,[],[],[],"","",""
11,3818,"[0,25,50,100,200,250,325]",242,[],177,7,[],[],[],"","",""
12,3828,"[0,1,3,7,13,25,30]",16332,[],"",7,[],[],[],"","",""
13,3829,"[0,1,3,7,13,25,30]",16332,[],"",7,[],[],[],"","",""
14,3830,"[0,1,3,7,13,25,30]",16332,[],"",7,[],[],[],"","",""
15,3831,"[0,1,3,7,13,25,30]",16332,[],"",7,[],[],[],"","",""
16,3832,"[0,1,3,7,13,25,30]",16332,[],"",7,[],[],[],"","",""
17,3819,"[0,20,30]",16330,[],"",3,[],[],[],"","",""
18,3820,"[0,20,30]",16330,[],"",3,[],[],[],"","",""
19,3821,"[0,20,30]",16330,[],"",3,[],[],[],"","",""
20,3822,"[0,20,30]",16330,[],"",3,[],[],[],"","",""
21,3844,"[0,1,3,5,7,9,11,12]",16408,[],"",8,[],[],[],"","",""
22,3845,"[0,1,3,5,7,9,11,12]",16408,[],"",8,[],[],[],"","",""
23,3846,"[0,1,3,5,7,9,11,12]",16408,[],"",8,[],[],[],"","",""
24,3847,"[0,1,3,5,7,9,11,12]",16408,[],"",8,[],[],[],"","",""
25,3864,"[0,1,5,10]",16384,[],"",4,[],[],[],"","",""
26,3865,"[0,1,5,10]",16384,[],"",4,[],[],[],"","",""
27,3866,"[0,1,5,10]",16384,[],"",4,[],[],[],"","",""
28,3867,"[0,1,5,10]",16384,[],"",4,[],[],[],"","",""
29,3840,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[],1,"",""
30,3841,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[],1,"",""
