"rownum","ScarabType","Tier","BaseItemTypesKey"
0,0,1,9410
1,0,2,9411
2,0,3,9412
3,0,4,9413
4,1,1,9398
5,1,2,9399
6,1,3,9400
7,1,4,9401
8,2,1,9402
9,2,2,9403
10,2,3,9404
11,2,4,9405
12,3,1,9406
13,3,2,9407
14,3,3,9408
15,3,4,9409
16,4,1,9418
17,4,2,9419
18,4,3,9420
19,4,4,9421
20,5,1,9422
21,5,2,9423
22,5,3,9424
23,5,4,9425
24,6,1,9430
25,6,2,9431
26,6,3,9432
27,6,4,9433
28,7,1,9434
29,7,2,9435
30,7,3,9436
31,7,4,9437
32,8,1,9438
33,8,2,9439
34,8,3,9440
35,8,4,9441
36,9,1,9442
37,9,2,9443
38,9,3,9444
39,9,4,9445
40,10,1,9446
41,10,2,9447
42,10,3,9448
43,10,4,9449
44,11,1,9450
45,11,2,9451
46,11,3,9452
47,11,4,9453
48,12,1,9454
49,12,2,9455
50,12,3,9456
51,12,4,9457
52,13,1,9426
53,13,2,9427
54,13,3,9428
55,13,4,9429
56,14,1,9458
57,14,2,9459
58,14,3,9460
59,14,4,9461
60,15,1,9462
61,15,2,9463
62,15,3,9464
63,15,4,9465
