"rownum","Id","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)"
0,"AccountNameAlreadyExists","An account with this name already exists.","Ce nom de compte est déjà utilisé.","Es existiert bereits ein Konto mit diesem Namen.","この名前のアカウントは既に存在しています。","동일한 이름을 사용하는 계정이 이미 존재합니다.","Já existe uma conta com este nome.","Аккаунт с таким именем уже существует","Ya existe una cuenta con este nombre.","มีบัญชีที่ใช้ชื่อนี้อยู่แล้ว","此帳號已經存在。"
1,"AccountNameInvalid","Account name must be at least 3 characters in length and is restricted to the characters a-z, 0-9 and _","Le nom du compte doit comporter au moins 3 caractères. Seuls les caractères a-z, 0-9 et _ sont autorisés.","Der Kontoname muss mindestens 3 Zeichen enthalten. Es dürfen nur die Zeichen a–z, 0–9 und _ verwendet werden.","アカウント名は最低3文字でa-z、0-9、_の文字のみ使用可能です。","계정 이름은 한글, 영문, 숫자, _ 를 사용할 수 있으며, 3글자 이상 입력 가능합니다.","O nome da conta deve ter no mínimo 3 caracteres e está restrito aos caracteres de a-z, 0-9 e _","Имя аккаунта должно содержать по меньшей мере 3 символа, включая a-z, 0-9 и _","El nombre de la cuenta debe tener al menos 3 caracteres y está restringido a los caracteres a-z, 0-9 y _","ชื่อบัญชีต้องมีความยาวอย่างน้อย 3 ตัวอักษร และใช้ได้เพียงตัวอักษร a-z, 0-9 และ _","帳號長度必須大於三個字元且須由英文、數字與底線組成。"
2,"EmailInvalid","This is not a valid email address.","Cette adresse mail n'est pas valide.","Ungültige E-Mail-Adresse.","不正なメールアドレスです。","유효한 이메일 주소가 아닙니다.","Endereço de e-mail inválido.","Данный адрес электронной почты не существует.","Esta no es una dirección de correo electrónico válida.","อีเมลไม่ถูกต้อง","無效的電子郵件地址。"
3,"EmailAlreadyExists","An account with this email address already exists.","Un compte associé à cette adresse mail existe déjà.","Es existiert bereits ein Konto mit dieser E-Mail-Adresse.","このメールアドレスのアカウントは既に存在しています。","동일한 이메일을 사용하는 계정이 이미 존재합니다.","Já existe uma conta com este endereço de e-mail.","Аккаунт с таким адресом электронной почты уже существует.","Ya existe una cuenta con este correo electrónico.","มีบัญชีที่ใช้อีเมลนี้แล้ว","該電子郵件已經與帳號綁定。"
4,"AccountDoesNotExist","The specified account does not exist.","Le compte indiqué n'existe pas.","Das angegebene Konto existiert nicht.","指定されたアカウントは存在していません。","존재하지 않는 계정입니다.","A conta especificada não existe.","Данный аккаунт не существует.","La cuenta especificada no existe.","ไม่มีบัญชีที่ระบุ","該帳號不存在。"
5,"InvalidPassword","The password is not correct for this account.","Le mot de passe est incorrect pour ce compte.","Das Passwort stimmt nicht mit diesem Konto überein.","アカウントのパスワードが間違っています。","비밀번호가 계정과 일치하지 않습니다.","Senha incorreta para esta conta.","Вы указали неверный пароль.","La contraseña es incorrecta para esta cuenta.","รหัสผ่านสำหรับบัญชีนี้ไม่ถูกต้อง","密碼錯誤。"
6,"AlreadyLoggedOn","The operation could not be completed because this account was already logged on by someone else.","L'opération n'a pas pu aboutir car quelqu'un d'autre est déjà connecté avec ce compte.","Dieser Vorgang konnte nicht abgeschlossen werden, da sich ein anderer Benutzer über dieses Konto angemeldet hat.","このアカウントには既に何者かがログインしているため、処理を完了できませんでした。","다른 사람이 로그인하고 있기 때문에 해당 작업을 완료할 수 없습니다.","A operação não pode ser concluída porque esta conta já foi acessada por outra pessoa.","Операция не может быть выполнена, поскольку аккаунт уже авторизован в игре из другого места.","La operación no se pudo completar porque esta cuenta ya tiene una sesión iniciada por otra persona.","ไม่สามารถดำเนินการให้เสร็จสิ้นได้ เนื่องจากมีผู้อื่นล็อกอินบัญชีนี้อยู่","操作失敗，該帳戶目前登入中。"
7,"InvalidProtocolVersion","There has been a patch that you need to update to. Please restart Path of Exile.","Une nouvelle version du jeu est sortie. Veuillez redémarrer Path of Exile pour l'installer.","Ein Patch zur Aktualisierung ist verfügbar. Bitte starte Path of Exile neu.","更新の必要なパッチがあります。Path of Exileを再起動してください。","업데이트 내역에 패치가 있습니다. 패스 오브 엑자일을 재시작해 주십시오.","Há uma atualização obrigatória para você. Por favor, reinicie o Path of Exile.","Выпущен новый патч игры, необходимо обновление. Пожалуйста, перезапустите Path of Exile.","Hay un parche nuevo para descargar. Reinicia Path of Exile.","มีแพทช์ที่คุณต้องอัพเดท กรุณารีสตาร์ท Path of Exile ใหม่","我們已經釋出新的版本，請重啟流亡黯道來進行更新。"
8,"NotAllowedGameLogin","Access to the game is not currently enabled on this account.","Ce compte n'est pas autorisé à accéder au jeu pour le moment.","Dieses Konto kann zurzeit leider nicht auf das Spiel zugreifen.","このアカウントは現在ゲームへのアクセスが停止されています。","해당 계정으로는 게임에 접속할 수 없습니다.","O acesso ao jogo está desabilitado para esta conta no momento.","В настоящее время доступ в игру для данного аккаунта закрыт.","El acceso al juego no está habilitado actualmente en esta cuenta.","ไม่ได้เปิดใช้งานการเข้าถึงเกมในบัญชีนี้ในขณะนี้","此帳號目前無法登入遊戲。"
9,"OtherAccountLoggedOn","Another person has logged into this account.","Une autre personne s'est connectée sur ce compte.","Ein anderer Benutzer hat sich über dieses Konto angemeldet.","何者かがこのアカウントにログインしました。","다른 사람이 이 계정에 로그인한 상태입니다.","Outra pessoa entrou com esta conta.","На данный аккаунт вошёл другой человек.","Otra persona ha iniciado una sesión con esta cuenta.","มีบุคคลอื่นล็อกอินบัญชีนี้อยู่","此帳號已被其他使用者登入。"
