"rownum","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Tier","MinLevel","RoomUpgrade_IncursionRoomsKey","Mods","PresentARMFile","HASH16","IncursionArchitectKey","PastARMFile","TSIFile","UIIcon","FlavourText (English)","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","AchievementItemsKeys","i32","i32","RoomUpgradeFrom_IncursionRoomsKey","ItemisedFlavourText"," (English)"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)","[rid]"
0,"EntranceRoom","Entrance","Entrée","Eingang","入口","입구","Entrada","Вход","Entrada","ทาง​เข้า","入室",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/entrance_01.arm",51448,"","","","Art/2DArt/UIImages/InGame/Incursion/Rooms/Entrance","The tomb unsealed, what will it yield?","Que réservent les mystères de ce tombeau ouvert ?","Was ein geöffnetes Grab wohl verbergen mag?","封印が解かれた墓所は何をもたらすのか？","봉하지 않은 무덤. 뭔가 나올 것만 같다.","A tumba aberta, o que ela guarda?","Гробница вскрыта. Чем она набита?","La tumba sin sellar, ¿qué podría albergar?","สุสานเปิดผนึก จะมีอะไรข้างในกันนะ?","墳墓開封後，它會產出什麼？","","","","","","","","","","",[],90,1317,"","","","","","","","","","","","",[]
1,"Boss","Apex of Atzoatl","L'Apex d'Atzoatl","Apex von Atzoatl","アッツォアトルの頂点","앗조아틀의 정점","Ápice de Atzoatl","Вершина Ацоатля","Ápice de Atzoatl","ยอด​วิหาร​แอ็ทโซแอทล์","阿茲瓦特之巔",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/boss_main.arm",20539,"","","","Art/2DArt/UIImages/InGame/Incursion/Rooms/BossRoom","'Tis not the meek who reach the peak.","Seuls les plus valeureux peuvent tutoyer les cieux.","Nur wer von Sinnen wird den Gipfel erklimmen.","頂点に至った者が従順なわけがない。","유약하지 않은 자만이 정점에 오를 수 있다.","Quem não arrisca, não petisca.","Убогим не по силам подняться на вершину.","No son los dóciles los que alcanzan las cúspides.","คนขึ้นยอดได้ต้องไม่อ่อนแอ","懦弱無法到達頂端。","","","","","","","","","","",[],90,464,"","","","","","","","","","","","",[]
2,"TEMPLATE_BlankRoom","","","","","","","","","","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/room_blank.arm",15188,"","Metadata/Terrain/Leagues/Incursion/Rooms/room_blank_past.arm","","","","","","","","","","","","","","","","","","","","","","",[],90,1317,"","","","","","","","","","","","",[]
3,"TEMPLATE_LockedDoor1","","","","","","","","","","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_closed_01_01.arm",33435,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_closed_past_01_01.arm","","","","","","","","","","","","","","","","","","","","","","",[],90,1317,"","","","","","","","","","","","",[]
4,"TEMPLATE_LockedDoor2","","","","","","","","","","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_closed_02_01.arm",20548,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_closed_past_02_01.arm","","","","","","","","","","","","","","","","","","","","","","",[],90,1317,"","","","","","","","","","","","",[]
5,"TEMPLATE_OpenDoor1Trap1","","","","","","","","","","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_open_01_Trap1.arm",17985,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_open_past_01_01.arm","","","","","","","","","","","","","","","","","","","","","","",[],90,1317,"","","","","","","","","","","","",[]
6,"TEMPLATE_OpenDoor1Trap2","","","","","","","","","","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_open_01_Trap2.arm",22436,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_open_past_01_01.arm","","","","","","","","","","","","","","","","","","","","","","",[],90,1317,"","","","","","","","","","","","",[]
7,"TEMPLATE_OpenDoor1Trap3","","","","","","","","","","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_open_01_Trap3.arm",16661,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_open_past_01_01.arm","","","","","","","","","","","","","","","","","","","","","","",[],90,1317,"","","","","","","","","","","","",[]
8,"TEMPLATE_OpenDoor1","","","","","","","","","","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_open_01_01.arm",42086,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_open_past_01_01.arm","","","","","","","","","","","","","","","","","","","","","","",[],90,1317,"","","","","","","","","","","","",[]
9,"TEMPLATE_OpenDoor2Trap1","","","","","","","","","","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_open_02_Trap1.arm",64909,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_open_past_02_01.arm","","","","","","","","","","","","","","","","","","","","","","",[],90,1317,"","","","","","","","","","","","",[]
10,"TEMPLATE_OpenDoor2Trap2","","","","","","","","","","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_open_02_Trap2.arm",34812,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_open_past_02_01.arm","","","","","","","","","","","","","","","","","","","","","","",[],90,1317,"","","","","","","","","","","","",[]
11,"TEMPLATE_OpenDoor2Trap3","","","","","","","","","","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_open_02_Trap3.arm",24216,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_open_past_02_01.arm","","","","","","","","","","","","","","","","","","","","","","",[],90,1317,"","","","","","","","","","","","",[]
12,"TEMPLATE_OpenDoor2","","","","","","","","","","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_open_02_01.arm",61239,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_open_past_02_01.arm","","","","","","","","","","","","","","","","","","","","","","",[],90,1317,"","","","","","","","","","","","",[]
13,"PoisonRoomI","Poison Garden","Jardin du poison","Giftiger Garten","毒の庭園","독초 정원","Jardins Venenosos","Ядовитый сад","Jardín venenoso","สวน​พันธุ์​พิษ","監獄花園",1,0,35,"[15754,15842]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/poison_present_1.arm",56998,0,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/poison_past_1.arm","","Art/2DArt/UIImages/InGame/Incursion/Rooms/PoisonRoom","Sweet scents mask foul intents.","De douces fragrances masquent d'infectes appétences.","Süßer Duft, bitteres Gift.","甘美な香りは邪悪な意図を覆い隠す。","검은 속내를 감추기 위한 달콤한 향기.","Bons perfumes mascaram más intenções e costumes.","Хоть сладок запах у цветов, но чёрен замыслов итог.","Los fragancias melosas enmascaran intenciones maliciosas.","กลิ่นหวานกลบเจตนาร้าย","甜美的氣味掩蓋了腐臭的意圖。","Spreads poisonous plants throughout the Temple.","Répand des plantes vénéneuses partout dans le Temple.","Verbreitet giftige Pflanzen im Tempel.","毒性の植物が寺院にはびこる。","사원 전체에 독성 식물이 퍼집니다.","Espalha plantas venenosas pelo Templo.","Рассаживает ядовитые растения по всему храму.","Esparce plantas venenosas por el templo.","ต้นไม้พิษ แพร่กระจายทั่วทั้งวิหาร","遍佈有毒的植物於整座神殿。",[],55,71,"","","Spreads poisonous plants throughout the Temple.","Répand des plantes vénéneuses partout dans le Temple.","Verbreitet giftige Pflanzen im Tempel.","毒性の植物が寺院にはびこる。","사원 전체에 독성 식물이 퍼집니다.","Espalha plantas venenosas pelo Templo.","Рассаживает ядовитые растения по всему храму.","Esparce plantas venenosas por el templo.","ต้นไม้พิษ แพร่กระจายทั่วทั้งวิหาร","遍佈有毒的植物於整座神殿。",[15757]
