"rownum","BattlePass","RewardTier","FreeReward","i32","i32","Id","RewardedMTX","i32","RewardDescription","string","i32","i32","bool","RewardTitle","rid","bool","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","bool"
0,0,0,"",0,0,"BattlePassOneArchnemesisWatchersEye",[3777],0,"","",375,399,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
1,0,2,"",285212672,0,"BattlePassOneArchnemesisDyingSun",[3779],0,"","",376,400,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
2,0,4,"",553648128,0,"BattlePassOneArchnemesisAegisAurora",[3776],0,"","",377,401,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
3,0,6,"",838860800,0,"BattlePassOneArchnemesisHandsoftheHighTemplar",[3775],0,"","",378,402,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
4,0,8,"",1124073472,0,"BattlePassOneArchnemesisParadoxica",[3778],0,"","",379,403,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
5,0,10,"",1409286144,0,"BattlePassOneArchnemesisMjolner",[3774],0,"","",380,404,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
6,0,12,"",1677721600,0,"BattlePassOneArchnemesisBottledFaith",[3781],0,"","",381,405,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
7,0,14,"",1962934272,0,"BattlePassOneArchnemesisHeadhunter",[3780],0,"","",382,406,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
8,1,0,"",0,0,"BattlePassTwoRumisConcoction",[3882],0,"","",375,399,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
9,1,2,"",285212672,0,"BattlePassTwoDeadReckoning",[3878],0,"","",376,400,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
10,1,4,"",553648128,0,"BattlePassTwoHyrrisIre",[3881],0,"","",377,401,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
11,1,6,"",838860800,0,"BattlePassTwoDevouringDiadem",[3879],0,"","",378,402,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
12,1,9,"",1124073472,0,"BattlePassTwoVoidBattery",[3883],0,"","",379,403,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
13,1,10,"",1409286144,0,"BattlePassTwoAshesoftheStars",[3877],0,"","",380,404,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
14,1,12,"",1677721600,0,"BattlePassTwoArakaalisFang",[3876],0,"","",381,405,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
15,1,14,"",1929379840,0,"BattlePassTwoMageblood",[3880],0,"","",382,406,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
16,2,0,"",0,0,"BattlePassThreeDarknessEnthroned",[3946],0,"","",375,399,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
17,2,2,"",167772160,0,"BattlePassThreeColdIronPoint",[3950],0,"","",376,400,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
18,2,4,"",335544320,0,"BattlePassThreeKaruiTimelessJewel",[3953],0,"","",377,401,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
19,2,6,"",503316480,0,"BattlePassThreeMagnaEclipsis",[3958],0,"","",378,402,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
20,2,8,"",671088640,0,"BattlePassThreeEternalTimelessJewel",[3955],0,"","",379,403,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
21,2,10,"",838860800,0,"BattlePassThreeGravebind",[3957],0,"","",380,404,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
22,2,12,"",1006632960,0,"BattlePassThreeVaalTimelessJewel",[3952],0,"","",381,405,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
23,2,14,"",1174405120,0,"BattlePassThreeLegacyOfFury",[3956],0,"","",382,406,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
24,2,16,"",1342177280,0,"BattlePassThreeTemplarTimelessJewel",[3954],0,"","",1264,1268,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
25,2,18,"",1509949440,0,"BattlePassThreeFarrulsFur",[3947],0,"","",1265,1269,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
26,2,20,"",1677721600,0,"BattlePassThreeMarakethTimelessJewel",[3951],0,"","",1266,1270,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
27,2,22,"",1929379840,0,"BattlePassThreeCosprisMalice",[3949],0,"","",1267,1271,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
28,3,0,"",0,0,"BattlePassFourTheGull",[4115],0,"","",375,399,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
29,3,1,"",167772160,0,"MysteryPackSinAndInnocenceBox",[9275],0,"Receive a random prize with a Sin or Innocence theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",376,400,1,"","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
30,3,2,"",251658240,0,"BattlePassFourShavronnesWrappings",[4116],0,"","",377,401,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
31,3,3,"",335544320,0,"MysteryPackPolarisBox",[9304],0,"Receive a random prize with a Polaris theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",378,402,1,"","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
32,3,4,"",503316480,0,"BattlePassFourOlrothsResolve",[4113],0,"","",379,403,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
33,3,5,"",671088640,0,"MysteryPackTwilightBox",[9313],0,"Receive a random prize with a Twilight theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",380,404,1,"","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
34,3,6,"",754974720,0,"BattlePassFourNebulis",[4114],0,"","",381,405,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
35,3,8,"",1006632960,0,"BattlePassFourVentorsGamble",[4117],0,"","",382,406,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
36,3,9,"",1174405120,0,"MysteryPackWarlordBox",[9316],0,"Receive a random prize with a Warlord theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",1264,1268,1,"","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
37,3,10,"",1258291200,0,"BattlePassFourMeldingoftheFlesh",[4112],0,"","",1265,1269,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
38,3,12,"",1509949440,0,"BattlePassFourHateforge",[4118],0,"","",1266,1270,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
39,3,13,"",1677721600,0,"MysteryPackHarmonyBox",[9328],0,"Receive a random prize with a Harmony theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",1267,1271,1,"","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
40,3,14,"",1761607680,0,"BattlePassFourStarforge",[4120],0,"","",1276,1278,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
41,3,16,"",1929379840,0,"BattlePassFourVoidforge",[4119],0,"","",1277,1279,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
42,4,0,"",16777216,0,"MysteryPackApocalypseBox",[9278],0,"Receive a random prize with an Apocalypse theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",375,1294,"","Apocalypse Mystery Box","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
43,4,0,1,16777216,0,"",[],0,"Contains 3 Orbs of Horizons","",375,399,""," Orb of Horizons",5,"",0,0,0,-855638016,0,0,0,50331648,"","",""
44,4,1,"",134217728,0,"IgneousEmperorBoots",[4263],0,"","",376,1295,"","Igneous Emperor Boots","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
45,4,1,1,134217728,0,"",[],0,"Contains 3 Explorer's Scouting Reports","",376,400,"","Explorer's Scouting Report",5,"",0,0,0,771751936,40,0,0,50331648,"","",""
46,4,2,"",285212672,0,"MysteryPackGlimmerwoodBox",[9287],0,"Receive a random prize with a Glimmerwood theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",377,1296,"","Glimmerwood Mystery Box","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
47,4,2,1,285212672,0,"",[],0,"Contains 3 Orbs of Unmaking","",377,401,"","Orb of Unmaking",5,"",0,0,0,150994944,0,0,0,50331648,"","",""
48,4,3,"",452984832,0,"IgneousEmperorGloves",[4264],0,"","",378,1297,"","Igneous Emperor Gloves","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
49,4,3,1,452984832,0,"",[],0,"Contains a Random Unique Map up to Tier 5","Art/2DItems/Maps/VaultPassRandomMap.dds",378,402,"","Unique Map",3,"",0,0,0,-33554432,-16843010,-16843010,-16843010,33488638,"","",""
50,4,4,"",671088640,0,"MysteryPackThaumaturgyBox",[9307],0,"Receive a random prize with a Thaumaturgy theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",379,1298,"","Thaumaturgy Mystery Box","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
51,4,4,1,671088640,0,"",[],0,"Contains 3 Random Polished Scarabs","Art/2DItems/Currency/Scarabs/NormalScarabVaultPassRandom.dds",379,403,"","Polished Scarabs",0,"",0,0,0,-33554432,-16843010,-16843010,-16843010,67043070,"","",""
52,4,5,"",956301312,0,"IgneousEmperorBodyArmour",[4265],0,"","",380,1299,"","Igneous Emperor Body Armour","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
53,4,5,1,956301312,0,"",[],0,"Contains 3 Influenced Scouting Reports","",380,404,"","Influenced Scouting Report",5,"",0,0,0,754974720,40,0,0,50331648,"","",""
54,4,6,"",1342177280,0,"MysteryPackMidnightPactBox",[9322],0,"Receive a random prize with a Midnight theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",381,1300,"","Midnight Pact Mystery Box","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
55,4,6,1,1342177280,0,"",[],0,"Contains 5 Awakened Sextants","",381,405,"","Awakened Sextant",5,"",0,0,0,-1258291200,0,0,0,83886080,"","",""
56,4,7,"",1929379840,0,"IgneousEmperorHelmet",[4262],0,"","",382,1301,"","Igneous Emperor Helmet","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
57,4,7,1,1929379840,0,"",[],0,"Contains a Xoph, Esh or Tul Breachstone","Art/2DItems/Currency/Breach/VaultPassRandomBreach.dds",382,406,"","Breachstone",0,"",0,0,0,-33554432,-16843010,-16843010,-16843010,33488638,"","",""
58,5,0,"",16777216,0,"MysteryPackAngelsAndDemonsBox",[9310],0,"Receive a random prize with an Angels and Demons theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",375,1294,"","Angels and Demons Mystery Box","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
59,5,0,1,16777216,0,"",[],0,"Contains 10 Cartographer's Chisels","",375,399,"","Cartographer's Chisels",5,"",0,0,0,419430400,0,0,0,167772160,"","",""
60,5,1,"",134217728,0,"AtlasPassOracleBoots",[4338],0,"","",376,1295,"","Oracle Boots","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
61,5,1,1,134217728,0,"",[],0,"Contains 3 Random Rusted Scarabs","Art/2DItems/Currency/Scarabs/NormalScarabVaultPassRandom.dds",376,400,"","Rusted Scarabs",5,"",0,0,0,-33554432,-16843010,-16843010,-16843010,67043070,"","",""
62,5,2,"",285212672,0,"MysteryPackApollyonBox",[9319],0,"Receive a random prize with an Apollyon theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",377,1296,"","Apollyon Mystery Box","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
63,5,2,1,285212672,0,"",[],0,"Contains 3 Orbs of Unmaking","",377,401,"","Orb of Unmaking",5,"",0,0,0,150994944,0,0,0,50331648,"","",""
64,5,3,"",452984832,0,"AtlasPassOracleGloves",[4339],0,"","",378,1297,"","Oracle Gloves","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
65,5,3,1,452984832,0,"",[],0,"Contains 3 Singular Scouting Reports","",378,402,"","Singular Scouting Report",0,"",0,0,0,637534208,40,0,0,50331648,"","",""
66,5,4,"",671088640,0,"MysteryPackOriathanBox",[9281],0,"Receive a random prize with an Oriath theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",379,1298,"","Oriath Mystery Box","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
67,5,4,1,671088640,0,"",[],0,"Contains a Blighted Map","Art/2DItems/Maps/BattlePassBlightedMap.dds",379,403,"","Blighted Map",0,"",0,0,0,-33554432,-16843010,-16843010,-16843010,33488638,"","",""
68,5,5,"",956301312,0,"AtlasPassOracleBodyArmour",[4340],0,"","",380,1299,"","Oracle Body Armour","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
69,5,5,1,956301312,0,"",[],0,"Contains Niko's Charged Compass","",380,404,"","Niko's Charged Compass",0,"",0,0,0,754974720,0,0,0,16777216,"","",""
70,5,6,"",1342177280,0,"MysteryPackTwilightBox",[9313],0,"Receive a random prize with a Twilight theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",381,1300,"","Twilight Mystery Box","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
71,5,6,1,1342177280,0,"",[],0,"Contains a Random Shaper Guardian Map","Art/2DItems/Maps/BattlePassGuardianMap.dds",381,405,"","Shaper Guardian Map",2,"",0,0,0,-33554432,-16843010,-16843010,-16843010,33488638,"","",""
72,5,7,"",1929379840,0,"AtlasPassOracleHelmet",[4337],0,"","",382,1301,"","Oracle Helmet","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
73,5,7,1,1929379840,0,"",[],0,"Contains a Random Master's Memory","Art/2DItems/Currency/MemoryLine/BattlePassMemoryLine.dds",382,406,"","Random Memory",1,"",0,0,0,-33554432,-16843010,-16843010,-16843010,33488638,"","",""
