"rownum","Id","Order","Width","Height","TotalCount","i32","Name","StandardCount","Image","ChallengeLeagueCount","IsDisabled"
0,"Flask",1,1,2,40,2,"Flask",35,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Flask",35,""
1,"Amulet",2,1,1,111,1,"Amulet",79,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Amulet",81,""
2,"Ring",3,1,1,126,1,"Ring",93,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Ring",95,""
3,"Claw",4,2,2,44,2,"Claw",20,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Claw",20,""
4,"Dagger",5,1,3,25,3,"Dagger",21,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Dagger",21,""
5,"Wand",6,1,3,26,3,"Wand",22,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Wand",22,""
6,"Sword",7,2,3,134,3,"Sword",53,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Swords",54,""
7,"Axe",8,2,4,66,4,"Axe",27,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Axe",27,""
8,"Mace",9,2,4,116,4,"Mace",48,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Maces",49,""
9,"Bow",10,2,4,70,4,"Bow",28,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Bow",28,""
10,"Staff",11,2,4,92,4,"Staff",36,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Staff",36,""
11,"Quiver",12,2,3,54,3,"Quiver",20,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Quiver",21,""
12,"Belt",13,2,1,136,1,"Belt",53,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Belt",55,""
13,"Gloves",14,2,2,178,2,"Gloves",80,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Gloves",80,""
14,"Boots",15,2,2,172,2,"Boots",70,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Boots",71,""
15,"Body Armour",16,2,3,204,3,"Body Armour",88,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Armour",89,""
16,"Helmet",17,2,2,246,2,"Helmet",100,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Helmet",101,""
17,"Shield",18,2,4,158,4,"Shield",66,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Shield",67,""
18,"Map",19,1,1,32,1,"Map",31,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Maps",31,""
19,"Jewel",20,1,1,187,1,"Jewel",107,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Jewels",107,""
20,"Watchstone",21,1,1,15,1,"Watchstone",15,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Watchstone",15,1
21,"HeistContract",22,1,1,6,1,"Contract",5,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Contract",5,""
