"rownum","Item","TriggeredQuestFlag","rid","i32","rid","[rid]","bool","bool","rid","i32","rid","Script","rid"
0,9724,2284,"",225,"",[],"","","",1317,"","",""
1,9725,1870,"",351,"",[],"","","",1317,"","",""
2,9726,1869,"",352,"",[],"","","",1317,"","",""
3,9733,2301,"",979,"",[],"",1,888,1317,"","",""
4,9734,2302,"",980,"",[],"",1,888,1317,"","",""
5,9735,2303,"",981,"",[],"",1,888,1317,"","",""
6,9736,2304,"",982,"",[],"",1,888,1317,"","",""
7,5995,2583,"",1156,"",[],"","",903,1317,"","",""
8,5996,2584,"",1157,"",[],"","",904,1317,"","",""
9,5997,2594,"",1160,"",[],"","",905,1317,"","",""
10,10269,953,"",207,"",[],"",1,890,1317,"","",""
11,10271,954,"",212,"",[],"",1,6145,1317,"","",""
12,10273,955,"",323,"",[],"",1,891,1317,"","",""
13,10275,956,"",328,"",[],"",1,6146,1317,"","",""
14,5899,2007,"",662,"",[],"","",886,662,900,"skill_book",""
15,5900,2008,"",663,"",[],"","",886,663,900,"skill_book",""
16,5901,2009,"",664,"",[],"","",886,664,900,"skill_book",""
17,5902,2010,"",665,"",[],"","",886,665,900,"skill_book",""
18,5903,2012,"",675,"",[],"","",886,675,900,"skill_book",""
19,5904,2013,"",676,"",[],"","",886,676,900,"skill_book",""
20,5998,1518,1516,1317,1516,[],"","",906,1317,"","sentinel_controller",""
21,10407,2160,"",416,"",[],"","",908,1317,"","",""
