"rownum","BaseItemTypesKey","i32","Description","Hash","AchievementItemsKeys"
0,9190,111,"Essence Item",52571,[]
1,9191,131,"Currency Item",52259,[]
2,9192,151,"Unique Item",18701,[]
3,9193,121,"Map Item",22038,[]
4,9194,251,"Unique Map Item",6696,[]
5,9195,301,"Rare Abyss Item",41772,[]
6,9196,301,"Fragment Item",60390,[]
7,9197,301,"Scarab Item",32186,[]
8,9198,151,"Essence Item",23218,[]
9,9199,301,"Fossil Item",19642,[]
10,9200,221,"Expedition Item",40101,[]
11,9201,151,"Stacked Decks",34745,[]
12,9202,151,"Talisman Item",43064,[]
13,9203,161,"Enchanted Helmet",19352,[]
14,9204,1001,"6-Linked Armour Item",6078,[]
15,9205,141,"Currency Item",14134,[]
16,9206,1501,"League-specific Unique Item",4526,[]
17,9207,501,"Shaper or Elder Armour Item",61377,[]
18,9208,501,"Shaper or Elder Weapon Item",53204,[]
19,9209,701,"Shaper or Elder Trinket Item",61894,[]
20,9210,501,"Elder Map Item",39336,[]
21,9211,351,"Breach Item",43164,[]
22,9212,351,"valuable Currency Shards or Harbinger Item",50482,[]
23,9213,501,"high level Corrupted Gem or Valuable Gem",15068,[]
24,9214,301,"Item",31223,[]
25,9215,121,"Quality Gem",16288,[]
26,9216,151,"Bestiary Item",28161,[]
27,9217,221,"Blight Item",19373,[]
28,9218,221,"Metamorph Item",62324,[]
29,9219,431,"Delirium Item",23535,[]
30,9220,111,"Essence Item",46750,[]
31,9221,131,"Currency Item",54300,[]
32,9222,151,"Unique Item",59184,[]
33,9223,121,"Map Item",43361,[]
34,9224,251,"Unique Map Item",37492,[]
35,9225,301,"Rare Abyss Item",2531,[]
36,9226,301,"Fragment Item",4173,[]
37,9227,301,"Scarab Item",25303,[]
38,9228,151,"Essence Item",31454,[]
39,9229,301,"Fossil Item",51101,[]
40,9230,221,"Expedition Item",41074,[]
41,9231,151,"Stacked Decks",47490,[]
42,9232,151,"Talisman Item",23793,[]
43,9233,161,"Enchanted Helmet",42868,[]
44,9234,1001,"6-Linked Armour Item",12755,[]
45,9235,141,"Currency Item",30048,[]
46,9236,1501,"League-specific Unique Item",32094,[]
47,9237,501,"Shaper or Elder Armour Item",38195,[]
48,9238,501,"Shaper or Elder Weapon Item",28068,[]
49,9239,701,"Shaper or Elder Trinket Item",52048,[]
50,9240,501,"Elder Map Item",56725,[]
51,9241,351,"Breach Item",39939,[]
52,9242,351,"valuable Currency Shards or Harbinger Item",19733,[]
53,9243,501,"high level Corrupted Gem or Valuable Gem",41974,[]
54,9244,301,"Item",55071,[]
55,9245,121,"Quality Gem",43471,[]
56,9246,151,"Bestiary Item",58563,[]
57,9247,221,"Blight Item",24651,[]
58,9248,221,"Metamorph Item",65346,[]
59,9249,431,"Delirium Item",12740,[]
