"rownum","Id","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","SetId","Objective (English)","Objective (French)","Objective (German)","Objective (Japanese)","Objective (Korean)","Objective (Portuguese)","Objective (Russian)","Objective (Spanish)","Objective (Thai)","Objective (Traditional Chinese)","i32","bool","HideAchievementItems","bool","MinCompletedItems","TwoColumnLayout","ShowItemCompletionsAsOne","string","SoftcoreOnly","HardcoreOnly","bool","string"
0,"KillExiles","Slay the Rogue Exiles","Tuez les Exilés renégats","Tötet die abtrünnigen Verbannten","Slay the Rogue Exiles","탈주 유배자 처치하기","Mate os Exilados Renegados","Перебейте бродячих изгнанников","Mata a los Exiliados Renegados","สังหาร Rogue Exiles","流亡者殺手",1,"Hostile rogue exiles roam Wraeclast in the Anarchy league. Slay all 13 to complete this challenge. Everyone in the area will receive credit for the kill.","Treize Exilés renégats rôdent dans Wraeclast en ligue Anarchie. Tuez-les tous pour remporter ce défi. Chaque meurtre comptera pour tous les joueurs présents dans la zone.","In der Anarchie-Liga streifen abtrünnige Verbannte durch Wraeclast. Tötet alle 13, um diese Herausforderung zu meistern. Alle in diesem Gebiet erhalten Punkte für das Töten.","Hostile rogue exiles roam Wraeclast in the Anarchy league. Slay all 13 to complete this challenge. Everyone in the area will receive credit for the kill.","적대적인 탈주 유배자들이 혼돈 리그가 적용된 레이클라스트를 배회하고 있습니다. 13명의 유배자를 전부 처치해 도전과제를 완료하십시오. 지역에 있는 모든 플레이어가 처치에 대한 보상을 받습니다.","Exilados Renegados hostis percorrem Wraeclast na liga Anarchy. Mate todos os 13 para completar este desafio. Todos na área receberão crédito pela morte.","В лиге «Анархия» по Рэкласту бродят 13 враждебных вам изгнанников. Для прохождения этого испытания перебейте их всех. За убийство будут награждать всех, кто был в области.","Renegados Hostiles vagan en Wraeclast en la Liga de Anarchy. Derrota a los 13 para completar este desafío. Todos en el área recibirán crédito por los asesinatos.","กลุ่ม Rogue Exile ที่ไม่เป็นมิตรเพ่นพ่านอยู่ทั่ว Wraeclast ใน Anarchy League สังหารทั้ง 13 คนเพื่อผ่านการท้าทายนี้ ทุกคนในพื้นที่จะได้รับเครดิตในการฆ่า","在鬼島上漫遊的流亡者，總共有 13 人，殺死他們來獲得成此成就。",9678,"","","",0,1,"","","","","",""
1,"FindUniques","Own these Unique Items","Possédez ces Objets uniques","Besitzt diese einzigartigen Gegenstände","Own these Unique Items","고유 아이템 보유하기","Tenha estes Itens Únicos","Завладейте этими уникальными предметами","Sé dueño de estos Objetos Únicos","ครอบครอง Unique Item เหล่านี้","瘋狂收藏家",1,"Own 90 specific Unique items to complete this challenge. Note that if you trade any away, the challenge will un-complete until you obtain the item again. Uniques in both Anarchy and Onslaught leagues are counted for this challenge.","Possédez 90 Objets uniques spécifiques pour compléter ce défi. Remarque : si vous vous séparez de l'un de ces objets, il ne comptera plus jusqu'à ce que vous le récupériez. Les Objets uniques des ligues Anarchie et Assaut comptent pour ce défi.","Besitzt 90 einzigartige Gegenstände, um diese Herausforderung zu meistern. Achtung: Wenn Ihr einen dieser Gegenstände tauscht, gilt die Herausforderung als nicht gemeistert, bis Euch dieser Gegenstand wieder gehört. Einzigartige Gegenstände der Anarchie- und Ansturm-Liga werden dieser Herausforderung angerechnet.","Own 90 specific Unique items to complete this challenge. Note that if you trade any away, the challenge will un-complete until you obtain the item again. Uniques in both Anarchy and Onslaught leagues are counted for this challenge.","특정 고유 아이템 90개를 얻어 도전과제를 완료하십시오. 거래로 처분했을 경우 해당 아이템을 다시 얻을 때까지 도전과제가 완료되지 않습니다. 혼돈과 맹공, 어느 리그든지 관계없이 인정됩니다.","Obtenha 90 itens Únicos específicos para completar esta missão. Note que se você trocar o item o desafio deixará de estar completo até você obter o item novamente. Itens únicos das ligas Anarchy e Onslaught são considerados nesse desafio.","Для прохождения этого испытания завладейте 90 перечисленными уникальными предметами. Учтите, что отдав такой предмет, вы не пройдете испытание, пока не получите его обратно. В зачет выполнения идут предметы как из лиги «Анархия», так и из лиги «Боевой раж».","Posee 90 Objetos Únicos específicos para completar este desafío. Ten en cuenta que si los intercambias de alguna forma, el desafío dejará de estar completo hasta que vuelvas a obtener el objeto. Los Únicos de las Ligas de Anarchy y Onslaught cuentan para este desafío.","ครอบครอง Unique Item 90 ชิ้นเพื่อผ่านการท้าทายนี้ โปรดทราบว่าหากคุณได้ทำการแลกเปลี่ยนไอเทมไปก่อน คุณจะไม่ผ่านการท้าทายจนกว่าจะครอบครองไอเทมนั้นอีกครั้ง การท้าทายนี้จะนับรวมทั้งใน Anarchy และ Onslaught League","在聯盟中擁有 90 件傳奇裝備；請注意，如果把其中一樣交易出去，這項成就則會顯示未完成。 這些傳奇在混亂聯盟與猛攻聯盟都適用。",62912,"","","",0,1,"","","","","",""
2,"UseCurrency","Use these Currency Items","Utilisez ces Objets monétaires","Benutzt diese Währungsgegenstände","Use these Currency Items","화폐 아이템 사용하기","Use estes Itens Monetários","Используйте эту валюту","Usa estos Objetos monetarios","ใช้ Currency Item เหล่านี้","土豪",1,"Use the following 23 currency items in either Anarchy or Onslaught.","Utilisez les 23 Objets monétaires suivants en ligue Anarchie ou Assaut :","Benutzt die folgenden 23 Währungsgegenstände in 'Anarchie' oder 'Ansturm'.","Use the following 23 currency items in either Anarchy or Onslaught.","혼란 혹은 맹공 리그에서 다음 23가지 화폐 아이템을 사용하십시오.","Utilize os seguinte 23 itens de moeda nas ligas Anarchy ou Onslaught.","Используйте 23 перечисленных обменных предмета в лиге «Анархия» или «Боевой раж».","Usa los siguientes 23 objetos monetarios en Anarchy o en Onslaught.","ใช้ 23 ไอเทมเงินตราต่อไปนี้ใน Anarchy หรือ Onslaught League","在混亂聯盟或猛攻聯盟中使用以下 23 種通貨。",64847,"","","",0,1,"","","","","",""
3,"60AllClasses","Reach Level 60 in Onslaught","Atteignez le niveau 60 en ligue Assaut","Erreicht die Stufe 60 in 'Ansturm'","Reach Level 60 in Onslaught","맹공 리그에서 60레벨 도달하기","Atingir o Nível 60 em Arremetida","Достигните уровня 60 в лиге «Боевой раж»","Alcanza Nivel 60 en Fervor","เพิ่มเลเวลถึง 60 ใน Onslaught","專家也行",1,"Attain character level 60 with each class in the Onslaught league. This challenge still counts even if a character dies after reaching level 60.","Atteignez le niveau 60 avec un personnage de chaque classe en ligue Assaut. Ce défi n'est pas perdu si l'un de vos personnages meurt après avoir atteint le niveau 60.","Erreicht in der Ansturm-Liga mit jeder Klasse die Charakterstufe 60. Diese Herausforderung wird selbst dann angerechnet, wenn ein Charakter stirbt, nachdem er Stufe 60 erreicht hat.","Attain character level 60 with each class in the Onslaught league. This challenge still counts even if a character dies after reaching level 60.","맹공 리그에서 모든 직업으로 60레벨에 도달하십시오. 캐릭터가 60레벨에 도달한 후 사망하더라도 계속 인정됩니다.","Tenha um personagem de nível 60 de cada classe na liga Arremetida. Este desafio ainda será considerado mesmo se um personagem morrer após atingir o nível 60.","Поднимите уровень героев каждого класса до 60 в лиге «Боевой раж». Если герой умрет после достижения 60 уровня, он все равно идет в зачет.","Alcanza nivel 60 con cada clase en la liga Onslaught. Este desafío cuenta aunque un personaje muera luego de alcanzar nivel 60.","เพิ่มระดับตัวละครแต่ละคลาสถึงเลเวล 60 ใน Onslaught League การท้าทายนี้จะนับรวมแม้ตัวละครจะตายหลังจากเลเวล 60","在猛攻聯盟中所有職業人物皆達到 60 等級以上，在人物達到 60 等級之後死亡仍然計算此成就。",3360,"","","",0,1,"","","","","",""
4,"AllRecipes","Items from Vendor Recipes","Réalisez des formules de marchand","Gegenstände aus Händlerrezepten","Items from Vendor Recipes","거래 조합을 통해 아이템 획득하기","Itens de Receitas de Vendedores","Получите предметы по рецептам торговцев","Objetos de Recetas de Venta","ไอเทมจากตำราผู้ค้า","商人的祕方",1,"Complete vendor recipes in either Anarchy or Onslaught to receive each of the following items. A vendor recipe is when you trade a specific pattern of items to a vendor, not when you buy items from his/her purchase screen.","Réalisez des formules de marchand en ligue Anarchie ou Assaut afin d'obtenir chacun des objets ci-dessous. Une formule de marchand consiste à vendre un assortiment spécifique d'objets à un PNJ, et non à lui en acheter.","Meistert in 'Anarchie' oder 'Ansturm' Händlerrezepte, um jeden der folgenden Gegenstände zu erhalten. Ein Händlerrezept ist eine Liste bestimmter Gegenstände, die Ihr mit einem Händler tauscht, statt einen Gegenstand über seine/ihre Händlerseite zu erwerben.","Complete vendor recipes in either Anarchy or Onslaught to receive each of the following items. A vendor recipe is when you trade a specific pattern of items to a vendor, not when you buy items from his/her purchase screen.","혼란 혹은 맹공 리그에서 거래 조합을 완성하고 그에 맞는 아이템을 받으십시오. 거래 조합은 상인의 구입 화면에서 아이템을 살 때가 아니라, 조합의 패턴에 해당하는 아이템들을 상인과 거래할 때 이루어집니다.","Complete receitas de vendedores nas ligas Anarchy ou Onslaught para receber todos os itens a seguir. Uma receita de vendedor é quando você negocia um padrão de itens específicos com um vendedor, não quando você compra itens da tela de compra dele/dela.","Соберите вещи на обмен по рецептам торговцев в лиге «Анархия» или «Боевой раж» и получите по одному из перечисленных предметов. Под рецептом торговца понимается определенная подборка вещей, которые предлагаются торговцу, а не покупаются через его окно торговли.","Completa recetas de venta en Anarchy o en Onslaught para recibir cada uno de los siguientes objetos. Una receta de venta se logra cuando intercambias un patrón específico de objetos con un vendedor, no cuando compras objetos en su ventana de compra.","ทำตามตำราผู้ค้าใน Anarchy หรือ Onslaught เพื่อรับไอเทมแต่ละรายการต่อไปนี้ ตำราผู้ค้าคือการแลกเปลี่ยนรูปแบบไอเทมเฉพาะกับผู้ค้า ไม่ใช่การซื้อไอเทมจากหน้าจอการซื้อของผู้ค้า","在混亂聯盟或猛攻聯盟中，使用商人配方交易出以下道具。 請注意，商人配方是以特定物品與商人交換特定道具，並非從商人處購買。",7250,"","","",0,1,"","","","","",""
5,"AllMaps","Use each Map","Utilisez toutes les Cartes","Benutzt jede Karte","Use each Map","모든 지도 사용하기","Use cada Mapa","Используйте все карты","Usa cada Mapa","ใช้แผนที่แต่ละแห่ง","地圖冒險王",1,"This challenge tracks which Maps are used by you in the Map Device in either Anarchy or Onslaught. It does not count Maps that you join, just ones you create.","Ce défi répertorie les Cartes que vous utilisez dans le Dispositif cartographique en ligue Anarchie ou Assaut. Il ne comptabilise pas les Cartes que vous rejoignez ; seulement celles que vous créez.","Diese Herausforderung verfolgt, welche Karten Ihr entweder in 'Anarchie' oder 'Ansturm' im Kartenapparat verwendet. Es zählen nur Karten, die Ihr erstellt, und nicht solche, denen Ihr beitretet.","This challenge tracks which Maps are used by you in the Map Device in either Anarchy or Onslaught. It does not count Maps that you join, just ones you create.","해당 도전과제는 혼란 혹은 맹공 리그에서 지도 장치를 통해 사용한 지도를 추적합니다. 참가한 지도가 아니라 직접 생성한 지도만 집계합니다.","Este desafio acompanha quais mapas você utiliza no Dispositivo de Mapas em Anarchy ou Onslaught. Ele não considera Mapas que você entrou, apenas os que você criou.","Играя в лиге «Анархия» или «Боевой раж», используйте карты в Машине картоходца. В зачет идут только созданные вами карты, но не походы на карты, к которым вы присоединились.","Este desafio rastrea qué Mapas has usado en el Artefacto de Mapas tanto en Anarchy como en Onslaught. No tiene en cuenta Mapas a los que te unes, solo los que creas.","การท้าทายนี้จะตรวจสอบแผนที่ที่คุณใช้งานในอุปกรณ์แผนที่ ภายใน Anarchy หรือ Onslaught โดยจะไม่นับแผนที่ที่คุณเข้าร่วม และนับเพียงแผนที่ที่คุณสร้างขึ้น","在混亂聯盟與猛攻聯盟中使用地圖裝置開啟地圖，請注意此成就不包含你所加入的地圖，而只計算你所開啟的地圖。",22458,"","","",0,1,"","","","","",""
6,"ClearAllDifficulties","Full-clear in any Difficulty","Tuez-les tous","Meistert jeden Schwierigkeitsgrad","Full-clear in any Difficulty","난이도에 상관없이 장악하기","Limpeza completa em qualquer dificuldade","Перебейте всех монстров на любом уровне сложности","Limpia Completamente en cualquier Dificultad","กวาดล้างทั้งหมดในระดับความยากใดๆ","一隻都不剩",1,"Kill all the monsters in every area of the game in Anarchy or Onslaught. You can complete this in any difficulty level. Use the /remaining command to see how many monsters remain, once you're getting close. Everyone in the area will receive credit for the clear.","Tuez tous les monstres dans chacune des zones du jeu en ligue Anarchie ou Assaut, dans n'importe quelle difficulté. Tapez la commande /restant pour savoir combien de monstres il vous reste à tuer. Ce défi sera comptabilisé pour tous les joueurs présents.","Tötet alle Monster in jedem Gebiet des Spiels in 'Anarchie' oder' Ansturm'. Ihr könnt diese Aufgabe in jedem Schwierigkeitsgrad abschließen. Verwendet den Befehl /übrig, um zu sehen, wie viele Monster übrig sind. Alle in diesem Gebiet erhalten Punkte für die gemeisterte Aufgabe.","Kill all the monsters in every area of the game in Anarchy or Onslaught. You can complete this in any difficulty level. Use the /remaining command to see how many monsters remain, once you're getting close. Everyone in the area will receive credit for the clear.","혼란 혹은 맹공 리그에서 게임의 모든 지역에 존재하는 모든 몬스터를 처치하십시오. 난이도에 상관없이 완료할 수 있습니다. /remaining 명령어로 근처에 몬스터가 얼마나 남았는지 확인할 수 있습니다. 지역에 있는 모든 플레이어가 장악에 대한 보상을 받습니다.","Mate todos os monstros em todas as áreas do jogo em Anarchy ou Onslaught. Você pode completar isso em qualquer nível de dificuldade. Use o comando /restante para ver quantos monstros ainda restam quando você estiver quase acabando. Todos na área receberão crédito pela limpeza.","Перебейте всех монстров в каждой игровой области лиги «Анархия» или «Боевой раж». Испытание можно пройти на любом уровне сложности. Количество оставшихся монстров можно узнать, перебив большинство и введя команду /осталось. За массовую зачистку будут награждать всех, кто был в области.","Mata a todos los monstruos de todas las áreas del juego en Anarchy o en Onslaught. Puedes completar este logro en cualquier nivel de dificultad. Usa el comando /restante para ver cuántos monstruos restan, cuando te encuentres cerca. Todos dentro del área recibirán el crédito por limpiar el área completamente.","สังหารมอนสเตอร์ทั้งหมดในทุกพื้นที่ของเกมใน Anarchy หรือ Onslaught คุณสามารถผ่านด้วยระดับความยากใดก็ได้ ใช้คำสั่ง /remaining เพื่อดูจำนวนมอนสเตอร์ที่เหลืออยู่ เมื่อคุณใกล้จะทำสำเร็จ ทุกคนในพื้นที่จะได้รับเครดิตในการกวาดล้าง","在混亂聯盟或猛攻聯盟中清除所有地圖的所有怪物。 你可以使用 \""/剩餘怪物\"" 這個指令來得知剩餘怪物數量。組隊時，一旦地圖被清空，所有在同張地圖的玩家皆會被算為達成。",16538,"","","",0,1,"","","","","",""
7,"NotablesKeystones","Allocate these Passives","Attribuez ces Passifs","Weist diese passiven Fertigkeitspunkte zu","Allocate these Passives","패시브 스킬 할당하기","Distribuir estas passivas","Выберите эти пассивные умения","Asigna estas Pasivas","จัดสรรพาสซีฟเหล่านี้","天賦摸透了",1,"Allocate this list of Passive Skills in either Anarchy or Onslaught. They will still count even if refunded by Orbs of Regret or quest rewards and can be spread across multiple characters. Skills that have been allocated are marked on the Passive Skill Tree with a small green tick.","Attribuez un point dans les Passifs de cette liste en ligue Anarchie ou Assaut. Ils continueront d'être comptabilisés même si vous vous les faites rembourser ; de plus, ils peuvent être répartis sur plusieurs personnages. Les Passifs validés sont marqués d'une petite coche verte dans l'Arbre des Passifs.","Weist diese Liste mit passiven Fertigkeiten entweder in 'Anarchie' oder 'Ansturm' zu. Sie werden selbst dann angerechnet, wenn sie durch Sphären der Reue oder Quest-Belohnungen zurückgenommen werden, und können auf mehrere Charaktere verteilt werden. Fertigkeiten, die im passiven Fertigkeitsbaum zugewiesen wurden, werden mit einem grünen Häkchen markiert.","Allocate this list of Passive Skills in either Anarchy or Onslaught. They will still count even if refunded by Orbs of Regret or quest rewards and can be spread across multiple characters. Skills that have been allocated are marked on the Passive Skill Tree with a small green tick.","혼란 혹은 맹공 리그에서 다음 패시브 스킬을 할당하십시오. 후회의 오브나 퀘스트 보상으로 다시 반환해도 여전히 인정되며, 여러 캐릭터들이 달성한 내용을 전부 인정합니다. 할당된 스킬에 패시브 스킬 트리에서 작은 초록색 확인 표시를 추가합니다.","Aloque esta lista de Habilidades Passivas na Anarchy ou Onslaught. Elas ainda serão consideradas mesmo se devolvidas por Orbes do Arrependimento ou recompensas de missões e podem ser espalhadas entre vários personagens. Habilidades que foram alocadas são marcadas na Árvore de Habilidades Passivas com um pequeno tique verde.","Выберите перечисленные пассивные умения в лиге «Анархия» или «Боевой раж». Они идут в зачет, даже если очки за них возвращены Сферами раскаяния или наградами за выполнение заданий. Умения могут быть выбраны разными героями. Выбранные умения отмечаются на дереве пассивных умений маленьким зеленым значком.","Asigna esta lista de Habilidades Pasivas en Anarchy o en Onslaught. Se tendrán en cuenta aún si las reasignas con Orbes de Arrepentimiento o recompensas de misiones y pueden dividirse entre múltiples personajes. Las Habilidades que se hayan asignado se marcarán con un tilde verde en el Árbol de Habilidades Pasivas.","จัดสรรรายการพาสซีฟสกิลเหล่านี้ใน Anarchy หรือ Onslaught โดยจะยังคงนับรวมแม้จะเป็นการแลกคืนจาก Orb of Regret หรือรางวัลเควส และสามารถอยู่กับตัวละครมากกว่าหนึ่งตัวก็ได้ สกิลที่จัดสรรแล้วจะมีเครื่องหมายถูกสีเขียวเล็กๆ กำกับอยู่บน Passive Skill Tree","在混亂聯盟或猛攻聯盟中蒐集以下名單內的天賦點。 請注意，這個挑戰就算你使用後悔石來重置天賦依然成立。 已經蒐集過的天賦點數將會有在旁邊打勾。",54125,1,"","",0,1,"","","","","",""
8,"KillRareEachType","Kill Rare Monsters","Tuez des Monstres rares","Tötet seltene Monster","Kill Rare Monsters","희귀 몬스터 처치하기","Matar Monstros Raros","Перебейте редких монстров","Mata Monstruos Raros","สังหาร Rare Monster","稀有怪！",3,"Kill a Rare Monster of each of these types in Domination or Nemesis.","Tuez un Monstre rare de chacun des types suivants en ligue Domination ou Némésis :","Tötet ein seltenes Monster jeder dieser Arten in 'Herrschaft' oder 'Nemesis'.","Kill a Rare Monster of each of these types in Domination or Nemesis.","지배 혹은 천벌 리그에서 다음 유형의 희귀 몬스터를 처치하십시오.","Mate um Monstro Raro de cada um desses tipos em Dominação ou Nêmesis","Убейте по одному редкому монстру каждого из перечисленных типов в лиге «Господство» или «Возмездие».","Mata a todos los Monstruos Ratos de cada uno de estos tipos en Dominación o Némesis.","สังหาร Rare Monster แต่ละประเภทต่อไปนี้ในโ Domination และ Nemesis","在混亂聯盟或猛攻聯盟中殺死以下種類的稀有怪物。",34861,"","","",0,1,"","","","","",""
9,"TagShrines","Touch these Shrines","Touchez ces Autels","Berührt diese Schreine","Touch these Shrines","성소 3곳 접촉하기","Tocar nestes Altar","Прикоснитесь к этим алтарям","Toca estos Santuarios","สัมผัสสถานบูชาเหล่านี้","神殿的祝福",3,"Touch each of these shrines in the Domination league to gain their powers.","Touchez chacun de ces Autels en ligue Domination afin de récupérer leurs pouvoirs :","Berührt jeden dieser Schreine in der Herrschaft-Liga, um ihre Kräfte zu erhalten.","Touch each of these shrines in the Domination league to gain their powers.","지배 리그에서 성소 3곳과 접촉하여 힘을 취하십시오.","Toque cada um desses altar na liga Domination para obter seus poderes.","Прикоснитесь к каждому из перечисленных алтарей в лиге «Господство» и получите его силу.","Toca cada uno de estos santuarios en la liga de Dominación para ganar sus poderes.","สัมผัสแต่ละสถานบูชาต่อไปนี้ใน Domination League เพื่อรับพลัง","在混亂聯盟或猛攻聯盟中觸碰以下神殿並獲取它們的祝福。",58589,1,"","",0,1,"","","","","",""
