"rownum","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","IsCategory","Category","SkillGem"
0,"Specials","Specials","Offres du moment","Angebote","特売品","할인 아이템","Especiais","Скидки","Especiales","ราคาพิเศษ","特殊",1,"",[]
1,"NewItems","New","— Nouveautés —","Neu","新商品","신규","Novos","Новинки","Nuevo","มาใหม่","新品上架",1,"",[]
2,"StashTabs","Stash Tabs","Onglets de Réserve","Truhenfächer","スタッシュタブ","보관함 탭","Abas de Baú","Секции сундука","Pestañas de alijo","แท็บเก็บของ","倉庫頁",1,"",[]
3,"Bundles","Bundles","Bundles","Pakete","バンドル","꾸러미","Pacotes","Наборы","Paquetes","ชุดสุดคุ้ม","組合包",1,"",[]
4,"ArmourEffects","Armour","Pièces d'armure","Rüstung","アーマー","방어구","Armaduras","Доспехи","Armadura","ชุดเกราะ","護甲效果",1,"",[]
5,"BackAttachments","Back Attachments","Accessoires dorsaux","Rückenzusätze","背面装飾品","등 부착물","Adornos Dorsais","Заплечные украшения","Accesorios para la espalda","แฟชั่นติดหลัง","背飾",1,"",[]
6,"WeaponEffects","Weapon","Arme","Waffe","武器","무기","Armas","Оружие","Arma","อาวุธ","武器效果",1,"",[]
7,"Portals","Portals","Portails","Portale","ポータル","포탈","Portais","Порталы","Portales","วาร์ป","傳送門",1,"",[]
8,"AlternateSkillEffects","Skill Effects","Effets d'aptitudes","Fertigkeiten","スキルエフェクト","스킬 이펙트","Habilidades","Эффекты умений","Efectos de habilidades","เอฟเฟคสกิล","技能效果",1,"",[]
9,"CharacterEffects","Character","Effets de personnage","Charakter","キャラクター","캐릭터","Personagens","Персонаж","Personaje","ตัวละคร","角色效果",1,"",[]
10,"FootprintEffects","Footprints","Effet d'empreintes de pas","Fußspuren","足跡","발자국","Pegadas","Следы","Huellas","รอยเท้า","足跡效果",1,"",[]
11,"Guild","Guild","Guilde","Gilde","ギルド","길드","Guilda","Гильдия","Hermandad","กิลด์","公會功能",1,"",[]
12,"GuildHideout","Guild Hideout","Repaire de Guilde","Gildenversteck","ギルドの隠れ家","길드 은신처","Refúgios de Guilda","Убежище гильдии","Guarida de hermandad","ที่ซ่อนกิลด์","公會藏身處",1,"",[]
13,"Pets","Pets","Familiers","Begleiter","ペット","애완동물","Mascotes","Питомцы","Mascotas","สัตว์เลี้ยง","寵物",1,"",[]
14,"Hideout","Hideout","Décorations de Repaire","Versteck","隠れ家","은신처","Refúgio","Убежище","Guarida","ที่ซ่อน","裝飾物",1,"",[]
15,"Consumable","Consumable","Consommable","Verbrauchbar","消耗品","소모품","Consumível","Расходуемое","Consumibles","ใช้แล้วหมดไป","消耗品","","",[]
16,"MysteryPacks","Mystery Packs","Packs mystères","Überraschungspakete","ミステリーパック","미스터리 팩","Pacotes Misteriosos","Загадочные коробки","Paquetes misteriosos","แพ็คปริศนา","神秘寶箱","",15,[]
17,"MostPopular","Most Popular","Plus populaires","Am beliebtesten","最も人気","최고 인기","Mais Populares","Популярные","Los más populares","เป็นที่นิยม","熱門商品","","",[]
18,"AccountFeatures","Account Features","Fonctions de compte","Kontoeigenschaften","アカウント機能","계정 요소","Funcionalidades da Conta","Свойства аккаунта","Características para la cuenta","ฟีเจอร์บัญชี","帳號功能",1,"",[]
19,"ClassicEffects","Classic Effects","Effets classiques","Klassische Effekte","クラシックエフェクト","고전적인 이펙트","Efeitos Clássicos","Эффекты","Efectos clásicos","เอฟเฟคคลาสสิก","經典效果","","",[]
20,"TencentHotAndNew","Hot and New","Nouveau & populaire","Brandneu","ホット＆ニュー","화제 및 신규","Novos","Новинки","Novedades","ของใหม่มาแรง","騰訊",1,"",[]
21,"TencentAccountFunctions","Account Functions","Fonctions de compte","Kontofunktionen","アカウント機能","계정 기능","Funções da Conta","Аккаунт","Funciones de la cuenta","ฟังก์ชันบัญชี","騰訊",1,"",[]
22,"TencentGuildFunctions","Guild Functions","Fonctions de Guilde","Gilde-Funktionen","ギルド機能","길드 기능","Funções da Guilda","Гильдия","Funciones de Hermandad","ฟังก์ชันกิลด์","騰訊",1,"",[]
23,"TencentCosmetics","Cosmetics","Visuels","Cosmetics","装飾品","꾸미기 항목","Cosméticos","Cosmetics","Cosméticos","สินค้าแฟชั่น","騰訊",1,"",[]
24,"TencentBackAttachments","Back Attachments","Accessoires dorsaux","Back Attachments","背面装飾品","등 부착물","Adornos Dorsais","Back Attachments","Accesorios para la espalda","แฟชั่นติดหลัง","騰訊",1,"",[]
25,"TencentWeaponEffects","Weapon Effects","Effets d'armes","Waffeneffekte","武器エフェクト","무기 이펙트","Efeitos de Armas","Оружие","Efectos para arma","เอฟเฟคอาวุธ","騰訊",1,"",[]
26,"TencentSkillEffects","Skill Effects","Effets d'aptitudes","Fertigkeitseffekte","スキルエフェクト","스킬 이펙트","Efeitos de Habilidades","Эффекты умений","Efectos para habilidades","เอฟเฟคสกิล","騰訊",1,"",[]
27,"TencentCharacterEffects","Character Effects","Effets de personnage","Character Effects","キャラクターエフェクト","캐릭터 이펙트","Efeitos de Personagem","Character Effects","Efectos para el personaje","เอฟเฟคตัวละคร","騰訊",1,"",[]
28,"TencentFootprintsEffects","Footprints Effects","Effets d'empreintes de pas","Footprints Effects","足跡エフェクト","발자국 이펙트","Efeitos de Pegadas","Footprints Effects","Efectos de huellas","เอฟเฟครอยเท้า","騰訊",1,"",[]
29,"TencentPortalEffects","Portal Effects","Effets de portail","Portal Effects","ポータルエフェクト","포탈 이펙트","Efeitos de Portal","Portal Effects","Efectos de portal","เอฟเฟควาร์ป","騰訊",1,"",[]
30,"TencentPets","Pets","Familiers","Begleiter","ペット","애완동물","Mascotes","Питомцы","Mascotas","สัตว์เลี้ยง","騰訊",1,"",[]
31,"TencentHideout","Hideout","Repaire","Hideout","隠れ家","은신처","Refúgio","Hideout","Guarida","ที่ซ่อน","騰訊",1,"",[]
32,"TencentTradeableMicrotransactions","Tradeable Microtransaction","Microtransactions échangeables","Handelbare Mikrotransaktion","交換可能有料アイテム","거래 가능 포인트 아이템","Microtransações Negociáveis","Tradeable Microtransaction","Microtransacciones comerciables","สินค้าแฟชั่นแลกเปลี่ยนได้","騰訊",1,"",[]
33,"TencentSecondary","Tencent Misc","Divers Tencent","Tencent","テンセント その他","텐센트 기타","Tencent Misc"," ","Tencent Misc","อื่นๆ ของ Tencent","騰訊","","",[]
34,"CursorMtx","Cursor Skin","Apparence de curseur","Cursor-Skin","カーソルスキン","커서 스킨","Visual de Cursor","Облик курсора","Aspecto para cursor","สกินเคอร์เซอร์","鼠標外觀","","",[]
35,"HUDMtx","HUD Skin","Apparence d'interface","HUD-Skin","HUDスキン","HUD 스킨","Visual de HUD","HUD","Aspecto para HUD","สกินหน้าจอแสดงผล","HUD 外觀","","",[]
36,"JewelMtx","Passive Jewel Skin","Apparence de Joyau de talent","Juwel-Skin","パッシブジュエルスキン","패시브 주얼 스킨","Visual de Joia Passiva","Внешний вид самоцвета","Aspecto para joya pasiva","สกินจิวเวลพาสซีฟ","天賦珠寶外觀","","",[]
37,"FlaskMtx","Flask Skin","Apparence de Flacon","Fläschhchen-Skin","フラスコスキン","플라스크 스킨","Visual de Frasco","Внешний вид флакона","Aspecto para frasco","สกินขวดยา","藥劑外觀","","",[]
38,"BeltMtx","Belt Skin","Apparence de ceinture","Gürtel-Skin","ベルトスキン","허리띠 스킨","Visual de Cinto","Внешний вид пояса","Aspecto para cinturón","สกินเข็มขัด","腰帶外觀","","",[]
39,"AmuletMtx","Amulet Skin","Apparence d'amulette","Amulett-Skin","アミュレットスキン","목걸이 스킨","Visual de Amuleto","Внешний вид амулета","Aspecto para amuleto","สกินสร้อย","項鍊外觀","","",[]
40,"WeaponSkin1Mtx","Weapon Skin","Visuel d'arme","Waffen-Skin","武器スキン","무기 스킨","Visual de Arma","Внешний вид оружия","Aspecto para arma","สกินอาวุธ","武器外觀","","",[]
41,"WeaponSkin2Mtx","Weapon Skin","Visuel d'arme","Waffen-Skin","武器スキン","무기 스킨","Visual de Arma","Внешний вид оружия","Aspecto para arma","สกินอาวุธ","武器外觀","","",[]
42,"WeaponEffect1Mtx","Weapon Effect","Effet d'arme","Waffeneffekt","武器エフェクト","무기 이펙트","Efeito de Arma","Эффект оружия","Efecto para arma","เอฟเฟคอาวุธ","武器特效","","",[]
43,"WeaponEffect2Mtx","Weapon Effect","Effet d'arme","Waffeneffekt","武器エフェクト","무기 이펙트","Efeito de Arma","Эффект оружия","Efecto para arma","เอฟเฟคอาวุธ","武器特效","","",[]
44,"WeaponAddedEffect1Mtx","Weapon Added Effect","Rajout d'effet d'arme","Zusätzlicher Waffeneffekt","武器追加エフェクト","무기 추가 이펙트","Efeito de Arma Adicionado","Добавленный эффект оружия","Efecto agregado para arma","เอฟเฟคอาวุธเพิ่มเติม","武器附加特效","","",[]
45,"WeaponAddedEffect2Mtx","Weapon Added Effect","Rajout d'effet d'arme","Zusätzlicher Waffeneffekt","武器追加エフェクト","무기 추가 이펙트","Efeito de Arma Adicionado","Добавленный эффект оружия","Efecto agregado para arma","เอฟเฟคอาวุธเพิ่มเติม","武器附加特效","","",[]
46,"HelmetSkinMtx","Helmet Skin","Visuel de casque","Helm-Skin","兜スキン","투구 스킨","Visual de Elmo","Внешний вид шлема","Aspecto para casco","สกินหมวก","頭部外觀","",4,[]
47,"HelmetAttachmentMtx","Helmet Attachment","Accessoire de casque","Helmzusatz","兜装飾品","투구 부착물","Adorno de Elmo","Эффект шлема","Accesorio para casco","แฟชั่นติดหมวก","頭部特效","",4,[]
48,"ArmourSkinMtx","Armour Skin","Visuel d'armure","Körperrüstung-Skin","鎧スキン","방어구 스킨","Visual de Armadura","Внешний вид брони","Aspecto para armadura","สกินเกราะ","身體外觀","",4,[]
49,"ArmourAttachmentMtx","Armour Attachment","Accessoire d'armure","Körperrüstungszusatz","鎧装飾品","방어구 부착물","Adorno de Armadura","Заплечное украшение","Accesorio para armadura","แฟชั่นติดเกราะ","背飾","",4,[]
50,"GlovesMtx","Gloves","Gants","Handschuhe","手袋","장갑","Luvas","Перчатки","Guantes","ถุงมือ","手部外觀","",4,[]
51,"BootsMtx","Boots","Bottes","Stiefel","靴","장화","Botas","Сапоги","Botas","รองเท้า","腳部外觀","",4,[]
52,"FootprintsMtx","Footprints","Empreintes","Fußspuren","足跡","발자국","Pegadas","Следы","Huellas","รอยเท้า","行走特效","","",[]
53,"ShieldSkin","Shield Skin","Apparence de bouclier","Schild-Skin","盾スキン","방패 스킨","Visual de Escudo","Внешний вид щита","Aspecto para escudo","สกินโล่","護盾外觀","","",[]
54,"ApparitionMtx","Apparition","Apparition","Erscheinung","幻影","유령","Aparição","Временный эффект","Aparición","ร่างเงา","項鍊特效","","",[]
55,"CharacterEffectMtx","Character Effect","Effet de personnage","Charaktereffekt","キャラクターエフェクト","캐릭터 이펙트","Efeito de Personagem","Эффект персонажа","Efecto para el personaje","เอฟเฟคตัวละคร","角色特效","","",[]
56,"PetMtx","Pet","Familier","Begleiter","ペット","애완동물","Mascotes","Питомец","Mascota","สัตว์เลี้ยง","寵物","","",[]
57,"SocialFrameMtx","Social Frame","Cadre de portrait","Rahmen","ソーシャルフレーム","소셜 액자","Moldura de Retrato","Социальная рамка","Marco social","กรอบรูปตัวละคร","肖像外框","","",[]
58,"PortraitMtx","Portrait","Portrait","Portrait","ポートレート","초상화","Retrato","Портрет","Retrato","รูปภาพตัวละคร","頭像","","",[]
59,"PortalMtx","Portal","Portail","Portal","ポータル","포탈","Portal","Портал","Portal","วาร์ป","時空之門","","",[]
60,"RingMtx","Ring Skin","Apparence de bague","Ring-Skin","指輪スキン","반지 스킨","Visual de Anel","Внешний вид кольца","Aspecto para anillo","สกินแหวน","戒指外觀","","",[]
61,"HipAttachmentMtx","Hip Attachment","Accessoire à la hanche","Hüftzusatz","腰装飾品","허리 부착물","Acessório de Cintura","Набедренное украшение","Accesorio para la cadera","แฟชั่นติดสะโพก","臀部附加","","",[]
