"rownum","Id","i32","[rid]"
0,"tornado",0,[480]
1,"raging_spirit",0,[21]
2,"raging_spirit",1,[22]
3,"raging_spirit",2,[23]
4,"raging_spirit",3,[24]
5,"raging_spirit",4,[25]
6,"raging_spirit",5,[118]
7,"raging_spirit",6,[26]
8,"raging_spirit",7,[448]
9,"raging_spirit",8,[481]
10,"raging_spirit",9,[482]
11,"raging_spirit",10,[875]
12,"summon_skeleton_warrior",0,[1317]
13,"summon_skeleton_reaver",0,[1318]
14,"summon_skeleton_brute",0,[1319]
15,"summon_skeleton_archer",0,[1320]
16,"summon_skeleton_frost_mage",0,[1321]
17,"summon_skeleton_storm_mage",0,[1322]
18,"summon_skeleton_arsonist",0,[1323]
19,"summon_skeleton_cleric",0,[1324]
20,"skeletal_construct",0,[1366]
21,"skeletal_construct",1,[1366]
22,"ancestral_warrior_spirit",0,[1373]
23,"rhoa_mount",0,[1375]
24,"rhoa_mount",1,[1376]
25,"rhoa_mount",2,[1377]
26,"bone_offering",0,[1330]
27,"bone_offering",1,[1331]
28,"pain_offering",0,[1328]
29,"pain_offering",1,[1329]
30,"power_offering",0,[1332]
31,"power_offering",1,[1333]
32,"volatile_dead_core",0,[95]
33,"volatile_dead_core",1,[96]
34,"volatile_dead_core",2,[97]
35,"volatile_dead_core",3,[125]
36,"volatile_dead_core",4,[126]
37,"volatile_dead_core",5,[127]
38,"hydra",0,[1434]
39,"mercenary_companion",0,[1314]
40,"demon_caster",0,[744]
41,"summon_infernal_familiar",0,[1442]
42,"animated_weapon",0,[1825]
43,"summon_artillery_daemon",0,[1826]
