"rownum","rid","[string]"
0,13301,"[""spiritprimal""]"
1,13302,"[""spiritprimal""]"
2,13303,"[""spiritprimal""]"
3,13304,"[""spiritprimal""]"
4,13305,"[""spiritprimal""]"
5,13306,"[""spiritprimal""]"
6,13307,"[""spiritwild""]"
7,13308,"[""spiritwild""]"
8,13309,"[""spiritwild""]"
9,13310,"[""spiritwild""]"
10,13311,"[""spiritwild""]"
11,13312,"[""spiritwild""]"
12,13313,"[""spiritvivid""]"
13,13314,"[""spiritvivid""]"
14,13315,"[""spiritvivid""]"
15,13316,"[""spiritvivid""]"
16,13317,"[""spiritvivid""]"
17,13318,"[""spiritvivid""]"
18,13319,"[""spiritsacred""]"
19,13320,"[""spiritsacred""]"
20,13321,"[""spiritsacred""]"
21,13323,"[""spiritsacred""]"
22,13324,"[""spiritsacred""]"
23,13385,"[""spiritvivid""]"
