"rownum","Stat","StatValue","bool"
0,0,100,""
1,7704,600,""
2,9367,1,1
3,8295,10,1
4,8296,10,""
5,2412,10,1
6,9322,10,1
7,9323,10,1
8,5427,10,""
9,5562,10,1
10,3495,10,""
11,2274,100,""
12,3262,1,""
13,3261,1,""
14,5615,10,""
15,2272,7,""
16,2975,10,""
17,2976,8,""
18,4630,1,""
19,5638,1,""
20,8120,10,""
21,6212,5,""
22,13171,1,""
23,9729,1,""
24,8848,10,""
25,11151,1,""
26,12617,100,""
27,4784,0,""
28,9515,10,""
29,8027,4,""
30,11143,10,""
31,7649,1,""
32,11485,100,1
33,12841,10,""
34,12948,100,""
35,12949,100,""
36,12978,100,""
37,15207,100,""
38,13075,1,""
39,13119,100,1
40,13879,1,""
41,13938,10,""
42,14762,1,""
43,15447,100,""
44,15463,100,""
45,16276,1,""
46,16275,1,""
47,15459,1,""
48,15453,1,""
49,15457,1,""
50,16273,1,1
51,15974,10,1
52,16050,10,""
53,16116,10,""
54,16160,10,""
55,16277,0,1
56,2296,1,""
57,4770,1,""
58,16282,1,""
59,16325,100,1
60,16361,100,""
61,16356,100,""
62,16360,100,""
63,16434,10,1
64,16776,1,""
65,19305,1,""
66,2479,1,1
67,6937,10,""
68,21922,100,1
69,22450,1,""
