"rownum","Metadata","AreaLevel","SpawnsMonsters","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","bool","bool","bool","bool","i32","i32","i32","i32","rid","bool","bool","Script1","bool","bool","Script2","[i32]","i32","i32","i32","i32","i32","i32","i32","i32"
0,"Metadata/Monsters/LeagueExpedition/Olroth/Objects/OlrothAddSpawnerPhase1",1,"[451,464]",4800,0,0,1600,3200,0,0,65793,"",1,"","","","",2,0,0,0,"","","","triggerer.DoAction(WalkEmerge);","",1,"","[3,1]",0,3000,0,0,1000,1000,2,2
1,"Metadata/Monsters/LeagueExpedition/Olroth/Objects/OlrothAddSpawnerPhase2",1,"[451,464]",4800,0,0,1600,3200,0,0,65793,"",1,"","","","",2,0,0,0,"","","","triggerer.DoAction(WalkEmerge);","",1,"","[3,1]",0,3000,0,0,1000,1000,2,2
2,"Metadata/Terrain/Leagues/Expedition/Objects/Spawners/ExpeditionFodderSpawnerInstant",1,"[449,450,452]",0,3,30,0,0,0,0,256,1,"","","","",1,0,0,0,0,1,"","","triggerer.DoAction( Emerge ); triggerer.PlayEffect( \""Metadata/Effects/Spells/monsters_effects/act4/skeletonsoldier/emerge/emergefx.ao\"" );","","","",[],0,200,0,0,3,3,3,3
3,"Metadata/Terrain/Leagues/Expedition/Objects/Spawners/ExpeditionFodderSpawnerInstant",10,"[449,450,452]",0,3,30,0,0,0,0,256,1,"","","","",1,0,0,0,0,1,"","","triggerer.DoAction( Emerge ); triggerer.PlayEffect( \""Metadata/Effects/Spells/monsters_effects/act4/skeletonsoldier/emerge/emergefx.ao\"" );","","","",[],0,200,0,0,3,3,3,3
4,"Metadata/Terrain/Leagues/Expedition/Objects/Spawners/ExpeditionFodderSpawnerInstant",15,"[449,450,452]",0,3,30,0,0,0,0,256,1,"","","","",1,0,0,0,0,1,"","","triggerer.DoAction( Emerge ); triggerer.PlayEffect( \""Metadata/Effects/Spells/monsters_effects/act4/skeletonsoldier/emerge/emergefx.ao\"" );","","","",[],0,150,0,0,4,4,4,4
5,"Metadata/Terrain/Leagues/Expedition/Objects/Spawners/ExpeditionFodderSpawnerInstant",20,"[449,450,452]",0,3,30,0,0,0,0,256,1,"","","","",1,0,0,0,0,1,"","","triggerer.DoAction( Emerge ); triggerer.PlayEffect( \""Metadata/Effects/Spells/monsters_effects/act4/skeletonsoldier/emerge/emergefx.ao\"" );","","","",[],0,150,0,0,5,5,5,5
6,"Metadata/Terrain/Leagues/Expedition/Objects/Spawners/ExpeditionFodderSpawnerInstant",30,"[449,450,452]",0,3,30,0,0,0,0,256,1,"","","","",1,0,0,0,0,1,"","","triggerer.DoAction( Emerge ); triggerer.PlayEffect( \""Metadata/Effects/Spells/monsters_effects/act4/skeletonsoldier/emerge/emergefx.ao\"" );","","","",[],0,100,0,0,6,6,6,6
7,"Metadata/Terrain/Leagues/Expedition/Objects/Spawners/ExpeditionFodderSpawnerInstant",40,"[449,450,452]",0,3,30,0,0,0,0,256,1,"","","","",1,0,0,0,0,1,"","","triggerer.DoAction( Emerge ); triggerer.PlayEffect( \""Metadata/Effects/Spells/monsters_effects/act4/skeletonsoldier/emerge/emergefx.ao\"" );","","","",[],0,100,0,0,7,7,7,7
8,"Metadata/Terrain/Leagues/Expedition/Objects/Spawners/ExpeditionFodderSpawnerInstant",60,"[449,450,452]",0,3,30,0,0,0,0,256,1,"","","","",1,0,0,0,0,1,"","","triggerer.DoAction( Emerge ); triggerer.PlayEffect( \""Metadata/Effects/Spells/monsters_effects/act4/skeletonsoldier/emerge/emergefx.ao\"" );","","","",[],0,100,0,0,8,8,8,8
9,"Metadata/Monsters/Werewolves/Spawners/SpawnerWerewolfProwlerBasic",1,[235],0,0,0,0,0,0,0,65792,"",1,"","","","",0,0,0,0,"","","","","","","",[],0,0,0,0,1,1,1,1
