"rownum","BaseItemTypesKey","i32","Description","HASH16","AchievementItemsKeys"
0,701,111,"Essence Item",52571,[]
1,702,131,"Currency Item",52259,[]
2,703,151,"Unique Item",18701,[]
3,704,121,"Map Item",22038,[]
4,705,251,"Unique Map Item",6696,[]
5,706,301,"Rare Abyss Item",41772,[]
6,707,301,"Fragment Item",60390,[]
7,708,301,"Scarab Item",32186,[]
8,709,151,"Essence Item",23218,[]
9,710,301,"Fossil Item",19642,[]
10,711,221,"Expedition Item",40101,[]
11,712,151,"Stacked Decks",34745,[]
12,713,151,"Talisman Item",43064,[]
13,714,161,"Enchanted Helmet",19352,[]
14,715,1001,"6-Linked Armour Item",6078,[]
15,716,141,"Currency Item",14134,[]
16,717,1501,"League-specific Unique Item",4526,[]
17,718,501,"Shaper or Elder Armour Item",61377,[]
18,719,501,"Shaper or Elder Weapon Item",53204,[]
19,720,701,"Shaper or Elder Trinket Item",61894,[]
20,721,501,"Elder Map Item",39336,[]
21,722,351,"Breach Item",43164,[]
22,723,351,"valuable Currency Shards or Harbinger Item",50482,[]
23,724,501,"high level Corrupted Gem or Valuable Gem",15068,[]
24,725,301,"Item",31223,[]
25,726,121,"Quality Gem",16288,[]
26,727,151,"Bestiary Item",28161,[]
27,728,221,"Blight Item",19373,[]
28,729,221,"Metamorph Item",62324,[]
29,730,431,"Delirium Item",23535,[]
30,731,111,"Essence Item",46750,[]
31,732,131,"Currency Item",54300,[]
32,733,151,"Unique Item",59184,[]
33,734,121,"Map Item",43361,[]
34,735,251,"Unique Map Item",37492,[]
35,736,301,"Rare Abyss Item",2531,[]
36,737,301,"Fragment Item",4173,[]
37,738,301,"Scarab Item",25303,[]
38,739,151,"Essence Item",31454,[]
39,740,301,"Fossil Item",51101,[]
40,741,221,"Expedition Item",41074,[]
41,742,151,"Stacked Decks",47490,[]
42,743,151,"Talisman Item",23793,[]
43,744,161,"Enchanted Helmet",42868,[]
44,745,1001,"6-Linked Armour Item",12755,[]
45,746,141,"Currency Item",30048,[]
46,747,1501,"League-specific Unique Item",32094,[]
47,748,501,"Shaper or Elder Armour Item",38195,[]
48,749,501,"Shaper or Elder Weapon Item",28068,[]
49,750,701,"Shaper or Elder Trinket Item",52048,[]
50,751,501,"Elder Map Item",56725,[]
51,752,351,"Breach Item",39939,[]
52,753,351,"valuable Currency Shards or Harbinger Item",19733,[]
53,754,501,"high level Corrupted Gem or Valuable Gem",41974,[]
54,755,301,"Item",55071,[]
55,756,121,"Quality Gem",43471,[]
56,757,151,"Bestiary Item",58563,[]
57,758,221,"Blight Item",24651,[]
58,759,221,"Metamorph Item",65346,[]
59,760,431,"Delirium Item",12740,[]
