"rownum","BaseType","Type","Charges","Duration","EnemyLimit","Visual","Empowerment","UseAchievement","CreatedViaPowerCore"
0,1663,0,8,30,15,1812,5,8497,""
1,1664,0,10,30,25,1802,10,8498,""
2,1665,0,8,40,30,1800,16,8499,""
3,1666,0,8,40,50,1808,22,8500,""
4,1667,0,10,50,75,1801,28,8501,""
5,1668,0,8,50,85,1813,34,8502,""
6,1669,0,12,100,100,1803,40,8503,1
7,1670,0,18,60,100,1806,45,8504,1
8,1671,0,12,60,150,1807,50,8505,1
9,1672,1,8,10,30,1802,18,8506,""
10,1673,1,10,10,30,1800,20,8507,""
11,1674,1,8,10,50,1808,22,8508,""
12,1675,1,10,10,80,1801,24,8509,""
13,1676,1,8,10,100,1813,26,8510,""
14,1677,1,12,10,200,1803,20,8511,1
15,1678,1,18,10,120,1806,30,8512,1
16,1679,1,12,10,70,1807,35,8513,1
17,1680,2,12,20,2,1802,30,8514,""
18,1681,2,8,30,2,1816,35,8515,""
19,1682,2,8,50,3,1808,40,8516,""
20,1683,2,10,30,3,1801,45,8517,""
21,1684,2,8,40,4,1813,42,8518,""
22,1685,2,12,50,4,1803,45,8519,1
23,1686,2,18,30,4,1806,50,8520,1
24,1687,2,12,30,4,1807,55,8521,1
25,1688,2,5,20,1,1804,100,8522,""
