"rownum","GrantedEffect","Stats","StatsValuesPermille","AddTypes","AddMinionTypes","[i32]"
0,5661,[20030],[1000],[],[],[]
1,34,[169],[1500],[],[],[]
2,285,[19037],[100],[],[],[0]
3,47,[18742],[500],[],[],[]
4,201,[19015],[200],[],[],[]
5,278,[1228],[200],[],[],[]
6,280,[6436],[2000],[],[],[]
7,281,[6436],[2000],[],[],[]
8,164,[392],[1500],[],[],[]
9,189,[1911],[500],[],[],[]
10,178,[583],[1000],[],[],[]
11,282,[209],[1000],[],[],[]
12,159,[1911],[750],[],[],[]
13,33,[18742],[1000],[],[],[]
14,28,[19968],[1000],[],[],[]
15,102,[7389],[1000],[],[],[]
16,75,[166],[150],[],[],[]
17,5659,[18608],[-15000],[],[],[]
18,54,[7491],[100],[],[],[]
19,5662,[1209],[1000],[],[],[]
20,73,[19967],[200],[],[],[]
21,44,[3436],[500],[],[],[]
22,74,[19717],[1000],[],[],[]
23,63,[1209],[1000],[],[],[]
24,56,[1383],[500],[],[],[]
25,57,[1383],[500],[],[],[]
26,58,[1383],[500],[],[],[]
27,40,[1383],[500],[],[],[]
28,200,[18234],[250],[],[],[]
29,38,[3239],[1000],[],[],[]
30,5660,[19434],[500],[],[],"[0,2]"
31,121,[19654],[1000],[],[],[]
32,190,[557],[10000],[],[],[]
33,46,[17728],[100],[],[],[]
34,59,[17728],[200],[],[],[]
35,77,[18920],[5000],[],[],[]
36,84,[13311],[-500],[],[],[]
37,291,[349],[250000],[],[],[]
38,41,[1383],[500],[],[],[]
39,79,[349],[50000],[],[],[1]
40,81,[638],[1000],[],[],[]
41,5644,[18975],[200],[],[],[]
42,290,[18150],[2500],[],[],[]
43,32,[1095],[1000],[],[],[]
44,272,[17728],[1200],[],[],[]
45,289,[1209],[500],[],[],[]
46,31,[17728],[200],[],[],[]
47,43,[1383],[500],[],[],[]
48,37,[13311],[-500],[],[],[]
49,315,[18979],[1000],[],[],[]
50,90,[1383],[500],[],[],[]
51,82,[20025],[1000],[],[],[]
52,318,[9244],[1000],[],[],[]
53,2642,[623],[2000],[],[],[]
54,86,[9436],[1000],[],[],[]
55,104,[628],[1000],[],[],[]
56,83,[22481],[1000],[],[],[]
57,88,[638],[1500],[],[],[]
58,316,[349],[50000],[],[],[]
59,49,[18656],[2000],[],[],[]
60,161,[18418],[6000],[],[],[]
61,292,[9615],[1000],[],[],[]
62,295,[17728],[200],[],[],[]
63,293,[194],[1500],[],[],[]
64,97,[95],[2500],[],[],[]
65,304,[18720],[500],[],[],[1]
66,64,[20486],[-250],[],[],[]
67,5653,"[18388,22484]","[100,100]",[],[],[]
68,298,[349],[300000],[],[],[]
69,42,[11723],[750],[],[],[]
70,296,[17728],[200],[],[],"[0,1]"
71,92,[18388],[500],[],[],[]
72,5652,[18599],[100],[],[],[]
73,323,[627],[1000],[],[],[]
74,76,[20532],[100],[],[],[0]
75,116,[1911],[1000],[],[],[]
76,158,[19782],[2500],[],[],"[1,2]"
77,45,[19352],[1000],[],[],[]
78,51,[18707],[-27500],[],[],[]
79,70,"[17964,17965]","[500,2500]",[],[],[]
80,299,[18657],[1000],[],[],[]
81,5730,[10158],[1500],[],[],[]
82,5738,[11183],[25],[],[],[]
83,29,[19976],[1000],[],[],[]
84,99,[11591],[150],[],[],[]
85,301,[19352],[1000],[],[],[]
86,100,[20029],[-2500],[],[],[]
87,168,[349],[200000],[],[],[]
88,5737,[20471],[100],[],[],[]
89,98,[3368],[2000],[],[],[]
90,162,[17967],[100],[],[],[]
91,5736,[18899],[1000],[],[],[]
92,105,[866],[100000],[],[],[]
93,5733,[17728],[200],[],[],[]
94,267,[3239],[1000],[],[],[]
95,146,[623],[1000],[],[],[]
96,182,[19352],[1500],[],[],[]
97,150,[18388],[100],[],[],[]
98,268,[3239],[1000],[],[],[]
99,294,[18150],[2500],[],[],[]
100,144,[20030],[1000],[],[],[]
101,142,[9614],[1000],[],[],[]
102,180,[17523],[250],[],[],[]
103,184,[18504],[10000],[],[],[1]
104,149,[18408],[100],[],[],[]
105,140,[7389],[1500],[],[],[]
106,95,[18707],[-20000],[],[],[]
107,270,[3239],[1000],[],[],[]
108,137,[18408],[250],[],[],[]
109,152,[14413],[1500],[],[],[]
110,134,[18401],[4000],[],[],[]
111,284,[18427],[2000],[],[],[]
112,174,[21818],[500],[],[],[]
113,202,[557],[10000],[],[],[]
114,334,[557],[10000],[],[],[]
115,325,[17731],[500],[],[],[]
116,324,[18899],[1000],[],[],[]
117,332,"[1383,12626]","[500,500]",[],[],[]
118,326,[18861],[-100],[],[],[]
119,5779,[19875],[1000],[],[],[]
120,85,[13311],[-500],[],[],[]
121,5740,[20251],[100],[],[],[]
122,117,[169],[1500],[],[],[]
123,91,[9614],[1000],[],[],[]
124,5778,[632],[1000],[],[],[]
125,206,[18388],[200],[],[],[]
126,346,[20249],[750],[],[],[1]
127,114,[13170],[50],[],[],[]
128,48,[19068],[500],[],[],[]
129,5726,[19093],[1500],[],[],[]
130,160,[169],[2000],[],[],[]
131,5727,[17728],[200],[],[],[]
132,89,[18979],[500],[],[],[]
133,122,[15826],[-500],[],[],[]
134,5667,"[349,3093]","[50000,50000]",[],[],[0]
135,175,[210],[500],[],[],[]
136,101,[17728],[400],[],[],[]
137,27,[18657],[1000],[],[],[]
138,80,[4431],[125],[],[],[]
139,216,[18656],[2000],[],[],[]
140,5665,[18388],[50],[],[],[]
141,5735,[349],[-25000],[],[],[]
142,115,[349],[25000],[],[],[]
143,93,[349],[5000],[],[],[1]
144,177,[3239],[500],[],[],[]
145,39,[1732],[500],[],[],[]
146,50,[19106],[1000],[],[],[]
147,5731,[349],[50000],[],[],[]
148,60,[21076],[400],[],[],[]
149,61,[21077],[400],[],[],[]
150,62,[21078],[400],[],[],[]
151,69,[18138],[100],[],[],[0]
152,94,[9412],[100],[],[],[]
153,314,[17728],[200],[],[],[]
154,68,[17728],[200],[],[],[1]
155,261,[19068],[1000],[],[],[]
156,5664,[18638],[1500],[],[],[]
157,55,[17574],[50],[],[],[]
158,306,[2086],[50],[],[],[]
159,347,[3239],[500],[],[],[]
