"rownum","string","i32","i32","bool"
0,"SkillDialogue",60000,200000,""
1,"SavageHit",3000,4000,""
2,"AlvaUtzaalAttack",25000,40000,""
3,"OpenShop",10000,15000,""
4,"ShopGeneric",10000,15000,""
5,"ZarokhProjectileSweep",6000,7500,""
6,"RareCurrencyDrop",250000,500000,""
7,"MediumHit",1000,2000,""
8,"AdrienneCombat",4000,12000,""
9,"BronnachCombat",4000,12000,""
10,"SondarCombat",4000,12000,""
11,"DoranCombat",4000,12000,""
12,"DoranCombatDodge",5000,15000,""
13,"DoranHeavyHit",10000,20000,""
14,"UlfredCombat",4000,12000,""
15,"DrusianCombat",4000,12000,""
16,"EngageDialogue",90000,300000,""
17,"NyassaCombat",4000,12000,""
18,"HesperiaCombat",4000,12000,""
19,"TauaCombat",4000,12000,""
20,"RaokCombat",4000,12000,""
21,"VasaCombat",4000,12000,""
22,"CiaraCombat",4000,12000,""
23,"TrialmasterHideout",6000,10000,""
24,"KalandraCallout",40000,60000,1
25,"DjinnPortalApproach",60000,60000,""
26,"GelidaCombat",4000,8000,""
27,"IgnatiaCombat",4000,8000,""
