"rownum","string","rid","rid","i32","rid","i32","rid"
0,"DefaultBuy","","",8,"",0,""
1,"DefaultSell","","",8,"",1,""
2,"ShopOpen","","",8,"",2,""
3,"ShopClose","","",8,"",3,""
4,"ShopCloseNoPurchase","","",8,"",4,""
5,"BuyRareWeapon",2,"",0,"",0,""
6,"SellHeadhunter","","",8,"",1,298
7,"WeaponBuy","","",0,"",0,""
8,"ArmourBuy","","",5,"",0,""
9,"BuyNormalGeneric",0,"",8,"",0,""
10,"BuyMagicGeneric",1,"",8,"",0,""
11,"BuyRareGeneric",2,"",8,"",0,""
12,"BuyUniqueGeneric",3,"",8,"",0,""
13,"BuyMeleeWeapon","","",2,"",0,""
14,"BuyFlaskLife","",0,4,"",0,""
15,"BuyFlaskMana","",1,8,"",0,""
16,"BuyCharm","",33,8,"",0,""
17,"ExpeditionTakeDagger","",7,8,"",5,""
18,"ExpeditionTakeCrossbow","",78,8,"",5,""
19,"ExpeditionTakeBow","",13,8,"",5,""
20,"ExpeditionTakeQuarterstaff","",57,8,"",5,""
21,"ExpeditionTakeStaff","",14,8,"",5,""
22,"ExpeditionTakeWand","",8,8,"",5,""
23,"ExpeditionTakeMaceOneHanded","",12,8,"",5,""
24,"ExpeditionTakeMaceTwoHanded","",17,8,"",5,""
25,"ExpeditionTakeSceptre","",32,8,"",5,""
26,"ExpeditionTakeSwordOneHanded","",9,8,"",5,""
27,"ExpeditionTakeSwordTwoHanded","",15,8,"",5,""
28,"ExpeditionTakeAxeOneHanded","",11,8,"",5,""
29,"ExpeditionTakeAxeTwoHanded","",16,8,"",5,""
