"rownum","BaseItemType","SkillsGranted","IsWeapon"
0,1870,[296],1
1,1871,[382],1
2,1872,[381],1
3,1873,[39],1
4,1874,[4],1
5,1875,[130],1
6,1876,[327],1
7,1877,[120],1
8,1878,[296],1
9,1879,[296],1
10,1880,[296],1
11,1881,[78],1
12,1882,[296],1
13,1883,[308],1
14,1884,[323],1
15,1885,[200],1
16,1886,[308],1
17,1887,[388],1
18,1888,[116],1
19,1889,[104],1
20,1890,[121],1
21,1891,[308],1
22,1892,[204],1
23,1893,[25],1
24,1894,[180],1
25,1895,[84],1
26,2177,[319],""
27,2178,[319],""
28,2179,[319],""
29,2180,[319],""
30,2181,[319],""
31,2182,[319],""
32,2183,[319],""
33,2184,[319],""
34,2185,[319],""
35,2186,[319],""
36,2187,[319],""
37,2188,[319],""
38,2189,[319],""
39,2190,[319],""
40,2191,[319],""
41,2192,[319],""
42,2193,[319],""
43,2194,[319],""
44,2195,[319],""
45,2196,[319],""
46,2197,[319],""
47,2198,[319],""
48,2199,[319],""
49,2200,[319],""
50,2201,[319],""
51,2202,[319],""
52,2203,[319],""
53,2204,[319],""
54,2205,[319],""
55,2206,[319],""
56,2207,[319],""
57,2208,[319],""
58,2209,[319],""
59,2210,[319],""
60,2211,[319],""
61,2526,[319],""
62,2527,[319],""
63,2528,[319],""
64,2529,[319],""
65,2530,[319],""
66,2531,[319],""
67,2532,[319],""
68,2533,[319],""
69,2534,[319],""
70,2535,[319],""
71,2536,[319],""
72,2537,[319],""
73,2538,[319],""
74,2539,[319],""
75,2540,[319],""
76,2541,[319],""
77,2542,[319],""
78,2543,[319],""
79,2630,[319],""
80,2631,[319],""
81,2632,[319],""
82,2633,[319],""
83,2634,[319],""
84,2635,[319],""
85,2636,[319],""
86,2637,[319],""
87,2638,[319],""
88,1922,[360],1
89,1923,[41],1
90,1924,[360],1
91,1925,[385],1
92,1926,[360],1
93,1927,[58],1
94,1928,[59],1
95,1929,[60],1
96,1930,[360],1
97,1931,[360],1
98,1932,[360],1
99,1933,[360],1
100,1934,[360],1
101,1935,[360],1
102,1936,[360],1
103,2212,[728],""
104,2213,[728],""
105,2214,[728],""
106,2215,[728],""
107,2216,[728],""
108,2217,[728],""
109,2218,[728],""
110,2219,[728],""
111,2220,[728],""
112,2221,[728],""
113,2222,[728],""
114,2223,[728],""
115,2224,[728],""
116,2544,[728],""
117,2545,[728],""
118,2546,[728],""
119,2547,[728],""
120,2548,[728],""
121,2549,[728],""
122,2639,[728],""
123,2640,[728],""
124,2641,[728],""
