"rownum","rid","[rid]","[i32]"
0,3891,[19942],[300]
1,3453,[18672],[-50]
2,3454,[19034],[50]
3,2883,[119],[750]
4,3280,[3281],[1]
5,3382,[1007],[1]
6,3391,[19166],[50]
7,3468,[408],[-25]
8,3469,[19565],[5]
9,2749,[171],[-20]
10,3307,[4693],[1]
11,2394,[118],[100]
12,3261,[19762],[1]
13,2418,[118],[30]
14,2870,[119],[900]
15,2884,[119],[240]
16,3259,[3508],[1]
17,3296,[19551],[2]
18,3297,[18908],[10]
19,3315,[9230],[100]
20,3316,[804],[10]
21,3378,[16857],[1]
22,3383,"[11260,11261,19371,11262,12301]","[10,30,10,1,1]"
23,3447,[9443],[100]
24,3506,[9595],[60]
25,3128,[201],[40]
26,3147,[132],[50]
27,3244,[14863],[40]
28,3255,[8932],[10]
29,3322,[5146],[25]
30,3385,[133],[-30]
31,3392,[3828],[1]
32,3393,[18412],[50]
33,3396,[9436],[25]
34,3446,[19364],[500]
35,3520,[19740],[1]
36,2872,[119],[750]
37,3276,[18789],[50]
38,3311,[19441],[25]
39,3484,[11239],[1]
40,3485,[11238],[1]
41,3674,[1306],[-1]
42,2450,[118],[-25]
43,3135,[14121],[-50]
44,3412,[1248],[25]
45,3490,[19765],[1]
46,3134,[14121],[-50]
47,3314,[18909],[20]
48,3323,[4487],[-20]
49,3324,[4488],[100]
50,3384,[133],[40]
51,3389,[7205],[1]
52,3452,[19686],[1]
53,3461,[181],[20]
54,3462,[3781],[1]
55,3463,[3782],[1]
56,2285,[140],[62]
57,2332,[135],[30]
58,2335,[135],[-10]
59,2448,[118],[50]
60,2747,[171],[-10]
61,2874,[119],[180]
62,2876,[119],[750]
63,2882,[119],[270]
64,2931,[99],[10]
65,2943,[101],[10]
66,3138,[1039],[15]
67,3313,[17030],[20]
68,3351,[423],[15]
69,3358,[3462],[-42]
70,3359,[2546],[-42]
71,3360,[3463],[-42]
72,3399,[1992],[1]
73,3400,[9396],[1]
74,3409,[1745],[1]
75,3423,[19540],[1]
76,3424,[19602],[1]
77,3425,[19603],[1]
78,3441,[2041],[1]
79,3442,[2042],[1]
80,3443,[2043],[1]
81,3449,[19621],[100]
82,3457,[19684],[100]
83,3458,[19724],[1]
84,3525,[3368],[25]
85,3526,[10383],[52]
86,3535,[20300],[1]
87,3536,[20037],[3]
88,3538,[19184],[1]
89,3544,[4456],[12]
90,3545,[15411],[10]
91,3866,[451],[1]
92,3876,[793],[1]
93,3881,[2277],[1]
94,2881,[119],[480]
95,2932,[99],[8]
96,2944,[101],[5]
97,2955,[70],[5]
98,2956,[70],[6]
99,2957,[70],[5]
100,2961,[70],[-5]
101,2962,[70],[7]
102,2993,[210],[-10]
103,2994,[210],[9]
104,3184,[18417],[45]
105,3192,[17893],[25]
106,3195,[25],[15]
107,3260,[18772],[1]
108,3309,[19817],[1]
109,3327,[2053],[6000]
110,3328,[2054],[6000]
111,3329,[2055],[6000]
112,3330,[2056],[6000]
113,3331,[1799],[1]
114,3333,[20268],[12]
115,3338,[19619],[1]
116,3339,[9226],[800]
117,3340,[19620],[1]
118,3341,[5710],[1]
119,3346,[3435],[25]
120,3370,[2111],[1]
121,3371,[3266],[25]
122,3372,[3266],[25]
123,3374,[19066],[1]
124,3377,[19742],[1]
125,3867,[18016],[100]
126,3872,[19372],[33]
127,3873,[19373],[33]
128,3874,[19374],[33]
129,3880,[19202],[1]
130,2426,[117],[50]
131,2742,[171],[10]
132,2743,[171],[15]
133,2744,[171],[15]
134,2745,[171],[10]
135,2746,[171],[15]
136,2748,[171],[10]
137,2750,[171],[10]
138,2751,[171],[20]
139,2752,[171],[20]
140,2755,[171],[15]
141,2758,[171],[12]
142,2760,[171],[15]
143,2765,[171],[10]
144,2877,[119],[1350]
145,3130,[199],[40]
146,3131,[198],[40]
147,3132,[200],[40]
148,3146,[132],[-5]
149,3238,[18661],[1]
150,3256,[20724],[1]
151,3257,[11265],[1]
152,3343,[1082],[10]
153,3362,[19729],[1]
154,3363,[19710],[30]
155,3365,[174],[1]
156,3366,[175],[1]
157,3368,[172],[5]
158,3369,[3370],[12]
159,3386,[133],[100]
160,3415,[19446],[90]
161,3416,[19442],[25]
162,3426,[18926],[1]
163,3459,[19723],[40]
164,3471,[19741],[1]
165,3505,[19795],[1]
166,3518,[215],[200]
167,3671,[844],[15]
168,3877,[704],[1]
169,2251,[138],[22]
170,2764,[171],[-10]
171,2880,[119],[240]
172,3140,[947],[5]
173,3282,[19589],[200]
174,3283,[6577],[1]
175,3408,[21495],[8000]
176,3422,[19595],[1]
177,3428,[19678],[1]
178,3429,[19677],[1]
179,3437,[19625],[1]
180,3438,[19626],[1]
181,3472,[439],[180]
182,3473,[772],[180]
183,3474,[1243],[25]
184,3502,[2794],[4]
185,3539,[209],[40]
186,3540,[3239],[40]
187,3751,[2357],[50]
188,3269,[14599],[20]
189,2959,[70],[7]
190,3182,[18228],[50]
191,3509,[18122],[7]
192,3510,[18888],[7]
193,3517,[17769],[1]
