"rownum","i32","rid","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","bool","i32","bool","i32","i32","bool","i32","[rid]","i32","bool","i32","bool","bool","i32","bool","bool","rid","bool","bool","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","bool","i32","i32","i32","i32","i32","bool"
0,0,"","",100,10000,1,4,60,0,0,0,7,0,1,1,1,0,0,1,2,"",0,320,"",0,[],500,1,0,"","",0,"","","",1,"","",0,0,0,134217728,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
1,1,"","",8,530,3,3,57,8,0,0,6,30,4,2,1,0,0,1,2,"",0,256,"",0,[2831],0,"",0,"","",0,"","","",1,"","",0,0,0,402653184,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
2,2,"","",8,530,3,3,57,8,0,0,6,-30,4,2,1,0,0,1,2,"",0,256,"",0,[2831],0,"",0,"","",0,"","","",1,"","",0,0,0,671088640,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
3,3,"","",4,0,3,4,30,30,0,0,6,0,2,2,1,0,0,1,3,1,1,320,"",0,[],0,1,0,"","",0,"","","",1,"","",0,0,0,671088640,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
4,4,"","",10,0,4,4,40,20,270,0,6,0,2,2,1,0,0,1,3,"",0,320,"",0,[],0,1,0,"","",0,"","","",1,"","",0,0,0,671088640,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
5,5,"",705,5,500,1,3,40,0,0,0,7,0,1,2,1,0,0,1,2,"",0,320,"",0,[],0,1,0,"","",0,"","","",1,"","",0,0,0,671088640,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
6,6,"","",1,100,1,2,1,0,0,0,7,0,1,1,1,0,0,1,2,"",0,256,"",0,[],2670,1,0,"","",0,"","","",1,"","",0,0,0,671088640,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
7,7,"","",1,100,1,2,1,0,0,0,7,0,1,1,1,0,0,1,2,"",0,256,"",0,[],2670,1,0,"","",0,"","","",1,"","",0,0,0,671088640,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
8,8,"","",15,2000,4,4,55,54,360,0,6,0,2,2,1,0,0,"",2,"",0,320,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,671088640,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
9,9,"","",15,1000,4,4,55,54,360,0,6,0,2,2,1,0,0,"",2,"",0,320,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,671088640,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
10,10,"","",9,2500,4,4,35,30,360,0,6,0,1,1,1,0,8,"",2,"",0,256,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,671088640,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
11,11,"","",10,700,3,4,30,50,0,0,6,0,2,1,1,0,0,"",2,"",0,320,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,671088640,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
12,12,1189,"",8,0,4,2,60,30,360,0,6,0,1,1,1,0,0,"",3,"",0,256,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,671088640,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
13,13,"","",3,200,4,2,60,35,45,0,6,-30,2,1,1,0,0,"",2,"",0,256,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,671088640,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
14,14,"","",24,6000,3,4,40,30,0,0,6,0,1,2,1,0,0,"",2,"",0,512,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,671088640,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
15,15,4176,"",1,0,1,4,30,0,0,0,6,0,1,1,1,0,0,"",3,"",0,256,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,671088640,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
16,16,"","",10,2500,3,4,60,60,0,0,6,0,1,2,1,0,5,1,2,"",0,256,"",0,[],0,1,0,"","",0,"","","",1,"","",0,0,0,671088640,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
17,17,"","",40,10000,3,4,40,60,0,0,6,0,1,1,1,0,0,1,2,"",0,256,"",0,[],0,1,0,"","",0,"","","",1,"","",0,0,0,671088640,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
18,18,"","",8,0,4,2,25,24,360,0,6,0,2,2,1,0,0,"",3,"",0,320,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,671088640,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
19,21,"","",50,2500,4,2,80,15,360,0,6,0,3,3,2,0,0,1,2,1,0,256,"",0,[],0,1,0,"","",0,"","","",1,"","",0,0,0,671088640,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
20,22,"","",12,2500,4,2,80,15,360,0,6,0,1,1,1,0,0,1,2,"",0,320,"",0,[],0,1,0,"","",0,"","","",1,"","",0,0,0,671088640,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
21,23,"","",16,2000,4,4,25,24,360,0,6,0,2,2,1,0,0,"",2,"",0,320,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,671088640,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
22,24,"","",8,2000,4,2,30,29,330,0,6,0,2,2,1,0,0,"",2,"",0,320,"",0,[],400,1,0,"","",0,"","","","",1,"",0,0,0,671088640,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
23,25,"",3294,30,5000,3,4,40,40,0,0,6,0,1,2,1,0,0,"",2,"",0,256,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,671088640,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
24,26,"","",3,0,1,4,25,0,0,0,6,0,1,1,1,0,0,"",3,"",0,256,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,671088640,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
25,27,"","",8,1000,4,4,25,24,180,0,6,0,2,2,1,0,0,"",2,"",0,320,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,671088640,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
26,28,"","",4,500,4,4,25,24,90,0,6,0,2,2,1,0,0,"",2,"",0,320,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,671088640,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
27,29,"","",4,500,4,2,30,60,360,0,6,0,1,1,1,0,0,"",2,"",0,256,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,671088640,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
28,30,"","",2,1000,4,4,20,10,360,0,6,0,1,1,1,0,0,"",2,"",0,256,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,671088640,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
29,31,"","",3,1500,4,4,20,10,360,0,6,0,1,1,1,0,0,"",2,"",0,256,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,671088640,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
30,32,"","",5,2500,4,4,20,10,360,0,6,0,1,1,1,0,0,"",2,"",0,256,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,671088640,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
31,33,"","",7,100,4,2,100,60,360,0,6,0,1,1,1,0,0,"",2,"",0,256,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,671088640,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
32,34,"","",1,7000,1,4,25,0,0,0,7,0,1,1,1,0,0,1,2,"",0,256,"",0,[3054],1000,1,0,"","",0,"","","",1,"","",0,0,0,939524096,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
33,35,"","",3,200,4,3,20,10,360,0,7,0,1,1,1,0,0,"",2,"",0,256,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,939524096,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
34,36,"","",3,200,4,3,20,10,360,0,7,0,1,1,1,0,0,"",2,"",0,256,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,939524096,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
35,37,"","",9,1500,4,4,45,25,360,0,6,0,1,1,1,0,0,"",2,"",0,256,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,939524096,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
36,38,"","",3,100,1,4,20,0,0,0,7,0,1,1,1,0,0,1,2,"",0,256,"",0,[],0,1,0,"","",0,"","","",1,"","",0,0,0,939524096,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
37,39,4178,"",15,1000,4,2,100,20,360,0,7,0,1,2,1,0,0,"",2,"",0,256,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,939524096,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
38,40,"","",20,4000,1,2,1,0,0,0,7,0,1,1,1,0,0,"",2,"",0,256,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,939524096,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
39,41,"","",50,5000,1,2,70,0,0,0,7,0,1,1,1,0,0,1,2,"",0,256,"",0,[],0,1,0,"","",0,"","","",1,"","",0,0,0,939524096,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
40,42,"","",1,1000,1,4,10,0,0,0,7,0,1,1,1,0,0,"",2,"",1073741824,320,"",0,[1301],1000,1,0,"","",0,"","","","","","",0,0,0,1207959552,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
41,43,"","",1,1000,4,2,20,60,360,0,7,0,1,1,1,0,0,"",2,"",0,256,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,1207959552,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
42,44,"","",20,1000,1,2,70,0,0,0,4,0,4,2,1,90,0,"",2,"",0,320,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,1207959552,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
43,45,"","",10,200,4,4,50,40,360,0,7,0,2,1,1,0,0,"",2,"",0,256,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,1207959552,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
44,46,"","",15,800,1,4,15,0,0,0,7,0,2,1,1,0,0,"",2,"",0,320,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,1207959552,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
45,47,"","",4,0,4,3,60,59,360,0,4,0,4,2,1,90,0,"",1,"",0,320,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,1207959552,0,0,0,134217728,0,0,0,"",0,0,0,0,0,""
