"rownum","BaseItemType","Armour","Evasion","EnergyShield","IncreasedMovementSpeed","Ward","i32"
0,273,0,0,0,0,0,0
1,274,0,0,0,0,0,0
2,275,0,0,0,0,0,0
3,276,51,44,21,0,0,0
4,277,0,0,0,0,0,0
5,278,0,0,0,0,0,0
6,2325,0,0,0,0,0,0
7,2326,0,0,0,0,0,0
8,2327,0,0,0,0,0,0
9,2328,0,0,0,-500,0,0
10,2329,0,0,0,-300,0,0
11,1950,45,0,0,-500,0,0
12,1951,60,0,0,-500,0,0
13,1952,96,0,0,-500,0,0
14,1953,121,0,0,-500,0,0
15,1954,141,0,0,-500,0,0
16,1955,177,0,0,-500,0,0
17,1956,208,0,0,-500,0,0
18,1957,228,0,0,-500,0,0
19,1958,269,0,0,-500,0,0
20,1959,294,0,0,-500,0,0
21,1960,304,0,0,-500,0,0
22,1961,335,0,0,-500,0,0
23,1962,534,0,0,-500,0,0
24,1963,445,0,0,-500,0,0
25,1964,445,0,0,-500,0,0
26,1965,0,30,0,-300,0,0
27,1966,0,44,0,-300,0,0
28,1967,0,78,0,-300,0,0
29,1968,0,102,0,-300,0,0
30,1969,0,131,0,-300,0,0
31,1970,0,150,0,-300,0,0
32,1971,0,184,0,-300,0,0
33,1972,0,198,0,-300,0,0
34,1973,0,242,0,-300,0,0
35,1974,0,256,0,-300,0,0
36,1975,0,275,0,-300,0,0
37,1976,0,295,0,-300,0,0
38,1977,0,487,0,-300,0,0
39,1978,0,406,0,-300,0,0
40,1979,0,406,0,-300,0,0
41,1980,0,0,28,-300,0,0
42,1981,0,0,35,-300,0,0
43,1982,0,0,44,-300,0,0
44,1983,0,0,52,-300,0,0
45,1984,0,0,61,-300,0,0
46,1985,0,0,70,-300,0,0
47,1986,0,0,78,-300,0,0
48,1987,0,0,89,-300,0,0
49,1988,0,0,97,-300,0,0
50,1989,0,0,100,-300,0,0
51,1990,0,0,108,-300,0,0
52,1991,0,0,117,-300,0,0
53,1992,0,0,184,-300,0,0
54,1993,0,0,153,-300,0,0
55,1994,0,0,153,-300,0,0
56,1995,25,16,0,-400,0,0
57,1996,53,43,0,-400,0,0
58,1997,67,56,0,-400,0,0
59,1998,95,83,0,-400,0,0
60,1999,114,101,0,-400,0,0
61,2000,125,112,0,-400,0,0
62,2001,148,133,0,-400,0,0
63,2002,162,146,0,-400,0,0
64,2003,167,151,0,-400,0,0
65,2004,184,167,0,-400,0,0
66,2005,245,223,0,-400,0,0
67,2006,245,223,0,-400,0,0
68,2007,245,223,0,-400,0,0
69,2008,245,223,0,-400,0,0
70,2009,294,268,0,-400,0,0
71,2010,25,0,16,-400,0,0
72,2011,50,0,23,-400,0,0
73,2012,67,0,28,-400,0,0
74,2013,100,0,39,-400,0,0
75,2014,114,0,43,-400,0,0
76,2015,123,0,46,-400,0,0
77,2016,148,0,53,-400,0,0
78,2017,165,0,58,-400,0,0
79,2018,167,0,59,-400,0,0
80,2019,173,0,61,-400,0,0
81,2020,245,0,84,-400,0,0
82,2021,245,0,84,-400,0,0
83,2022,294,0,101,-400,0,0
84,2023,0,16,16,-300,0,0
85,2024,0,43,24,-300,0,0
86,2025,0,56,28,-300,0,0
87,2026,0,88,39,-300,0,0
88,2027,0,101,43,-300,0,0
89,2028,0,117,48,-300,0,0
90,2029,0,133,53,-300,0,0
91,2030,0,149,58,-300,0,0
92,2031,0,151,59,-300,0,0
93,2032,0,162,63,-300,0,0
94,2033,0,268,101,-300,0,0
95,2034,0,223,84,-300,0,0
96,2035,0,223,84,-300,0,0
97,2036,29,0,0,0,0,0
98,2037,66,0,0,0,0,0
99,2038,79,0,0,0,0,0
100,2039,116,0,0,0,0,0
101,2040,136,0,0,0,0,0
102,2041,146,0,0,0,0,0
103,2042,176,0,0,0,0,0
104,2043,196,0,0,0,0,0
105,2044,200,0,0,0,0,0
106,2045,216,0,0,0,0,0
107,2046,243,0,0,0,0,0
108,2047,0,19,0,0,0,0
109,2048,0,48,0,0,0,0
110,2049,0,67,0,0,0,0
111,2050,0,98,0,0,0,0
112,2051,0,121,0,0,0,0
113,2052,0,136,0,0,0,0
114,2053,0,158,0,0,0,0
115,2054,0,177,0,0,0,0
116,2055,0,181,0,0,0,0
117,2056,0,193,0,0,0,0
118,2057,0,222,0,0,0,0
119,2058,0,0,19,0,0,0
120,2059,0,0,28,0,0,0
121,2060,0,0,34,0,0,0
122,2061,0,0,44,0,0,0
123,2062,0,0,51,0,0,0
124,2063,0,0,58,0,0,0
125,2064,0,0,63,0,0,0
126,2065,0,0,69,0,0,0
127,2066,0,0,71,0,0,0
128,2067,0,0,77,0,0,0
129,2068,0,0,84,0,0,0
130,2069,23,18,0,0,0,0
131,2070,34,28,0,0,0,0
132,2071,44,37,0,0,0,0
133,2072,62,54,0,0,0,0
134,2073,75,66,0,0,0,0
135,2074,97,87,0,0,0,0
136,2075,110,99,0,0,0,0
137,2076,134,122,0,0,0,0
138,2077,23,0,12,0,0,0
139,2078,33,0,15,0,0,0
140,2079,44,0,19,0,0,0
141,2080,66,0,25,0,0,0
142,2081,75,0,28,0,0,0
143,2082,97,0,35,0,0,0
144,2083,110,0,39,0,0,0
145,2084,134,0,46,0,0,0
146,2085,0,18,12,0,0,0
147,2086,0,26,15,0,0,0
148,2087,0,37,19,0,0,0
149,2088,0,58,25,0,0,0
150,2089,0,66,28,0,0,0
