"rownum","BaseItemTypesKey","SpawnWeight","Cost","MinDepth","IsResonator","i32","i32"
0,187,100,300,0,1,1,600
1,188,100,750,0,1,1,1500
2,189,100,3750,0,1,1,7500
3,150,100,1000,0,"",0,2000
4,151,100,1000,0,"",0,2000
5,152,100,1000,0,"",0,2000
6,153,100,1000,0,"",0,2000
7,154,100,1000,0,"",0,2000
8,155,100,1000,0,"",0,2000
9,156,100,1000,0,"",0,2000
10,157,40,10000,19,"",0,20000
11,158,40,10000,19,"",0,20000
12,159,40,10000,19,"",0,20000
13,160,40,10000,19,"",0,20000
14,161,40,10000,19,"",0,20000
15,162,40,10000,19,"",0,20000
16,163,40,10000,19,"",0,20000
17,164,40,10000,19,"",0,20000
18,165,40,10000,19,"",0,20000
19,166,40,10000,19,"",0,20000
20,167,10,1000000,75,"",0,2000000
21,168,10,1000000,75,"",0,2000000
22,169,10,1000000,75,"",0,2000000
23,170,10,1000000,75,"",0,2000000
24,171,10,1000000,75,"",0,2000000
25,172,10,1000000,75,"",0,2000000
26,173,10,100000,35,"",0,200000
27,174,10,100000,35,"",0,200000
28,183,100,300,0,1,2,600
29,184,100,750,0,1,2,1500
30,185,100,3750,0,1,2,7500
