"rownum","Monster","Spectre","[rid]"
0,6,"",[]
1,1143,1142,[]
2,1146,1145,[]
3,1148,1147,[]
4,1150,1149,[]
5,1152,1151,[]
6,1154,1153,[]
7,1371,1372,[]
8,759,760,[]
9,1378,1381,[]
10,1379,1381,[]
11,1380,1381,[]
12,336,333,[]
13,334,333,[]
14,335,333,[]
15,636,635,[]
16,388,389,[]
17,613,614,[]
18,583,582,[]
19,899,903,[]
20,900,903,[]
21,901,903,[]
22,902,903,[]
23,838,837,[]
24,762,761,[]
25,974,975,[]
26,1044,1045,[]
27,1009,1008,[]
28,918,919,[]
29,392,393,[]
30,620,621,[]
31,1564,1566,[]
32,1567,1569,[]
33,1546,1545,[]
34,720,294,[]
35,721,289,[]
36,722,297,[]
37,723,307,[]
38,724,308,[]
39,725,308,[]
40,773,771,[]
41,390,391,[]
42,581,579,[]
43,615,616,[]
44,640,642,[]
45,641,642,[]
46,684,688,[]
47,685,689,[]
48,686,688,[]
49,687,689,[]
50,745,746,[]
51,747,748,[]
52,669,670,[]
53,671,672,[]
54,223,224,[]
55,228,224,[]
56,229,224,[]
57,225,226,[]
58,227,226,[]
