"rownum","Id","ItemClass","Width","Height","Name","InheritsFrom","DropLevel","FlavourText","Implicit_Mods","SizeOnGround","SoundEffect","Tags","ModDomain","SiteVisibility","ItemVisualIdentity","HASH32","VendorRecipe_AchievementItems","Inflection","Equip_AchievementItem","IsCorrupted","Identify_AchievementItems","IdentifyMagic_AchievementItems","FragmentBaseItemType","bool","UncutGemSoundEffect","rid","bool","TradeMarketCategory","Unmodifiable","Achievement","ShopTag","rid"
0,"Metadata/Items/Currency/CurrencyWeaponQuality",30,1,1,"Blacksmith's Whetstone","Metadata/Items/Currency/StackableCurrency",5,"",[],1,523,[348],37,1,0,1154719587,[],"","","",[],[],"","","","","","","",[],"",""
1,"Metadata/Items/Currency/CurrencyMagicQuality",30,1,1,"Arcanist's Etcher","Metadata/Items/Currency/StackableCurrency",5,"",[],1,516,[348],37,1,1,2592103600,[],"","","",[],[],"","","","","","","",[],"",""
2,"Metadata/Items/Currency/CurrencyIdentification",30,1,1,"Scroll of Wisdom","Metadata/Items/Currency/StackableCurrency",1,"",[],1,27,[],37,1,2,1351093167,[7076],"","","",[],[],"","","","","","","",[],"",""
3,"Metadata/Items/Currency/CurrencyRerollRare",30,1,1,"Chaos Orb","Metadata/Items/Currency/StackableCurrency",12,"",[],1,756,[],37,1,3,1934876153,[9141],"","","",[],[],"","","","","","","",[],"",""
4,"Metadata/Items/Currency/CurrencyRerollRareVeiled",30,1,1,"Veiled Chaos Orb","Metadata/Items/Currency/StackableCurrency",61,"",[],1,34,[],37,1,4,2744115753,[],"","","",[],[],"","","","","","","",[],"",""
5,"Metadata/Items/Currency/CurrencyArmourQuality",30,1,1,"Armourer's Scrap","Metadata/Items/Currency/StackableCurrency",5,"",[],1,522,[348],37,1,5,4228140445,[],"","","",[],[],"","","","","","","",[],"",""
6,"Metadata/Items/Currency/CurrencyDuplicate",30,1,1,"Mirror of Kalandra","Metadata/Items/Currency/StackableCurrency",35,"",[],1,525,[1136],37,1,7,2042772245,[],"","","",[],[],"","","","","","","",[],"",""
7,"Metadata/Items/Currency/CurrencyUpgradeToRare",30,1,1,"Orb of Alchemy","Metadata/Items/Currency/StackableCurrency",5,"",[],1,521,[],37,1,8,2433763647,[],"","","",[],[],"","","","","","","",[],"",""
8,"Metadata/Items/Currency/CurrencyUpgradeRandomly",30,1,1,"Orb of Chance","Metadata/Items/Currency/StackableCurrency",12,"",[],1,524,[],37,1,9,3312659589,[9140],"","","",[],[],"","","","","","","",[],"",""
9,"Metadata/Items/Currency/CurrencyPassiveRefund",30,1,1,"Orb of Regret","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[],37,1,10,2605400741,[],"","","",[],[],"","","","","","","",[],"",""
