"rownum","NPCKey","i32","DialogueOption","[i32]","[i32]","[i32]","Script","TextAudio","Category","QuestRewardOffersKey","QuestFlag","NPCTextAudioKeys","Script2","bool","bool","[i32]","[i32]","i32","[i32]","i32","bool","rid","i32","bool","i32","i32","i32","row","rid","rid","i32","[rid]","i32","rid","i32","rid","bool","i32","i32","i32"
0,1,0,"Introduction",[],[],[717],"",717,3,"",717,[4],"","","",[223],[],4205,[],4205,"","",0,"",1275068416,0,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
1,1,1,"Captain Fairgraves",[],[],[],"","",3,"","",[6],"","","",[233],[],233,[],4205,"","",0,"",-2013265920,0,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
2,1,2,"Zana, Master Cartographer",[],[],[],"","",3,"","",[13],"","","",[232],[],232,[],4205,"","",0,"",-771751936,0,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
3,1,3,"Fishing",[717],[],[],"triggerer.DoFishingTalk();",715,6,"",712,[],"","","",[],[],4205,[],4205,"","",0,"",738197504,1,0,52,"","",52,[],52,"",0,"",1,0,-16843010,-16843010
4,1,4,"_no_rod",[72],[],[],"","",6,"",72,[2],"","","",[],[],4205,[],4205,"","",0,"",1577058304,1,0,52,"","",52,[],52,"",0,"",1,0,-16843010,-16843010
5,1,5,"_have_rod",[72],[],[],"triggerer.ActivateFishingQuest();","",6,"",72,[3],"","","",[],[],4205,[],4205,"","",0,"",-637534208,1,0,52,"","",52,[],52,"",0,"",1,0,-16843010,-16843010
6,1,6,"Claim Fish Reward",[72],[],[],"","",6,"",72,[5],"","","",[],[],4205,[],4205,"","",0,"",536870912,2,0,52,"","",52,[],52,"",0,"",1,0,-16843010,-16843010
7,27,0,"Page 1",[],[],[],"","",3,"","",[269],"","","",[384],[],384,[],4205,"","",0,"",1140850688,2,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
8,27,1,"Page 2",[],[],[],"","",3,"","",[270],"","","",[385],[],385,[],4205,"","",0,"",1744830464,2,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
9,27,2,"Page 3",[],[],[],"","",3,"","",[271],"","","",[386],[],386,[],4205,"","",0,"",-1946157056,2,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
10,27,3,"Page 4",[],[],[],"","",3,"","",[272],"","","",[387],[],387,[],4205,"","",0,"",-1342177280,2,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
11,27,4,"Page 5",[],[],[],"","",3,"","",[273],"","","",[388],[],388,[],4205,"","",0,"",-738197504,2,0,52,"","",52,[],52,"",0,"","",0,-16843010,-16843010
