"rownum","Id","Order","Width","Height","TotalCount","i32","Name","StandardCount","Image","ChallengeLeagueCount","IsDisabled"
0,"Flask",1,1,2,2,2,"Flask",2,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/FlaskUniqueIcon",2,""
1,"Amulet",2,1,1,23,1,"Amulet",23,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/AmuletUniqueIcon",23,""
2,"Ring",3,1,1,33,1,"Ring",33,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/RingUniqueIcon",33,""
3,"Claw",4,2,2,0,2,"Claw",0,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/ClawUniqueIcon",0,1
4,"Dagger",5,1,3,0,3,"Dagger",0,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/DaggerUniqueIcon",0,1
5,"Wand",6,1,3,5,3,"Wand",5,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/WandUniqueIcon",5,""
6,"Sword",7,2,3,0,3,"Sword",0,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/OneHandUniqueIcon",0,1
7,"Axe",8,2,4,0,4,"Axe",0,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/OneHandAxeUniqueIcon",0,1
8,"Mace",9,2,4,38,4,"Mace",19,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/OneHandMaceUniqueIcon",19,""
9,"Bow",10,2,4,14,4,"Bow",7,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/BowUniqueIcon",7,""
10,"Staff",11,2,4,12,4,"Staff",6,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/StaffUniqueIcon",6,""
11,"Quiver",12,2,3,10,3,"Quiver",5,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/QuiverUniqueIcon",5,""
12,"Belt",13,2,1,36,1,"Belt",18,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/BeltUniqueIcon",18,""
13,"Gloves",14,2,2,68,2,"Gloves",34,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/GlovesUniqueIcon",34,""
14,"Boots",15,2,2,44,2,"Boots",22,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/BootsUniqueIcon",22,""
15,"Body Armour",16,2,3,126,3,"Body Armour",63,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/ArmourUniqueIcon",63,""
16,"Helmet",17,2,2,98,2,"Helmet",49,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/HelmetUniqueIcon",49,""
17,"Shield",18,2,4,54,4,"Shield",27,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/ShieldUniqueIcon",27,""
18,"Map",19,1,1,0,1,"Map",0,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/MapsUniqueIcon",0,1
19,"Jewel",20,1,1,10,1,"Jewel",10,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/JewelsUniqueIcon",10,""
20,"Watchstone",21,1,1,0,1,"Watchstone",0,"",0,1
21,"HeistContract",22,1,1,0,1,"Contract",0,"",0,1
22,"SwordTwoHand",23,2,3,0,3,"Two-handed Sword",0,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/TwoHandSwordUniqueIcon",0,1
23,"AxeTwoHand",24,2,4,0,4,"Two-handed Axe",0,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/TwoHandAxeUniqueIcon",0,1
24,"MaceTwoHand",25,2,4,0,4,"Two-handed Mace",0,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/TwoHandMaceUniqueIcon",0,1
25,"Charm",26,1,1,12,1,"Charm",12,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/CharmUniqueIcon",12,""
26,"Crossbow",27,2,4,4,4,"Crossbow",2,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/CrossbowUniqueIcon",2,""
27,"Flail",28,2,3,0,3,"Flail",0,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/FlailsUniqueIcon",0,1
28,"Focii",29,2,3,16,3,"Focus",8,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/FociiUniqueIcon",8,""
29,"Sceptre",30,2,3,12,3,"Sceptre",6,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/ScepterUniqueIcon",6,""
30,"Spear",31,1,4,8,4,"Spear",8,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/SpearsUniqueIcon",8,""
31,"Trap",32,2,3,0,3,"Trap",0,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/TrapsUniqueIcon",0,1
32,"Warstaff",33,2,4,12,4,"Quarterstaff",6,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/WarStaffUniqueIcon",6,""
