"rownum","i32","[rid]","[rid]","[i32]","bool","i32","i32","i32","i32","bool","[i32]","bool","i32","bool"
0,0,[94],[93],[7],1,2,0,0,120,"",[],"",10,""
1,1,[],[171],[71],1,2,0,0,120,"",[],"",10,""
2,2,[],[190],[66],1,1,0,0,120,"",[],"",10,""
3,3,[],[220],[50],1,2,10,4,120,"",[],"",10,""
4,4,[],[220],[75],1,2,0,0,120,"",[],"",10,""
5,5,[],[241],[0],1,3,0,0,120,"",[],"",10,""
6,6,[],[244],[0],1,3,0,0,120,"",[],"",10,""
7,7,[],[245],[0],1,3,0,0,120,"",[],"",10,""
8,8,[],[247],[0],1,3,0,0,120,"",[],"",10,""
9,9,[],"[248,249,250,251,252,253]","[36,66,67,57,55,68,54,51]",1,2,15,14,120,"",[],"",10,""
10,10,[],"[254,255,256,257,258]",[49],1,2,30,25,120,"",[],"",10,1
11,11,[],"[259,260,261,262,263]",[53],1,2,30,25,120,"",[],"",10,1
12,12,[],"[284,285,286,287]","[44,45,48,49]","",2,10,22,120,"",[],"",10,1
13,13,[],[319],"[42,43,44,45,46,47,48,49,50]",1,2,0,0,120,"",[],"",10,""
14,14,[],[309],[0],"",2,0,0,120,"",[],"",10,""
15,15,[],[365],[2],1,2,0,0,120,"",[],"",10,1
16,16,[],[370],[35],1,2,0,0,120,"",[],"",10,""
17,17,[],[370],[37],1,2,0,0,120,"",[],"",10,""
18,18,[371],[372],[2],1,2,0,0,200,1,[1],1,5,""
19,19,[],[403],[16],1,2,0,0,120,"",[],"",10,""
20,20,[],[404],[17],1,2,0,0,120,"",[],"",10,""
21,21,[],[405],[18],1,2,0,0,120,"",[],"",10,""
22,22,[],[422],[1],1,2,0,0,120,1,[1],1,7,""
23,23,[],[474],[29],1,2,8,3,60,"",[],"",4,""
24,24,[],[474],[26],1,2,8,3,60,"",[],"",4,""
25,25,[],[492],[36],1,2,4,2,120,"",[],"",2,""
26,26,[],[522],[29],1,2,8,3,60,"",[],"",4,""
27,27,[],[522],[26],1,2,8,3,60,"",[],"",4,""
28,28,[],[531],[84],1,2,40,15,70,"",[],"",5,1
29,29,[],"[541,542,543,544]","[44,45,48,49]","",2,10,22,70,"",[],"",10,1
30,30,[],[550],"[1,2]",1,2,0,0,120,"",[],"",2,1
31,31,[],[579],[50],"",3,13,4,60,"",[],"",0,""
