"rownum","rid","Monster","rid","i32","Achievement","bool","bool","bool","bool"
0,0,9330,7128,2,[9790],1,"","",""
1,1,9331,7134,0,[9791],"","","",""
2,2,9332,7140,0,[9792],"","","",""
3,3,9333,7130,0,[],"","","",""
4,4,9334,7139,2,[9793],"","","",""
5,5,9335,7141,1,[9794],"","","",""
6,6,9336,7132,1,[9795],"","","",""
7,7,9337,7131,0,[],"","","",""
8,8,9338,7131,0,[9796],"","","",""
9,9,9328,7141,1,[9797],"","","",""
10,10,9339,7139,2,[9798],"","","",""
11,11,9340,7129,1,[9799],"","","",""
12,12,9341,7130,1,[9800],"","","",""
13,13,9343,7132,1,[9801],"","","",""
14,14,9344,7131,0,[9802],"","","",""
15,15,9345,7139,1,[9803],"","","",""
16,16,9346,7132,2,[9804],"","","",""
17,17,9347,7139,2,[9805],"","","",""
18,18,9348,7134,0,[9806],"","","",""
19,19,9349,7132,0,[9807],"","","",""
20,20,9327,7087,3,[],"","","",""
21,21,9350,7131,0,[9808],"","","",""
22,22,9351,7132,1,[9809],"","","",""
23,23,9352,7139,2,[9810],"","","",""
24,24,9353,7139,2,[9811],"","","",""
25,25,9355,7139,2,[9812],"","","",""
26,26,9356,7131,0,[9813],"","","",""
27,27,9359,7139,2,[9814],"","","",""
28,28,9360,7131,0,[9815],"","","",""
29,29,9361,7132,1,[9816],"","","",""
30,30,9362,7139,2,[9817],"","","",""
31,31,9363,7132,1,[9818],"","","",""
32,32,9364,7132,1,[9819],"","","",""
33,33,9366,7131,0,[9820],"","","",""
34,47,9375,7087,3,[],"","","",""
35,48,9377,7087,3,[],"","","",""
36,49,9379,7130,0,[],"","","",""
37,50,9380,7087,3,[],"","","",""
38,51,9382,7087,3,[9821],"","","",""
39,52,9384,7130,0,[],"","","",""
40,53,9385,7131,0,[],"","","",""
41,54,9392,7087,3,[],"","","",""
42,55,9394,7087,3,[],"","","",""
43,56,9396,7087,3,[],"","","",""
44,57,9398,7087,3,[],"","","",""
45,58,9400,7087,3,[],"","","",""
46,59,9402,7087,3,[9822],"","","",""
