"rownum","Id","StoredItem","XOffset","YOffset","FirstSlotIndex","Width","Height","IsUpgradableEssenceSlot","string","i32","i32","i32"
0,"Metadata/Items/Currency/CurrencyEssenceLife",57,96,170,0,1,1,1,"enceLife",0,0,0
1,"Metadata/Items/Currency/CurrencyEssenceMana",58,181,170,1,1,1,1,"enceLife",0,0,0
2,"Metadata/Items/Currency/CurrencyEssenceDefences",59,266,170,2,1,1,1,"enceLife",0,0,0
3,"Metadata/Items/Currency/CurrencyEssencePhysical",60,96,260,3,1,1,1,"enceLife",0,0,0
4,"Metadata/Items/Currency/CurrencyEssenceFire",61,181,260,4,1,1,1,"enceLife",0,0,0
5,"Metadata/Items/Currency/CurrencyEssenceCold",62,266,260,5,1,1,1,"enceLife",0,0,0
6,"Metadata/Items/Currency/CurrencyEssenceLightning",63,96,350,6,1,1,1,"enceLife",0,0,0
7,"Metadata/Items/Currency/CurrencyEssenceChaos",64,181,350,7,1,1,1,"enceLife",0,0,0
8,"Metadata/Items/Currency/CurrencyEssenceAttack",65,266,350,8,1,1,1,"enceLife",0,0,0
9,"Metadata/Items/Currency/CurrencyEssenceCaster",66,96,440,9,1,1,1,"enceLife",0,0,0
10,"Metadata/Items/Currency/CurrencyEssenceSpeed",67,181,440,10,1,1,1,"enceLife",0,0,0
11,"Metadata/Items/Currency/CurrencyEssenceAttribute",68,266,440,11,1,1,1,"enceLife",0,0,0
12,"Metadata/Items/Currency/CurrencyGreaterEssenceLife",69,606,170,12,1,1,1,"enceLife",0,0,0
13,"Metadata/Items/Currency/CurrencyGreaterEssenceMana",70,691,170,13,1,1,1,"enceLife",0,0,0
14,"Metadata/Items/Currency/CurrencyGreaterEssenceDefences",71,776,170,14,1,1,1,"enceLife",0,0,0
15,"Metadata/Items/Currency/CurrencyGreaterEssencePhysical",72,606,260,15,1,1,1,"enceLife",0,0,0
16,"Metadata/Items/Currency/CurrencyGreaterEssenceFire",73,691,260,16,1,1,1,"enceLife",0,0,0
17,"Metadata/Items/Currency/CurrencyGreaterEssenceCold",74,776,260,17,1,1,1,"enceLife",0,0,0
18,"Metadata/Items/Currency/CurrencyGreaterEssenceLightning",75,606,350,18,1,1,1,"enceLife",0,0,0
19,"Metadata/Items/Currency/CurrencyGreaterEssenceChaos",76,691,350,19,1,1,1,"enceLife",0,0,0
20,"Metadata/Items/Currency/CurrencyGreaterEssenceAttack",77,776,350,20,1,1,1,"enceLife",0,0,0
21,"Metadata/Items/Currency/CurrencyGreaterEssenceCaster",78,606,440,21,1,1,1,"enceLife",0,0,0
22,"Metadata/Items/Currency/CurrencyGreaterEssenceSpeed",79,691,440,22,1,1,1,"enceLife",0,0,0
23,"Metadata/Items/Currency/CurrencyGreaterEssenceAttribute",80,776,440,23,1,1,1,"enceLife",0,0,0
24,"CraftingSlot","",418,360,24,2,4,1,"爀攀渀挀礀䔀猀猀攀渀挀攀䰀椀昀攀",0,0,0
25,"Generic1","",309,620,26,1,1,1,"enceLife",0,0,0
26,"Generic2","",394,620,27,1,1,1,"enceLife",0,0,0
27,"Generic3","",479,620,28,1,1,1,"enceLife",0,0,0
28,"Generic4","",564,620,29,1,1,1,"enceLife",0,0,0
29,"Metadata/Items/Currency/CurrencyCorruptedEssenceHysteria",81,394,170,30,1,1,1,"enceLife",0,0,0
30,"Metadata/Items/Currency/CurrencyCorruptedEssenceDelirium",82,479,170,31,1,1,1,"enceLife",0,0,0
31,"Metadata/Items/Currency/CurrencyCorruptedEssenceHorror",83,394,260,32,1,1,1,"enceLife",0,0,0
32,"Metadata/Items/Currency/CurrencyCorruptedEssenceInsanity",84,479,260,33,1,1,1,"enceLife",0,0,0
