"rownum","Id","Term","Definition","string"
0,"Test","Test","This test case is designed to be overwitten by other content",""
1,"Physical","Physical Damage","Physical damage is one of the five [DamageTypes|Damage Types]. It is the most common and the only one reduced by [Armour], rather than by a [Resistances|Resistance]. \r\n\r\nMost physical damage comes from [MartialWeapon|Weapon] [Attack|Attacks], but some [Spell|Spells] and other skills deal physical damage as well. Physical damage over time can be inflicted with [Bleeding].",""
2,"Fire","Fire Damage","Fire damage is one of the five [DamageTypes|Damage Types]. It is reduced by [Resistances|Fire Resistance]. Fire hits have a chance to [Ignite] based on how much Fire damage is dealt.",""
3,"Cold","Cold Damage","Cold damage is one of the five [DamageTypes|Damage Types]. It is reduced by [Resistances|Cold Resistance]. Cold hits apply [Chill] and build up [Freeze], but cannot build up [HeavyStun|Heavy Stun].",""
4,"Lightning","Lightning Damage","Lightning damage is one of the five [DamageTypes|Damage Types]. It is reduced by [Resistances|Lightning Resistance]. Lightning hits have a chance to [Shock] based on how much Lightning damage is dealt.",""
5,"Chaos","Chaos Damage","Chaos damage is one of the five [DamageTypes|Damage Types]. It is reduced by [Resistances|Chaos Resistance]. \r\nChaos damage is the least common damage type, and removes twice as much [EnergyShield|Energy Shield] as the damage value when taken.",""
6,"test2","Test custom content","","Metadata/UI/InGameState/Tutorials/example_tutorial.ui"
7,"Ailments","Ailments","Ailments are a family of common [Debuff|Debuffs] associated with specific damage types. The list of Ailments is: [Bleeding], [Ignite], [Chill], [Freeze], [Shock], [Electrocute], and [Poison].",""
8,"Attributes","Attributes","[Strength], [Dexterity], and [Intelligence] are the 3 primary attributes. The most important use of Attributes is to meet requirements to use Equipment and Gems.\r\n\r\nEach Attribute provides a different inherent bonus.",""
9,"Strength","Strength","Strength is an [Attributes|Attribute] required to equip most equipment that grants [Armour], as well as various melee-aligned Weapons and Skills.\r\n\r\nStrength provides an inherent bonus of +2 to maximum Life per 1 Strength.\r\n\r\nStrength does not grant damage to Skills or any other benefits except where specifically stated.",""
10,"Dexterity","Dexterity","Dexterity is an [Attributes|Attribute] required to use most equipment that grants [Evasion|Evasion Rating], as well as various range-aligned Weapons and Skills.\r\n\r\nDexterity provides an inherent bonus of +5 to [Accuracy|Accuracy Rating] per 1 Dexterity.\r\n\r\nDexterity does not grant damage to Skills or any other benefits except where specifically stated.",""
11,"Intelligence","Intelligence","Intelligence is an [Attributes|Attribute] required to use most equipment that grants [EnergyShield|Energy Shield], as well as various spell-aligned Weapons and Skills.\r\n\r\nIntelligence provides an inherent bonus of +2 to maximum Mana per 1 Intelligence\r\n\r\nIntelligence does not grant damage to Skills or any other benefits except where specifically stated.",""
12,"Bleeding","Bleeding","Bleeding is an [Ailments|Ailment] that deals [Physical|Physical] damage over time, and lasts 5 seconds by default. Damage from Bleeding bypasses [EnergyShield|Energy Shield]\r\n\r\nBleeding deals an extra 100% damage while the target is moving, or if the Bleeding is [Aggravate|Aggravated].\r\n\r\n[Physical] damage from [HitDamage|Hits] [Contributes|Contributes] to Bleeding [BuffMagnitude|Magnitude].\r\n\r\nDamage does not [Contributes|Contribute] to Bleeding chance, so it cannot be inflicted without an explicit source of Bleeding chance.\r\n\r\nThe base [BuffMagnitude|Magnitude] of Bleeding is [Physical] damage per second equal to 15% of the [Premitigation|Pre-mitigation] [Physical] damage of the [HitDamage|Hit] that inflicted it. This magnitude is not further affected by any modifiers to the damage you deal. \r\n\r\nModifiers and [Debuff|Debuffs] that affect the enemy's ability to mitigate damage (such as [Shock]) can affect the damage the enemy takes from Bleeding, but any such modifiers that specifically apply to [HitDamage|Hit] damage (such as [ArmourBreak|Armour Break]) do not affect Bleeding damage.",""
13,"Blind","Blind","Being Blinded causes 20% less [Accuracy|Accuracy] Rating and [Evasion|Evasion] Rating, and lasts for 4 seconds unless otherwise specified.",""
