"rownum","MapPinsKey0","MapPinsKey1","rid","RestrictedAreaText","rid","rid","rid","i32","i32"
0,5,8,"","","","","",1,1
1,8,9,"","","","","",1,9
2,9,14,"","","","","",1,9
3,9,18,"","","","","",1,9
4,18,27,"","","","","",1,9
5,18,30,"","","","","",1,9
6,18,51,"","","","","",1,9
7,30,34,"","","","","",1,9
8,34,39,"","","","","",1,9
9,34,45,"","","","","",1,9
10,34,55,"","","","","",1,9
11,55,62,"","","","","",1,9
12,55,65,"","","","","",1,9
13,65,70,"","","","","",1,9
14,70,77,"","","","","",1,9
15,77,80,"","","","","",1,9
16,106,91,"","","","","",2,9
17,91,92,"","","","","",2,9
18,93,97,1524,"","","","",2,9
19,97,110,1524,"","","","",2,9
20,92,96,"","","","","",2,9
21,96,121,"","","","","",2,9
22,92,95,"","","","","",2,9
23,95,175,"","","","","",2,9
24,175,180,"","","","","",2,9
25,92,93,"","","","","",2,9
26,110,116,"","","","","",2,9
27,110,94,"","","","","",2,9
28,93,99,"","","","","",2,9
29,99,122,"","","","","",2,9
30,122,127,"","","","","",2,9
31,127,133,"","","","","",2,9
32,128,134,"","","","","",2,9
33,93,101,"","","","","",2,9
34,101,147,"","","","","",2,9
35,147,154,"","","","","",2,9
36,93,100,"","","","","",2,9
37,100,141,"","","","","",2,9
38,141,144,"","","","","",2,9
39,97,192,1527,"",4565,"",4565,2,9
40,93,104,"","","","","",2,9
41,104,188,"","","","","",2,9
42,94,102,4565,"","","","",2,9
43,102,160,4565,"","","","",2,9
44,160,167,"","","","","",2,9
45,167,170,"","","","","",2,9
46,94,103,"","","","","",2,9
47,103,184,"","","","","",2,9
48,184,185,"","","","","",2,9
49,94,105,"","","","","",2,9
50,105,193,"","","","","",2,9
51,202,209,"","","","","",3,9
52,209,218,"","","","","",3,9
53,209,251,"","","","","",3,9
54,209,265,3853,"[DNT] You must find a way to unlock the door.",3641,"","",3,0
55,209,269,"","","","","",3,0
56,210,213,3854,"[DNT] You must find a way to access The Matlan Waterways.",3642,"","",3,9
57,210,248,"","","","","",3,9
58,210,231,"","","","","",3,9
59,218,225,"","","","","",3,9
60,218,210,"","","","","",3,9
61,231,238,"","","","","",3,9
62,231,256,"","","","","",3,9
63,238,242,"","","","","",3,9
64,239,243,"","","","","",3,9
65,251,252,"","","","","",3,9
66,251,260,"","","","","",3,9
67,269,276,"","","","","",3,9
68,276,283,"","","","","",3,4
69,292,295,"","","","","",7,1
70,295,296,"","","","","",7,9
71,296,301,"","","","","",7,9
72,296,305,"","","","","",7,9
73,305,314,"","","","","",7,9
74,305,317,"","","","","",7,9
75,305,338,"","","","","",7,9
76,317,321,"","","","","",7,9
77,321,326,"","","","","",7,9
78,321,332,"","","","","",7,9
79,321,342,"","","","","",7,9
80,342,349,"","","","","",7,9
81,342,352,"","","","","",7,9
82,352,357,"","","","","",7,9
83,357,362,"","","","","",7,9
84,362,365,"","","","","",7,9
85,391,376,"","","","","",8,9
86,376,377,"","","","","",8,9
87,378,382,1524,"","","","",8,9
88,382,395,1524,"","","","",8,9
89,377,381,"","","","","",8,9
90,381,406,"","","","","",8,9
91,377,380,"","","","","",8,9
92,380,460,"","","","","",8,9
93,460,465,"","","","","",8,9
94,377,383,"","","","","",8,9
95,377,378,"","","","","",8,9
96,395,401,"","","","","",8,9
97,395,379,"","","","","",8,9
98,378,384,"","","","","",8,9
99,384,407,"","","","","",8,9
100,407,412,"","","","","",8,9
101,412,418,"","","","","",8,9
102,413,419,"","","","","",8,9
103,378,386,"","","","","",8,9
104,386,432,"","","","","",8,9
105,432,439,"","","","","",8,9
106,378,385,"","","","","",8,9
107,385,426,"","","","","",8,9
108,426,429,"","","","","",8,9
109,382,477,1527,"",4565,"",4565,8,9
110,379,387,4565,"","","","",8,9
111,387,445,4565,"","","","",8,9
112,445,452,"","","","","",8,9
113,452,455,"","","","","",8,9
114,379,388,"","","","","",8,9
115,388,469,"","","","","",8,9
116,469,470,"","","","","",8,9
117,379,390,"","","","","",8,9
118,390,478,"","","","","",8,9
119,487,494,"","","","","",9,9
120,494,503,"","","","","",9,9
121,494,536,"","","","","",9,9
122,494,550,3853,"[DNT] You must find a way to unlock the door.",3641,"","",9,0
123,494,554,"","","","","",9,0
124,495,498,3854,"[DNT] You must find a way to access The Matlan Waterways.",3642,"","",9,9
125,495,533,"","","","","",9,9
126,495,516,"","","","","",9,9
127,503,510,"","","","","",9,9
128,503,495,"","","","","",9,9
129,516,523,"","","","","",9,9
130,516,541,"","","","","",9,9
131,523,527,"","","","","",9,9
132,524,528,"","","","","",9,9
133,536,537,"","","","","",9,9
134,536,545,"","","","","",9,9
135,554,561,"","","","","",9,9
136,561,568,"","","","","",9,4
137,573,574,"","","","","",9,9
138,574,578,"","","","","",9,9
139,574,586,"","","","","",9,9
140,574,592,"","","","","",9,0
141,575,594,"","","","","",9,0
142,576,577,"","","","","",9,9
143,576,585,"","","","","",9,9
144,576,581,"","","","","",9,9
145,578,579,"","","","","",9,9
146,578,576,"","","","","",9,9
147,581,582,"","","","","",9,9
148,581,589,"","","","","",9,9
149,582,583,"","","","","",9,9
150,586,587,"","","","","",9,9
151,586,591,"","","","","",9,9
152,594,595,"","","","","",9,9
153,595,596,"","","","","",9,4
