"rownum","MonsterVarietiesKey","MiscAnimatedKey0","MiscAnimatedKey1","bool","bool","i32","i32","i32","i32","i32","bool","bool","[i32]","[i32]","i32","bool"
0,6414,1942,1944,1,1,20,60,1,20,120,"",1,[],[],0,1
1,6155,2179,2179,1,1,20,60,1,20,120,"",1,[],[],0,1
2,6413,2179,2179,1,1,20,60,1,20,120,1,1,[],[],0,1
3,6727,2608,2608,1,1,20,60,1,20,120,"","",[],[],0,1
4,6728,2608,2608,1,1,20,60,1,20,120,"",1,[],[],0,1
5,6729,2608,2608,1,1,20,60,1,20,120,"",1,[],[],0,1
6,4905,1074,1074,1,1,20,60,1,20,120,"","",[],[],0,1
7,7485,3452,3452,1,1,20,60,0,20,120,"","",[],[],0,1
8,7687,3722,3722,1,1,20,60,1,20,120,"",1,[],[],0,1
9,7688,3722,3722,1,1,20,60,1,20,120,"",1,[],[],0,1
10,7691,3722,3722,1,1,105,105,1,40,120,1,1,[],[],0,1
11,7692,3722,3722,1,1,105,105,1,40,120,1,1,[],[],0,1
12,8028,4380,4380,1,"",15,30,1,15,120,"",1,[],[],30,""
13,8029,4380,4380,1,"",15,30,1,15,120,"",1,[],[],30,""
14,8030,4380,4380,1,"",15,30,1,15,120,"",1,[],[],30,""
15,8031,4380,4380,1,"",15,30,1,15,120,"",1,[],[],30,""
16,8032,4380,4380,1,"",15,30,1,15,120,"",1,[],[],30,""
17,8033,4380,4380,1,"",15,30,1,15,120,"",1,[],[],30,""
18,8034,4380,4380,1,"",15,30,1,15,120,"",1,[],[],30,""
19,8035,4380,4380,1,"",15,30,1,15,120,"",1,[],[],30,""
20,8036,4380,4380,1,"",15,30,1,15,120,"",1,[],[],30,""
21,8038,4380,4380,1,"",15,30,1,15,120,"",1,[],[],30,""
22,8040,4380,4380,1,"",15,30,1,15,120,"",1,[],[],30,""
23,8041,4380,4380,1,"",15,30,1,15,120,"",1,[],[],30,""
24,8505,4380,4380,1,1,15,0,1,5,60,"","",[],[],0,""
