"rownum","Id","Icon_DDSFile","Stats","Stat1Value","Stat2Value","Stat3Value","Stat4Value","PassiveSkillGraphId","Name","Characters","IsKeystone","IsNotable","FlavourText","IsJustIcon","AchievementItem","IsJewelSocket","AscendancyKey","IsAscendancyStartingNode","ReminderStrings","SkillPointsGranted","IsMultipleChoice","IsMultipleChoiceOption","Stat5Value","PassiveSkillBuffs","GrantedEffectsPerLevel","IsAnointmentOnly","i32","IsExpansion","IsProxyPassive","SkillType","MasteryGroup"
0,"lava_lash1","Art/2DArt/SkillIcons/passives/lavalash.dds","[6054,3903]",30,8,0,0,30439,"Lava Lash",[],"",1,"","",6954,"","","",[],0,"","",0,[],"","",0,"","",0,""
1,"two_handed_weapon_damage_and_accuracy9","Art/2DArt/SkillIcons/passives/accuracy2h.dds","[333,11604,3092]",12,12,80,0,27140,"Two Handed Melee Damage and Leech",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","",0,""
2,"two_handed_weapon_damage12","Art/2DArt/SkillIcons/passives/2handeddamage.dds","[333,11604]",16,16,0,0,60169,"Two Handed Melee Damage",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","",0,""
3,"two_handed_weapon_damage13","Art/2DArt/SkillIcons/passives/2handeddamage.dds","[333,11604,3092]",12,12,40,0,64816,"Two Handed Melee Damage and Leech",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","",0,""
4,"two_handed_weapon_attack_speed15","Art/2DArt/SkillIcons/passives/2handedspeed.dds","[333,335,11604]",12,3,10,0,56381,"Two Handed Melee Damage and Attack Speed",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","",0,""
5,"totem_life20","Art/2DArt/SkillIcons/passives/totemandbranddamage.dds","[1788,8594]",14,14,0,0,23083,"Totem and Brand Damage",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","",0,""
6,"totem_duration22","Art/2DArt/SkillIcons/passives/totemlife.dds","[166,1835]",15,15,0,0,11431,"Totem Life and Physical Damage Reduction",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","",0,""
7,"staff_block23","Art/2DArt/SkillIcons/passives/blockstaff.dds","[409,2854]",3,3,0,3,18990,"Staff Block",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","",0,""
8,"whirling_barrier24","Art/2DArt/SkillIcons/passives/whirlingstaff.dds","[409,2854,2610]",6,6,20,0,42917,"Whirling Barrier",[],"",1,"","",6954,"","","",[],0,"","",0,[],"","",0,"","",0,""
9,"shield_block_and_block_recovery29","Art/2DArt/SkillIcons/passives/ElementalResistance2.dds","[2358,408]",2,6,0,0,62214,"Shield Spell Block and Elemental Resistances with a Shield",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","",0,""
10,"shield_block31","Art/2DArt/SkillIcons/passives/lifepercentage.dds",[451],36,0,0,0,59861,"Life Regeneration",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","",0,""
11,"shield_block32","Art/2DArt/SkillIcons/passives/ElementalResistance2.dds",[408],6,0,0,0,64426,"Elemental Resistances with a Shield",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","",0,""
12,"shield_block33","Art/2DArt/SkillIcons/passives/blockstr.dds","[19,22]",3,30,0,0,43413,"Shield Block and Block Recovery",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","",0,""
13,"shield_mastery34","Art/2DArt/SkillIcons/passives/Sanctuary.dds","[19,2358,408]",4,4,12,0,20832,"Sanctuary",[],"",1,"","",6954,"","","",[],0,"","",0,[],"","",0,"","",0,""
14,"shield_block35","Art/2DArt/SkillIcons/passives/blockstr.dds","[19,22]",3,30,0,0,3319,"Shield Block and Block Recovery",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","",0,""
15,"elemental_resistance_with_shields37","Art/2DArt/SkillIcons/passives/ShieldAttackDamage.dds","[19,11628]",1,15,0,0,20349,"Shield Block and Physical Attack Damage with Shield",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","",0,""
16,"elemental_resistance_with_shields38","Art/2DArt/SkillIcons/passives/ShieldAttackDamage.dds","[19,11628]",1,15,0,0,32854,"Shield Block and Physical Attack Damage with Shield",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","",0,""
17,"sword_damage_and_accuracy45","Art/2DArt/SkillIcons/passives/accuracysword.dds","[40,92,11595]",12,8,12,0,807,"Sword Damage and Accuracy",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","",0,""
18,"sword_damage48","Art/2DArt/SkillIcons/passives/masterysword.dds","[40,11595]",16,16,0,0,4336,"Sword Damage",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","",0,""
19,"smashing_strikes53","Art/2DArt/SkillIcons/passives/stunstaff.dds","[11614,2628,2415]",30,10,30,0,51559,"Smashing Strikes",[],"",1,"","",6954,"","","",[],0,"","",0,[],"","",0,"","",0,""
20,"staff_damage_and_accuracy55","Art/2DArt/SkillIcons/passives/accuracystaff.dds","[35,87,11598]",6,8,6,0,13361,"Staff Damage and Accuracy",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","",0,""
21,"staff_damage57","Art/2DArt/SkillIcons/passives/damagestaff.dds","[11614,332]",15,10,0,0,47427,"Staff Damage and Stun Duration",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","",0,""
22,"staff_damage59","Art/2DArt/SkillIcons/passives/damagestaff.dds","[35,11598]",12,15,0,0,60740,"Staff Damage",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","",0,""
23,"mace_damage_and_reduced_enemy_stun_threshold62","Art/2DArt/SkillIcons/passives/stunmace.dds","[38,109,11599]",16,5,16,0,57266,"Mace Damage and Reduced Enemy Stun Threshold",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","",0,""
24,"mace_damage_and_reduced_enemy_stun_threshold63","Art/2DArt/SkillIcons/passives/stunmace.dds","[38,109,11599]",16,5,16,0,38023,"Mace Damage and Reduced Enemy Stun Threshold",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","",0,""
25,"mace_damage_and_attack_speed66","Art/2DArt/SkillIcons/passives/attackspeedmace.dds","[38,11599,434]",14,14,8,0,30547,"Mace Damage and Area of Effect",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","",0,""
