"rownum","i32","i32","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","bool","i32","i32","i32","i32","i32","i32","bool","string","i32","bool","bool","i32"
0,1,2,20,60,10,0,4496,0,-20,-20,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,"",0
1,2,4,20,110,69,0,4497,0,56,-46,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,"",0
2,3,4,20,110,69,0,4497,0,56,-46,0,180,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,"",0
3,4,1,20,160,-80,0,4497,0,80,-35,0,0,0,0,0,0,"","","",0,0,0,20,0,3,"","",2,1,"",0
4,5,2,20,60,10,0,4501,0,-20,-20,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,"",0
5,6,6,24,160,60,0,4501,0,80,-35,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,"",0
6,7,6,24,160,60,0,4501,0,80,-35,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,"",0
7,8,2,20,60,20,-45,4496,90,20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0
8,9,2,30,165,58,-45,4497,90,58,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0
9,10,2,30,165,58,-135,4497,90,-58,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0
10,11,2,30,165,-58,45,4497,90,58,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0
11,12,2,30,165,-58,135,4497,90,-58,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0
12,13,6,24,100,20,-90,4501,60,20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0
13,14,6,24,100,20,-90,4501,60,20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0
14,15,6,24,100,-20,90,4501,60,-20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0
15,16,6,24,100,-20,90,4501,60,-20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0
16,17,4,20,60,40,-45,4496,90,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0
17,18,4,20,60,60,-45,4496,45,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0
18,19,5,24,100,30,-45,4501,72,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0
19,20,5,24,100,30,-45,4501,72,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0
20,21,6,24,100,50,-45,4501,60,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0
21,22,6,24,100,50,-45,4501,60,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0
22,23,7,24,100,70,-45,4501,50,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0
23,24,7,24,100,70,-45,4501,50,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0
24,25,3,20,60,-30,90,4496,0,20,0,-20,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0
25,26,1,20,80,10,0,5631,0,-20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",2,1,"",0
26,27,1,1,8,0,0,4497,0,0,0,0,0,0,40,0,0,"",1,"",0,0,0,0,0,3,"","",4,1,"",0
27,28,2,50,120,0,0,4504,270,62,0,0,0,0,0,55,0,"","","",0,0,0,0,0,3,"","",4,1,"",0
28,29,2,50,120,0,0,4504,270,62,0,0,90,0,0,55,0,"","","",0,0,0,0,0,3,"","",4,1,"",0
29,30,2,50,120,0,0,4504,270,62,0,0,180,0,0,55,0,"","","",0,0,0,0,0,3,"","",4,1,"",0
30,31,2,50,120,0,0,4504,270,62,0,0,270,0,0,55,0,"","","",0,0,0,0,0,3,"","",4,1,"",0
31,32,1,25,50,0,0,4506,0,0,0,0,0,0,80,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0
32,33,6,25,75,-30,0,4498,0,0,12,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,"",0
33,34,2,90,60,10,0,4526,0,-20,-20,0,0,0,0,0,0,"","","",0,0,0,0,0,1,1,"",2,1,"",0
34,35,1,60,100,0,0,5631,0,-15,0,0,0,543,0,20,0,1,"","",0,0,0,0,0,1,"","",2,1,"",0
35,36,8,50,100,20,90,4505,45,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",3,1,"",0
36,37,1,50,100,0,0,"",0,0,0,0,0,0,0,0,0,1,"","",0,0,0,0,0,1,"","Metadata/Monsters/LeagueDelve/CityBosses/Objects/DelveProtoVaalCityBossBomber",2,1,"",0
37,39,3,35,70,0,30,6761,30,0,0,0,-60,0,0,0,0,"","","",0,0,0,0,0,1,"","",4,1,"",0
38,40,1,60,100,0,0,6753,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",4,1,"",0
39,41,1,36,52,-15,15,7136,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,1,0
40,42,1,36,52,15,-15,7137,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,1,0
41,43,1,30,20,20,-90,7138,0,-30,0,0,0,500,0,0,0,"","","",0,0,0,0,0,3,"","",2,"","",0
42,44,1,30,20,-20,90,7139,0,-45,0,0,0,500,0,0,0,"","","",0,0,0,0,0,3,"","",2,"","",0
43,45,1,30,20,20,-90,7140,0,-60,0,0,0,500,0,0,0,"","","",0,0,0,0,0,3,"","",2,"","",0
44,46,1,30,20,-20,90,7141,0,-75,0,0,0,500,0,0,0,"","","",0,0,0,0,0,3,"","",2,"","",0
45,47,1,100,30,0,0,7144,0,-20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,"",0
46,48,4,30,100,0,0,7467,25,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",2,1,"",0
47,49,8,100,60,0,-45,7268,45,0,0,0,0,0,0,0,0,"",1,"",0,0,0,0,0,1,"","",2,1,"",0
48,50,5,50,100,0,0,7535,35,0,0,0,-90,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,"",0
49,51,5,50,100,0,0,4527,35,0,0,0,-90,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,"",0
50,52,5,50,100,0,0,4530,35,0,0,0,-90,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,"",0
51,53,1,20,50,0,90,7678,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,1,"",3,1,"",0
52,54,1,20,50,0,-90,7679,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,1,"",3,1,"",0
53,55,1,30,100,0,0,4530,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,"",0
54,56,5,40,25,0,0,4528,72,-20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",4,1,"",0
55,57,6,40,25,0,0,4529,60,-20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",4,1,"",0
56,58,5,69,75,0,0,7920,72,-25,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",2,1,"",0
57,59,1,42,50,0,0,7920,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,"",0
58,60,1,50,50,0,-90,4531,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",3,1,"",0
59,61,1,50,50,0,90,4531,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",3,1,"",0
