"rownum","Id","Art","RewardTypeName","row","RewardRoomName","MinLevel","MaxLevel","Weight","RewardRoomName2","HeistJobsKey","i32"
0,"EscapeRoom","","Escape Route",0,"Currency",0,100,0,"Escape Route",[],0
1,"Currency","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardCurrency","Currency",0,"Currency Reward Room",46,100,350,"Currency Reward Room","[0,4,6]",350
2,"Uniques","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardUniques","Uniques",0,"Uniques Reward Room",10,100,300,"Uniques Reward Room","[1,8]",300
3,"Gems","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardGems","Gems",0,"Gems Reward Room",6,100,300,"Gems Reward Room",[4],300
4,"Maps","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardMaps","Maps",0,"Maps Reward Room",68,100,100,"Maps Reward Room",[8],100
5,"Trinkets","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardTrinkets","Accessories",0,"Accesories Reward Room",1,100,200,"Accesories Reward Room","[0,2,4]",0
6,"Armour","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardArmour","Armour",0,"Armour Reward Room",1,100,200,"Armour Reward Room","[5,6,7]",0
7,"Weapon","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardWeapon","Weapon",0,"Weapon Reward Room",1,100,200,"Weapon Reward Room","[1,5]",0
8,"Abyss","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardAbyss","Abyss",0,"Abyss Reward Room",46,100,150,"Abyss Reward Room",[5],150
9,"Perandus","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardPerandus","Perandus",0,"Perandus Reward Room",0,100,0,"Perandus Reward Room",[],0
10,"Harbinger","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardHarbinger","Harbinger",0,"Harbinger Reward Room",68,100,150,"Harbinger Reward Room","[6,7]",150
11,"Breach","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardBreach","Breach",0,"Breach Reward Room",68,100,150,"Breach Reward Room",[5],150
12,"Essences","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardEssences","Essences",0,"Essences Reward Room",5,100,250,"Essences Reward Room","[6,8]",250
13,"Fragments","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardFragments","Fragments",0,"Fragments Reward Room",68,100,250,"Fragments Reward Room",[0],250
14,"Fossils","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardFossils","Fossils",0,"Fossils Reward Room",34,100,150,"Fossils Reward Room","[1,6]",150
15,"Prophecies","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardProphecies","Prophecies",0,"Prophecies Reward Room",8,100,250,"Prophecies Reward Room",[2],250
16,"DivinationCards","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardDivination","Divination Cards",0,"Divination Cards Reward Room",36,100,300,"Divination Cards Reward Room","[2,7]",300
17,"Generic","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardGeneric","Generic",0,"Generic Reward Room",1,67,100,"Generic Reward Room",[3],100
18,"Talismans","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardTalismans","Talismans",0,"Talismans Reward Room",1,100,150,"Talismans Reward Room",[5],150
19,"Legion","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardLegion","Legion",0,"Legion Reward Room",68,100,150,"Legion Reward Room",[5],150
20,"Blight","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardBlight","Blight",0,"Blight Reward Room",68,100,150,"Blight Reward Room",[3],150
21,"Metamorphosis","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardMetamorph","Metamorph",0,"Metamorph Reward Room",68,100,150,"Metamorph Reward Room",[3],150
22,"Delirium","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardDelirium","Delirium",0,"Delirium Reward Room",68,100,150,"Delirium Reward Room",[3],150
