"rownum","Item","i32","i32","i32","i32","[rid]","bool","bool","rid","i32"
0,8357,2285,2604,225,2604,[],"","","",1161
1,8363,2302,2604,979,2604,[],"",1,938,1161
2,8364,2303,2604,980,2604,[],"",1,938,1161
3,8365,2304,2604,981,2604,[],"",1,938,1161
4,8366,2305,2604,982,2604,[],"",1,938,1161
5,8388,2322,2604,1004,2604,[],"",1,938,1161
6,8389,2323,2604,1005,2604,[],"",1,938,1161
7,8390,2324,2604,1006,2604,[],"",1,938,1161
8,8391,2325,2604,1007,2604,[],"",1,938,1161
9,8393,2326,2604,1009,2604,[],"",1,938,1161
10,8394,2327,2604,1010,2604,[],"",1,938,1161
11,8395,2328,2604,1011,2604,[],"",1,938,1161
12,8396,2329,2604,1012,2604,[],"",1,938,1161
13,8398,2330,2604,1014,2604,[],"",1,938,1161
14,8399,2331,2604,1015,2604,[],"",1,938,1161
15,8400,2332,2604,1016,2604,[],"",1,938,1161
16,8401,2333,2604,1017,2604,[],"",1,938,1161
17,4957,2584,2604,1156,2604,[],"","",950,1161
18,4958,2585,2604,1157,2604,[],"","",951,1161
19,4959,2595,2604,1160,2604,[],"","",952,1161
