"rownum","Id","PETFile1","PETFile2","PETFile3","rid","PETFile4","PETFile5","PETFile6","rid","[rid]","rid","PETFile7","PETFile8","PETFile9","rid","rid"
0,"PlayerBlood","Metadata/Particles/elemental_damages/blood_impacts/blood_impact_player.pet","Metadata/Particles/elemental_damages/blood_impacts/blood_impact_player.pet","Metadata/Particles/elemental_damages/critical_strikes_player.pet","","Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/red/blood_impact.pet","Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/red/blood1_impact.pet","Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/critical_strikes_red.pet","","[201,202,203,204,205,206]","","Metadata/Effects/Microtransactions/Misc/Extra_Blood/first_blood/red/red_blood.pet","Metadata/Effects/Microtransactions/Misc/Extra_Blood/first_blood/red/red_blood.pet","Metadata/Effects/Microtransactions/Misc/Extra_Blood/first_blood/red/critical_strikes_red.pet","",""
1,"MonsterRedBlood","Metadata/Particles/elemental_damages/blood_impacts/blood_impact.pet","Metadata/Particles/elemental_damages/blood_impacts/blood1_impact.pet","Metadata/Particles/elemental_damages/critical_strikes_red.pet",0,"Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/red/blood_impact.pet","Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/red/blood1_impact.pet","Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/critical_strikes_red.pet",7,"[201,202,203,204,205,206]",6,"Metadata/Effects/Microtransactions/Misc/Extra_Blood/first_blood/red/red_blood.pet","Metadata/Effects/Microtransactions/Misc/Extra_Blood/first_blood/red/red_blood.pet","Metadata/Effects/Microtransactions/Misc/Extra_Blood/first_blood/red/critical_strikes_red.pet","",""
2,"ZombieBlood","Metadata/Particles/elemental_damages/blood_impacts/blood_impact_zombie.pet","Metadata/Particles/elemental_damages/blood_impacts/blood1_impact_zombie.pet","Metadata/Particles/elemental_damages/critical_strikes_orange.pet",0,"Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/zombie/blood_impact_zombie.pet","Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/zombie/blood1_impact_zombie.pet","Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/critical_strikes_orange.pet",7,"[207,208,209,210,211,212]",6,"Metadata/Effects/Microtransactions/Misc/Extra_Blood/first_blood/zombie/zombie_blood.pet","Metadata/Effects/Microtransactions/Misc/Extra_Blood/first_blood/zombie/zombie_blood.pet","Metadata/Effects/Microtransactions/Misc/Extra_Blood/first_blood/zombie/critical_strikes_zombie.pet","",""
3,"GreenGhost","Metadata/Particles/elemental_damages/ghost_hit_green.pet","Metadata/Particles/elemental_damages/ghost_hit_green.pet","Metadata/Particles/elemental_damages/critical_strikes_ghost.pet",1,"Metadata/Particles/elemental_damages/critical_strikes_ghost.pet","Metadata/Particles/elemental_damages/critical_strikes_ghost.pet","Metadata/Particles/elemental_damages/critical_strikes_ghost.pet",8,[],"","","","","",""
4,"PurpleGhost","Metadata/Particles/elemental_damages/ghost_hit_purp.pet","Metadata/Particles/elemental_damages/ghost_hit_purp.pet","Metadata/Particles/elemental_damages/critical_strikes_ghost_shadow.pet",1,"Metadata/Particles/elemental_damages/critical_strikes_ghost_shadow.pet","Metadata/Particles/elemental_damages/critical_strikes_ghost_shadow.pet","Metadata/Particles/elemental_damages/critical_strikes_ghost_shadow.pet",8,[],"","","","","",""
5,"Mud","Metadata/Particles/elemental_damages/hit_stone_mud.pet","Metadata/Particles/elemental_damages/hit_stone_mud.pet","Metadata/Particles/elemental_damages/critical_strikes_rock.pet",2,"Metadata/Particles/elemental_damages/critical_strikes_rock.pet","Metadata/Particles/elemental_damages/critical_strikes_rock.pet","Metadata/Particles/elemental_damages/critical_strikes_rock.pet",9,[],"","","","","",""
6,"Stone","Metadata/Particles/elemental_damages/hit_stone.pet","Metadata/Particles/elemental_damages/hit_stone.pet","Metadata/Particles/elemental_damages/critical_strikes_rock.pet",2,"Metadata/Particles/elemental_damages/critical_strikes_rock.pet","Metadata/Particles/elemental_damages/critical_strikes_rock.pet","Metadata/Particles/elemental_damages/critical_strikes_rock.pet",9,[],"","","","","",""
7,"SpiderBlood","Metadata/Particles/elemental_damages/blood_impacts/blood_impact_spider.pet","Metadata/Particles/elemental_damages/blood_impacts/blood1_impact_spider.pet","Metadata/Particles/elemental_damages/critical_strikes_green.pet",0,"Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/green/blood_impact_spider.pet","Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/green/blood1_impact_spider.pet","Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/critical_strikes_green.pet",7,"[213,214,215,216,217,218]",6,"Metadata/Effects/Microtransactions/Misc/Extra_Blood/first_blood/spider/spider_blood.pet","Metadata/Effects/Microtransactions/Misc/Extra_Blood/first_blood/spider/spider_blood.pet","Metadata/Effects/Microtransactions/Misc/Extra_Blood/first_blood/spider/critical_strikes_green.pet","",""
8,"Bones","Metadata/Particles/bonehit.pet","Metadata/Particles/bonehit.pet","Metadata/Particles/elemental_damages/critical_strikes_skele.pet",3,"Metadata/Particles/elemental_damages/critical_strikes_skele.pet","Metadata/Particles/elemental_damages/critical_strikes_skele.pet","Metadata/Particles/elemental_damages/critical_strikes_skele.pet",10,[],"","","","","",""
9,"Water","Metadata/Particles/elemental_damages/water_splash_01.pet","Metadata/Particles/elemental_damages/water_splash_01.pet","Metadata/Particles/elemental_damages/critical_strikes_water.pet",4,"Metadata/Particles/elemental_damages/critical_strikes_water.pet","Metadata/Particles/elemental_damages/critical_strikes_water.pet","Metadata/Particles/elemental_damages/critical_strikes_water.pet",11,[],"","","","","",""
10,"NoBlood","","","","","","","","",[],"","","","","",""
11,"LargeSpiderBlood","Metadata/Particles/elemental_damages/blood_impacts/large_blood/blood_impact_spider.pet","Metadata/Particles/elemental_damages/blood_impacts/large_blood/blood1_impact_spider.pet","Metadata/Particles/elemental_damages/critical_strikes_green.pet",0,"Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/green/blood_impact_spider.pet","Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/green/blood1_impact_spider.pet","Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/critical_strikes_green.pet",7,"[213,214,215,216,217,218]",6,"Metadata/Effects/Microtransactions/Misc/Extra_Blood/first_blood/spider/spider_blood.pet","Metadata/Effects/Microtransactions/Misc/Extra_Blood/first_blood/spider/spider_blood.pet","Metadata/Effects/Microtransactions/Misc/Extra_Blood/first_blood/spider/critical_strikes_green.pet","",""
12,"AfflictionBlood","Metadata/Particles/monster_effects/League_Affliction/affliction_manifests/blood_type/affliction_blood_type.pet","Metadata/Particles/monster_effects/League_Affliction/affliction_manifests/blood_type/affliction_blood_type_large.pet","Metadata/Particles/monster_effects/League_Affliction/affliction_manifests/blood_type/affliction_blood_type_crit.pet",1,"Metadata/Particles/monster_effects/League_Affliction/affliction_manifests/blood_type/affliction_blood_type_large.pet","Metadata/Particles/monster_effects/League_Affliction/affliction_manifests/blood_type/affliction_blood_type_large.pet","Metadata/Particles/monster_effects/League_Affliction/affliction_manifests/blood_type/affliction_blood_type_large.pet",8,[],8,"","","","",""
