"rownum","Id","BaseItemType","X","Y","IntId","Width","Height","i32","bool"
0,"Metadata/Items/Currency/CurrencyAfflictionOrbCurrency",48,59,44,0,1,1,72,""
1,"Metadata/Items/Currency/CurrencyAfflictionOrbUniques",49,59,143,1,1,1,72,""
2,"Metadata/Items/Currency/CurrencyAfflictionOrbGems",50,59,246,2,1,1,72,""
3,"Metadata/Items/Currency/CurrencyAfflictionOrbWeapons",51,59,348,3,1,1,72,""
4,"Metadata/Items/Currency/CurrencyAfflictionOrbArmour",52,59,450,4,1,1,72,""
5,"Metadata/Items/Currency/CurrencyAfflictionOrbMaps",53,161,143,5,1,1,72,""
6,"Metadata/Items/Currency/CurrencyAfflictionOrbTrinkets",54,161,246,6,1,1,72,""
7,"Metadata/Items/Currency/CurrencyAfflictionOrbAbyss",55,161,348,7,1,1,72,""
8,"Metadata/Items/Currency/CurrencyAfflictionOrbPerandus",56,161,450,8,1,1,72,1
9,"Metadata/Items/Currency/CurrencyAfflictionOrbHarbinger",57,262,245,9,1,1,72,""
10,"Metadata/Items/Currency/CurrencyAfflictionOrbBreach",58,262,348,10,1,1,72,""
11,"GenericSlot1","",432,145,11,1,1,72,""
12,"GenericSlot2","",432,247,12,1,1,72,""
13,"GenericSlot3","",432,349,13,1,1,72,""
14,"GenericSlot4","",432,452,14,1,1,72,""
15,"Metadata/Items/Currency/CurrencyAfflictionShard",199,306,67,15,1,1,72,""
16,"Metadata/Items/MapFragments/CurrencyAfflictionFragment",6244,561,67,16,1,1,72,""
17,"Metadata/Items/Currency/CurrencyAfflictionOrbEssences",59,605,246,17,1,1,72,""
18,"Metadata/Items/Currency/CurrencyAfflictionOrbFragments",60,605,348,18,1,1,72,""
19,"Metadata/Items/Currency/CurrencyAfflictionOrbScarabs",61,705,143,19,1,1,72,""
20,"Metadata/Items/Currency/CurrencyAfflictionOrbFossils",62,705,246,20,1,1,72,""
21,"Metadata/Items/Currency/CurrencyAfflictionOrbProphecies",63,705,348,21,1,1,72,""
22,"Metadata/Items/Currency/CurrencyAfflictionOrbDivinationCards",64,705,450,22,1,1,72,""
23,"Metadata/Items/Currency/CurrencyAfflictionOrbTalismans",66,806,44,23,1,1,72,""
24,"Metadata/Items/Currency/CurrencyAfflictionOrbLabyrinth",67,806,143,24,1,1,72,""
25,"Metadata/Items/Currency/CurrencyAfflictionOrbIncubators",68,806,246,25,1,1,72,""
26,"Metadata/Items/Currency/CurrencyAfflictionOrbMetamorphosis",70,806,348,26,1,1,72,""
27,"Metadata/Items/Currency/CurrencyAfflictionOrbBlight",69,806,450,27,1,1,72,""
28,"DeliriousMapsSlots","",55,567,28,60,1,53,""
