"rownum","Id","BaseItemTypesKey","i32","i32","i32","i32","i32","i32","BackgroundImage","ButtonImage"
0,"Metadata/Items/Currency/CurrencyJewelleryQualityElemental",280,184,62,0,1,1,72,"",""
1,"Metadata/Items/Currency/CurrencyJewelleryQualityCaster",281,282,62,1,1,1,72,"",""
2,"Metadata/Items/Currency/CurrencyJewelleryQualityAttack",282,380,62,2,1,1,72,"",""
3,"Metadata/Items/Currency/CurrencyJewelleryQualityDefense",278,202,172,3,1,1,72,"",""
4,"Metadata/Items/Currency/CurrencyJewelleryQualityResource",279,300,172,4,1,1,72,"",""
5,"Metadata/Items/Currency/CurrencyJewelleryQualityResistance",283,563,172,5,1,1,72,"",""
6,"Metadata/Items/Currency/CurrencyJewelleryQualityAttribute",284,659,172,6,1,1,72,"",""
7,"GenericSlot","",405,165,7,2,4,64,"",""
8,"Metadata/Items/Metamorphosis/MetamorphosisBrain",8151,-199,0,9,10,5,54,"Art/2DArt/UIImages/InGame/MTX/Metamorph/MetamorphTabBackgroundSubInventoryBrain","Art/2DArt/UIImages/InGame/MTX/Metamorph/BrainButton"
9,"Metadata/Items/Metamorphosis/MetamorphosisEye",8152,-100,0,19,10,5,54,"Art/2DArt/UIImages/InGame/MTX/Metamorph/MetamorphTabBackgroundSubInventoryEyeball","Art/2DArt/UIImages/InGame/MTX/Metamorph/EyeButton"
10,"Metadata/Items/Metamorphosis/MetamorphosisLiver",8153,198,0,29,10,5,54,"Art/2DArt/UIImages/InGame/MTX/Metamorph/MetamorphTabBackgroundSubInventoryLiver","Art/2DArt/UIImages/InGame/MTX/Metamorph/LiverButton"
11,"Metadata/Items/Metamorphosis/MetamorphosisLung",8154,-1,0,39,10,5,54,"Art/2DArt/UIImages/InGame/MTX/Metamorph/MetamorphTabBackgroundSubInventoryLungs","Art/2DArt/UIImages/InGame/MTX/Metamorph/LungsButton"
12,"Metadata/Items/Metamorphosis/MetamorphosisHeart",8155,98,0,49,10,5,54,"Art/2DArt/UIImages/InGame/MTX/Metamorph/MetamorphTabBackgroundSubInventoryHeart","Art/2DArt/UIImages/InGame/MTX/Metamorph/HeartButton"
13,"Metadata/Items/Currency/CurrencyJewelleryQualityCritical",287,478,62,59,1,1,72,"",""
14,"Metadata/Items/Currency/CurrencyJewelleryQualitySpeed",286,576,62,60,1,1,72,"",""
15,"Metadata/Items/Currency/CurrencyJewelleryQualityPhysicalChaos",285,674,62,61,1,1,72,"",""
