"rownum","Id","Icon"
0,"Currency","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedCurrency"
1,"Uniques","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedUniques"
2,"Gems","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedGems"
3,"Maps","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedMaps"
4,"Trinkets","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedTrinkets"
5,"Armour","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedArmour"
6,"Weapon","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedWeapons"
7,"Abyss","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedAbyss"
8,"Harbinger","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedHarbinger"
9,"Breach","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedBreach"
10,"Essences","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedEssence"
11,"Essences2","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedEssence"
12,"Fragments","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedFragments"
13,"Scarabs","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedScarabs"
14,"Fossils","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedFossils"
15,"Prophecies","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedProphecies"
16,"DivinationCards","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedDivination"
17,"Generic","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedGeneric"
18,"Talismans","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedTalismans"
19,"Labyrinth","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedLabyrinth"
20,"Legion","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedLegion"
21,"Blight","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedBlight"
