"rownum","DelveUpgradeTypeKey","UpgradeLevel","StatsKeys","StatValues","Cost","i32","AchievementItemsKey","i32"
0,6,0,[],[],0,0,"",0
1,0,0,[8248],[1200],0,0,"",0
2,0,1,[8248],[1800],15,1,"",6
3,0,2,[8248],[2400],102,2,"",13
4,0,3,[8248],[3000],187,3,"",20
5,0,4,[8248],[4000],300,4,"",25
6,0,5,[8248],[5200],444,4,"",29
7,0,6,[8248],[6400],630,4,"",35
8,0,7,[8248],[9000],865,4,"",0
9,0,8,[8248],[12500],1016,4,"",0
10,0,9,[8248],[17500],1496,4,"",0
11,0,10,[8248],[22750],2143,4,"",0
12,0,11,[8248],[30000],5271,4,"",0
13,0,12,[8248],[38500],12962,4,"",0
14,0,13,[8248],[46000],21521,4,"",0
15,0,14,[8248],[55000],33728,4,"",0
16,0,15,[8248],[65000],54709,4,"",0
17,1,0,[8249],[3],0,0,"",0
18,1,1,[8249],[4],92,0,"",6
19,1,2,[8249],[5],199,0,"",13
20,1,3,[8249],[6],370,0,"",20
21,1,4,[8249],[7],560,0,"",25
22,1,5,[8249],[8],762,0,"",29
23,1,6,[8249],[9],1255,0,"",35
24,1,7,[8249],[10],1495,0,"",0
25,1,8,[8249],[11],1860,0,"",0
26,1,9,[8249],[12],2312,0,"",0
27,1,10,[8249],[13],4046,0,"",0
28,1,11,[8249],[14],7081,0,"",0
29,1,12,[8249],[15],12391,0,"",0
30,1,13,[8249],[16],18678,0,"",0
31,1,14,[8249],[17],25082,0,"",0
32,1,15,[8249],[18],33246,0,"",0
33,1,16,[8249],[19],43909,0,"",0
34,1,17,[8249],[20],58214,0,"",0
35,2,0,[8250],[2],0,0,"",0
36,2,1,[8250],[3],70,0,"",0
37,2,2,[8250],[4],214,0,"",0
38,2,3,[8250],[5],586,0,"",0
39,2,4,[8250],[6],1386,0,"",0
40,2,5,[8250],[7],2050,0,"",0
41,3,0,[8251],[0],0,0,"",0
42,3,1,[8251],[30],50,1,"",6
43,3,2,[8251],[60],167,2,"",13
44,3,3,[8251],[90],312,3,"",20
45,3,4,[8251],[120],505,4,"",25
46,3,5,[8251],[150],688,4,"",29
47,3,6,[8251],[180],1012,4,"",35
48,3,7,[8251],[210],1224,4,"",0
49,3,8,[8251],[240],1397,4,"",0
50,3,9,[8251],[270],1487,4,"",0
51,3,10,[8251],[300],1682,4,"",0
52,3,11,[8251],[330],1832,4,"",0
53,3,12,[8251],[360],1943,4,"",0
54,3,13,[8251],[390],2222,4,"",0
55,3,14,[8251],[420],2276,4,"",0
56,3,15,[8251],[450],2245,4,"",0
57,3,16,[8251],[480],2388,4,"",0
58,3,17,[8251],[510],2446,4,"",0
59,3,18,[8251],[540],2566,4,"",0
60,3,19,[8251],[570],2593,4,"",0
61,3,20,[8251],[600],2824,4,"",0
62,3,21,[8251],[630],2964,4,"",0
63,3,22,[8251],[660],2994,4,"",0
64,3,23,[8251],[690],3262,4,"",0
65,3,24,[8251],[720],3423,4,"",0
66,3,25,[8251],[750],3458,4,"",0
67,3,26,[8251],[780],3767,4,"",0
68,3,27,[8251],[810],3953,4,"",0
69,3,28,[8251],[840],3993,4,"",0
70,3,29,[8251],[870],4350,4,"",0
71,3,30,[8251],[900],4565,4,"",0
72,3,31,[8251],[930],4611,4,"",0
73,3,32,[8251],[960],5024,4,"",0
74,3,33,[8251],[990],5271,4,"",0
75,3,34,[8251],[1020],5325,4,"",0
76,3,35,[8251],[1050],5802,4,"",0
77,3,36,[8251],[1080],6088,4,"",0
78,3,37,[8251],[1110],6150,4,"",0
79,3,38,[8251],[1140],6700,4,"",0
80,3,39,[8251],[1170],7030,4,"",0
81,3,40,[8251],[1200],7102,4,"",0
82,3,41,[8251],[1230],7737,4,"",0
83,3,42,[8251],[1260],8119,4,"",0
84,3,43,[8251],[1290],8202,4,"",0
85,3,44,[8251],[1320],8936,4,"",0
86,3,45,[8251],[1350],9376,4,"",0
87,3,46,[8251],[1380],9472,4,"",0
88,3,47,[8251],[1410],10319,4,"",0
89,3,48,[8251],[1440],10828,4,"",0
90,3,49,[8251],[1470],10939,4,"",0
91,3,50,[8251],[1500],11917,4,"",0
92,3,51,[8251],[1530],12505,4,"",0
93,3,52,[8251],[1560],12633,4,"",0
94,3,53,[8251],[1590],13763,4,"",0
95,3,54,[8251],[1620],14441,4,"",0
96,3,55,[8251],[1650],14589,4,"",0
97,3,56,[8251],[1680],15894,4,"",0
98,3,57,[8251],[1710],16677,4,"",0
99,3,58,[8251],[1740],16848,4,"",0
100,3,59,[8251],[1770],18355,4,"",0
101,3,60,[8251],[1800],19260,4,"",0
102,3,61,[8251],[1830],19457,4,"",0
103,3,62,[8251],[1860],21197,4,"",0
104,3,63,[8251],[1890],22242,4,"",0
105,3,64,[8251],[1920],22470,4,"",0
106,3,65,[8251],[1950],24479,4,"",0
107,3,66,[8251],[1980],25686,4,"",0
108,3,67,[8251],[2010],25949,4,"",0
109,3,68,[8251],[2040],28270,4,"",0
110,3,69,[8251],[2070],29664,4,"",0
111,3,70,[8251],[2100],29967,4,"",0
112,3,71,[8251],[2130],32647,4,"",0
113,3,72,[8251],[2160],34257,4,"",0
114,3,73,[8251],[2190],34607,4,"",0
115,3,74,[8251],[2220],37702,4,"",0
116,3,75,[8251],[2250],39562,4,"",0
117,3,76,[8251],[2280],39966,4,"",0
118,3,77,[8251],[2310],43540,4,"",0
119,3,78,[8251],[2340],45688,4,"",0
120,3,79,[8251],[2370],46155,4,"",0
121,3,80,[8251],[2400],50282,4,"",0
122,3,81,[8251],[2430],52762,4,"",0
123,3,82,[8251],[2460],53302,4,"",0
124,3,83,[8251],[2490],58069,4,"",0
125,3,84,[8251],[2520],60932,4,"",0
126,3,85,[8251],[2550],61555,4,"",0
127,3,86,[8251],[2580],67060,4,"",0
128,3,87,[8251],[2610],70367,4,"",0
129,3,88,[8251],[2640],71087,4,"",0
130,3,89,[8251],[2670],77444,4,"",0
131,3,90,[8251],[2700],81264,4,"",0
132,3,91,[8251],[2730],82095,4,"",0
133,3,92,[8251],[2760],89436,4,"",0
134,3,93,[8251],[2790],93847,4,"",0
135,3,94,[8251],[2820],94807,4,"",0
