"rownum","Id","i32","i32","MinTier","MaxTier","rid","ModsKeys"
0,"ElderInfluenceSpawnTentacleFiend1A",2,100,1,16,"",[14554]
1,"ElderInfluenceSpawnTentacleFiend1B",2,33,11,16,"","[14554,14710]"
2,"ElderInfluencePortalPack1A",2,100,1,16,"",[14705]
3,"ElderInfluencePortalPack1B",2,33,11,16,"","[14705,14710]"
4,"ElderInfluencePortalPack2A",2,100,1,16,"",[14706]
5,"ElderInfluencePortalPack2B",2,33,11,16,"","[14706,14710]"
6,"ElderInfluencePortalPack3A",2,100,1,16,"",[14707]
7,"ElderInfluencePortalPack3B",2,33,11,16,"","[14707,14710]"
8,"ElderInfluenceTentacleMinionPack1A",2,100,1,16,"",[14708]
9,"ElderInfluenceTentacleMinionPack1B",2,33,11,16,"","[14708,14710]"
10,"ElderInfluenceTentacleMinions1A",2,100,1,16,"",[14709]
11,"ElderInfluenceTentacleMinions1B",2,33,11,16,"","[14709,14710]"
12,"ShaperInfluenceSpawnAnomaly1_1",1,100,1,16,"",[14543]
13,"ShaperInfluenceSpawnAnomaly1_2",1,33,11,16,"","[14543,14544]"
14,"ShaperInfluenceSpawnAnomaly2_1",1,10,1,16,57,[14543]
15,"ShaperInfluenceSpawnAnomaly2_2",1,10,1,16,58,[14543]
16,"ShaperInfluenceSpawnAnomaly2_3",1,10,1,16,59,[14543]
17,"ShaperInfluenceSpawnAnomaly2_4",1,10,1,16,60,[14543]
18,"ShaperInfluenceSpawnGolems1_1_1",1,100,1,16,"",[14545]
19,"ShaperInfluenceSpawnGolems1_1_2",1,33,11,16,"","[14545,14544]"
20,"ShaperInfluenceSpawnGolems1_2_1",1,10,1,16,57,[14545]
21,"ShaperInfluenceSpawnGolems1_2_2",1,10,1,16,58,[14545]
22,"ShaperInfluenceSpawnGolems1_2_3",1,10,1,16,59,[14545]
23,"ShaperInfluenceSpawnGolems1_2_4",1,10,1,16,60,[14545]
24,"ShaperInfluenceSpawnGolems2_1_1",1,100,6,16,"",[14546]
25,"ShaperInfluenceSpawnGolems2_1_2",1,33,11,16,"","[14546,14544]"
26,"ShaperInfluenceSpawnGolems2_2_1",1,10,6,16,57,[14546]
27,"ShaperInfluenceSpawnGolems2_2_2",1,10,6,16,58,[14546]
28,"ShaperInfluenceSpawnGolems2_2_3",1,10,6,16,59,[14546]
29,"ShaperInfluenceSpawnGolems2_2_4",1,10,6,16,60,[14546]
30,"ShaperInfluenceSpawnGolems3_1_1",1,100,6,16,"",[14547]
31,"ShaperInfluenceSpawnGolems3_1_2",1,33,11,16,"","[14547,14544]"
32,"ShaperInfluenceSpawnGolems3_2_1",1,10,6,16,57,[14547]
33,"ShaperInfluenceSpawnGolems3_2_2",1,10,6,16,58,[14547]
34,"ShaperInfluenceSpawnGolems3_2_3",1,10,6,16,59,[14547]
35,"ShaperInfluenceSpawnGolems3_2_4",1,10,6,16,60,[14547]
36,"ShaperInfluenceSpawnGolems4_1_1",1,100,6,16,"",[14548]
37,"ShaperInfluenceSpawnGolems4_1_2",1,33,11,16,"","[14548,14544]"
38,"ShaperInfluenceSpawnGolems4_2_1",1,10,6,16,57,[14548]
39,"ShaperInfluenceSpawnGolems4_2_2",1,10,6,16,58,[14548]
40,"ShaperInfluenceSpawnGolems4_2_3",1,10,6,16,59,[14548]
41,"ShaperInfluenceSpawnGolems4_2_4",1,10,6,16,60,[14548]
42,"ShaperInfluenceSpawnVoidAgent1_1_1",1,40,6,16,"","[14551,14549]"
43,"ShaperInfluenceSpawnVoidAgent1_1_2",1,15,11,16,"","[14551,14549,14544]"
44,"ShaperInfluenceSpawnVoidAgent1_2_1",1,20,6,16,57,"[14551,14549]"
45,"ShaperInfluenceSpawnVoidAgent1_2_2",1,20,6,16,58,"[14551,14549]"
46,"ShaperInfluenceSpawnVoidAgent1_2_3",1,20,6,16,59,"[14551,14549]"
47,"ShaperInfluenceSpawnVoidAgent1_2_4",1,20,6,16,60,"[14551,14549]"
48,"ShaperInfluenceSpawnVoidAgent2_1_1",1,40,6,16,"","[14552,14550]"
49,"ShaperInfluenceSpawnVoidAgent2_1_2",1,15,11,16,"","[14552,14550,14544]"
50,"ShaperInfluenceSpawnVoidAgent2_2_1",1,20,6,16,57,"[14552,14550]"
51,"ShaperInfluenceSpawnVoidAgent2_2_2",1,20,6,16,58,"[14552,14550]"
52,"ShaperInfluenceSpawnVoidAgent2_2_3",1,20,6,16,59,"[14552,14550]"
53,"ShaperInfluenceSpawnVoidAgent2_2_4",1,20,6,16,60,"[14552,14550]"
54,"ShaperInfluenceMaelstromCell1_1",1,12,6,16,"","[14553,14543]"
55,"ShaperInfluenceMaelstromCell1_2",1,12,11,16,"","[14553,14551]"
56,"ShaperSuperInfluenceSpawn1",3,100,1,16,57,"[14543,14544,19237]"
57,"ShaperSuperInfluenceSpawn2",3,100,1,16,58,"[14543,14544,19237]"
58,"ShaperSuperInfluenceSpawn3",3,100,1,16,59,"[14543,14544,19237]"
59,"ShaperSuperInfluenceSpawn4",3,100,1,16,60,"[14543,14544,19237]"
