"rownum","Id","X","Y","IsMajorGod","CoverImage","GodName2","SelectionImage","Effect1_StatsKeys","Effect1_Values","Effect2_StatsKeys","GodName3","Effect3_Values","Effect3_StatsKeys","GodName4","Effect4_StatsKeys","Effect4_Values","GodName1","Effect2_Values","QuestState1","QuestState2","QuestState3","QuestState4","IsDisabled","AchievementItems"
0,"TheBrineKing",60,242,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeFarLeft","Nassar, Lion of the Seas","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge",[6440],[1],[221],"Litanius, the Black Prayer",[100],[191],"Poporo, the Highest Spire",[2593],[-50],"Soul of the Brine King",[30],1165,1390,1391,1392,"",[6981]
1,"Arakaali",760,300,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeFarRight","Murgeth Bogsong","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge",[542],[-10],[5848],"Arachnoxia",[20],[6346],"Spinner of False Hope",[6104],[40],"Soul of Arakaali",[20],1295,1393,1394,1395,"",[6981]
2,"Solaris",560,357,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeRight","Vision of Justice","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge","[6169,6170]","[6,20]",[6171],"Warmonger",[1],[6172],"Kitava, The Destroyer",[6175],[50],"Soul of Solaris",[-8],1427,1396,1397,1398,"",[6981]
3,"Lunaris",354,386,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeLeft","Tunneltrap","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge","[6176,6177]","[1,1]",[6178],"Herald of Thunder",[-6],[15385],"The Sanguine Siren",[6180],[100],"Soul of Lunaris",[10],1427,1399,1400,1401,"",[6981]
4,"Minor God 1",780,517,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],72,72,72,72,1,[]
5,"Minor God 2",682,550,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],72,72,72,72,1,[]
6,"Abberath",328,584,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Mephod, the Earth Scorcher","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[14739],[-60],"[6926,5849]","",[],[],"",[],[],"Soul of Abberath","[1,10]",1201,1403,72,72,"",[]
7,"Minor God 4",359,794,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],72,72,72,72,1,[]
8,"Gruthkul",425,609,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Erebix, Light's Bane","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[5858],[1],[6161],"",[],[],"",[],[],"Soul of Gruthkul",[-8],1387,1406,72,72,"",[]
9,"Yugul",225,627,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Varhesh, Shimmering Aberration","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[10944,14740]","[-50,50]",[1278],"",[],[],"",[],[],"Soul of Yugul",[-30],1439,1407,72,72,"",[]
10,"Shakari",703,566,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","The Restless Shade","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[11845,11846]","[-50,3]","[3424,6528]","",[],[],"",[],[],"Soul of Shakari","[-5,-25]",1630,1408,72,72,"",[]
11,"Tukohama",335,711,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Tahsin, Warmaker","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[5851],[3],[11803],"",[],[],"",[],[],"Soul of Tukohama",[120],1176,1402,72,72,"",[]
12,"Minor God 9",547,725,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],72,72,72,72,1,[]
13,"Ralakesh",515,747,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Drek, Apex Hunter","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[6168,3385]","[-25,1]",[14373],"",[],[],"",[],[],"Soul of Ralakesh",[1],1274,1405,72,72,"",[]
14,"Garukhan",101,501,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Stalker of the Endless Dunes","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[3590],[-60],"[2402,5862]","",[],[],"",[],[],"Soul of Garukhan","[1,100]",1567,1409,72,72,"",[]
15,"Ryslatha",524,664,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Suncaller Asha","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[5854],[3],[5855],"",[],[],"",[],[],"Soul of Ryslatha",[60],1194,1404,72,72,"",[]
