"rownum","ActiveSkill","i32","MiscAnimated","MeleeTrailsKey1","MeleeTrailsKey2","MeleeTrailsKey3","MeleeTrailsKey4","MeleeTrailsKey5","MeleeTrailsKey6","MeleeTrailsKey7","bool","SurgeEffect_EPKFile","string","string"
0,57,0,"","","","","","","","",1,"","",""
1,57,1,"",10,11,12,13,16,14,15,"","","",""
2,57,2,2339,"","","","","","","",1,"","",""
3,57,3,"","","",12,13,"","","",1,"","",""
4,57,4,"",42,43,"","","","","","","","",""
5,57,5,"",44,45,"","","","","",1,"","",""
6,57,6,"",108,108,109,109,110,110,111,1,"","",""
7,57,7,"",112,112,112,112,112,112,112,1,"","",""
8,57,8,"",114,113,114,113,"","","",1,"","",""
9,57,9,"","","",123,123,124,"","",1,"","",""
10,57,10,"","","",125,125,"","","",1,"","",""
11,57,11,"","","","","",126,"","",1,"","",""
12,57,12,"","","","","",127,"","",1,"","",""
13,57,13,"","","",128,"","","","",1,"","",""
14,25,0,"",30,29,32,31,35,33,34,1,"","",""
15,25,1,"",142,141,144,143,147,145,146,1,"","",""
16,16,0,"",24,"",25,"",28,26,27,1,"","",""
17,16,1,"",0,"",1,"",4,2,3,1,"","",""
18,17,0,"",24,"",25,"",28,26,27,1,"","",""
19,17,1,"",0,"",1,"",4,2,3,1,"","",""
20,114,0,"",36,36,37,38,41,39,40,1,"","",""
21,33,0,"",10,11,12,13,16,14,15,"","","",""
22,33,1,"",10,11,12,13,16,14,15,"","","",""
23,33,2,"",10,11,12,13,16,14,15,"","","",""
24,33,3,"",10,11,12,13,16,14,15,"","","",""
25,33,4,"",10,11,12,13,16,14,15,"","","",""
26,75,0,"",49,48,51,50,52,53,54,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","",""
27,76,0,"",77,76,71,70,75,72,73,"","","",""
28,82,0,"",103,103,104,104,105,105,105,"","","",""
29,444,0,"",63,62,65,64,69,66,67,"","Metadata/Effects/Spells/fortify/surge/fortify_surge.epk","",""
30,448,0,"",85,84,79,78,83,80,81,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_surge_frostblades.epk","",""
31,467,0,"",10,11,12,13,16,14,15,"","","",""
32,220,0,"",10,11,12,13,16,14,15,"","","",""
33,220,1,"",10,11,12,13,16,14,15,"","","",""
34,310,0,364,49,48,51,50,52,53,54,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","",""
