"rownum","Id","QuestState","i32","i32","Marauder_CharacterTextAudioKeys","Ranger_CharacterTextAudioKeys","Witch_CharacterTextAudioKeys","Duelist_CharacterTextAudioKeys","Shadow_CharacterTextAudioKeys","Templar_CharacterTextAudioKeys","Scion_CharacterTextAudioKeys","Goddess_CharacterTextAudioKeys","JackTheAxe_CharacterTextAudioKeys","bool","bool"
0,"EnterLioneyesWatch",125,4000,0,[],[],[],[],[],[],[],[],[],"",""
1,"EnterCannibalBay",126,4000,0,[3],[],[191],[222],[333],[363],[436],[],[],"",""
2,"EnterTidalIsland",127,4000,0,[],[],[],[],[],[],[],[],[],"",""
3,"EnterMudFlats",31,4000,0,[],[],[],[],[],[],[],[],[],"",""
4,"EnterFetidPool",128,4000,0,[],[],[],[],[],[],[],[],[],"",""
5,"EnterSubmergedPassage",28,4000,0,[],[],[],[],[],[],[],[],[],"",""
6,"EnterFloodedDepths",129,4000,0,[],[],[],[],[],[],[],[],[],"",""
7,"EnterLedge",4,4000,0,[],[],[],[],[],[],[],[],[],"",""
8,"EnteringSavageClimb",130,4000,0,[],[],[],[],[],[],[],[],[],"",""
9,"EnterPrison",131,4000,0,[7],[85],[157],[224],[295],[364],[437],[],[],"",""
10,"EnterWardensChamber",515,5000,0,[],[],[],[],[],[],[],[],[],"",""
11,"EnterPrisonersGate",27,4000,0,[],[],[],[],[],[],[],[],[],"",""
12,"EnterShipGraveyard",34,4000,0,[9],[87],[158],[227],[296],[365],[439],[],[],"",""
13,"EnterShipCave",132,4000,0,[],[],[],[],[],[],[],[],[],"",""
14,"EnterCavernOfWrath",133,4000,0,[],[],[],[],[],[],[],[],[],"",""
15,"EnterSouthernForest",11,4000,0,[15],[],[192],[],[334],[400],[442],[],[],"",""
16,"EnterForestEncampment",134,4000,0,[],[],[],[],[],[],[],[],[],"",""
17,"EnterOldFields",135,4000,0,[],[],[],[],[],[],[],[],[],"",""
18,"EnterDen",136,4000,0,[],[],[],[],[],[],[],[],[],"",""
19,"EnterCrossroads",137,4000,0,[],[],[],[],[],[],[],[],[],"",""
20,"EnterFellshrineRuins",148,4000,0,[],[],[],[],[],[],[],[],[],"",""
21,"EnterFellshrineCrypt",139,4000,0,[],[],[],[],[],[404],[],[],[],"",""
