"rownum","BaseItemTypesKey","SpawnWeight","Cost","MinDepth","IsEnabled"
0,274,100,300,0,1
1,275,100,750,0,1
2,276,100,3750,0,1
3,237,100,1000,0,""
4,238,100,1000,0,""
5,239,100,1000,0,""
6,240,100,1000,0,""
7,241,100,1000,0,""
8,242,100,1000,0,""
9,243,100,1000,0,""
10,244,40,10000,19,""
11,245,40,10000,19,""
12,246,40,10000,19,""
13,247,40,10000,19,""
14,248,40,10000,19,""
15,249,40,10000,19,""
16,250,40,10000,19,""
17,251,40,10000,19,""
18,252,40,10000,19,""
19,253,10,100000,35,""
20,254,10,1000000,75,""
21,255,10,1000000,75,""
22,256,10,1000000,75,""
23,257,10,1000000,75,""
24,258,10,1000000,75,""
25,259,10,1000000,75,""
26,260,10,100000,35,""
27,261,10,100000,35,""
