"rownum","Id","PositionX","PositionY","Waypoint_WorldAreasKey","WorldAreasKeys","Name","FlavourText","[i32]","Act","string","[i32]","i32"
0,"1_town",264,405,1,[1],"Lioneye's Watch","Cold, dank and reeking of infection. That's how Hope fares in Wraeclast.",[124],1,"1_town",[125],2604
1,"1_1",244,486,"",[2],"The Twilight Strand","Hope was drowned here.",[],1,"1_1",[124],2604
2,"1_2",285,346,3,[3],"The Coast","The cliffs echo the hungry madness.","[45,125]",1,"1_2",[126],2604
3,"1_2a",325,375,"",[4],"The Tidal Island","Despite the warming sun, the breeze here bites with fangs of ice.","[45,126]",1,"1_2a",[127],2604
4,"1_3",314,300,"",[5],"The Mud Flats","Mud and air seethes with warped life.",[126],1,"1_3",[31],2604
5,"1_3a",283,231,"",[6],"The Fetid Pool","Sluggish waters simmering with decay.","[225,31]",1,"1_3a",[128],2604
6,"1_4_0",426,279,"",[7],"The Flooded Depths","Darkness chilled into stillness.","[114,28]",1,"1_4_0",[129],2604
7,"1_4",371,247,8,[8],"The Submerged Passage","Slime, shadow, and sharp sharp teeth.","[114,31,230]",1,"1_4",[28],2604
8,"1_5",419,211,9,[9],"The Ledge","Dusty winds laden with the scent of bone, old and otherwise.","[28,230]",1,"1_5",[4],2604
9,"1_6",324,161,10,[10],"The Climb","The cliffs glower down like judges in session.","[5,4,230]",1,"1_6",[130],2604
10,"1_7",305,68,11,"[11,12]","The Prison","The air is rich with despair and apparition.","[5,130,230]",1,"1_7",[131],2604
11,"1_8",385,68,13,[13],"Prisoner's Gate","The cliffs watch with goatish eyes.","[131,230]",1,"1_8",[27],2604
12,"1_9",480,158,14,[14],"The Ship Graveyard","Whispered agonies of the marooned dead.",[27],1,"1_9",[34],2604
13,"1_9a",470,107,"",[15],"The Ship Graveyard Cave","A corpse's throat, exhaling death.",[34],1,"1_9a",[132],2604
14,"1_11",626,117,16,"[16,17]","Merveil's Caverns","The air needles the skin with its frigid fury.","[9,34]",1,"1_11",[133],2604
15,"1_fake_act2",580,-25,"",[],"Act 2","DEV NOTE: Off map pip for Way Forward quest",[133],1,"",[72],2604
16,"1_fake_road",365,-25,"",[],"Act 2","DEV NOTE: Off map pip for Way Forward quest","[27,230]",1,"",[72],2604
17,"2_town",528,313,18,[18],"The Forest Encampment","A remnant of civility in the wild.",[11],2,"2_town",[134],2604
18,"2_1",574,400,19,[19],"The Southern Forest","Lush and humid, sweating violence.",[],2,"2_1",[11],2604
19,"2_2",574,267,"",[20],"The Old Fields","Sick pastures, feverish to the touch.","[54,21,97,98,134,245]",2,"2_2",[135],2604
20,"2_2a",530,218,"",[21],"The Den","Hot and sour as the panting of a rabid bear.","[137,245]",2,"2_2a",[136],2604
