"rownum","Id","MonsterPacksKeys","i32","i32","MonsterVarietiesKey","rid","i32","i32","i32","MonsterPacksKey"
0,"MonkeyPack","[982,983,984,985,986,987,988,989,990,991,992]",12,2,4536,2,2,20,100,982
1,"BeastPack","[982,983,984,985,986,987,988,989,990,991,992]",12,2,4534,2,2,20,100,984
2,"HellionPack","[982,983,984,985,986,987,988,989,990,991,992]",1,2,4535,2,2,20,100,985
3,"RhoaPack","[982,983,984,985,986,987,988,989,990,991,992]",1,2,4533,2,2,20,100,983
4,"SpiderPack","[982,983,984,985,986,987,988,989,990,991,992]",15,2,4539,2,2,20,100,987
5,"SnakePack","[982,983,984,985,986,987,988,989,990,991,992]",15,2,4538,2,2,20,100,986
6,"FrogPack","[982,983,984,985,986,987,988,989,990,991,992]",25,2,4541,2,2,20,100,988
7,"IguanaPack","[982,983,984,985,986,987,988,989,990,991,992]",30,2,4542,2,2,20,100,989
8,"KiwethPack","[982,983,984,985,986,987,988,989,990,991,992]",1,2,4543,2,2,20,100,990
9,"DropbearPack","[982,983,984,985,986,987,988,989,990,991,992]",15,2,4544,2,2,20,100,991
10,"SquidPack","[982,983,984,985,986,987,988,989,990,991,992]",1,2,4545,2,2,20,100,992
11,"TasterPack","[982,983,984,985,986,987,988,989,990,991,992]",39,3,4067,3,3,20,100,""
12,"BeastBossPack","[982,983,984,985,986,987,988,989,990,991,992]",15,3,110,3,3,20,100,""
13,"SpiderBossPack","[982,983,984,985,986,987,988,989,990,991,992]",15,3,911,3,3,20,100,""
14,"KiwethBossPack","[982,983,984,985,986,987,988,989,990,991,992]",1,3,1533,3,3,20,100,""
15,"WaterSpiralBossPack","[982,983,984,985,986,987,988,989,990,991,992]",35,3,3793,3,3,20,100,""
16,"SandLeaperBossPack","[982,983,984,985,986,987,988,989,990,991,992]",35,3,3812,3,3,20,100,""
17,"DropBearBossPack","[982,983,984,985,986,987,988,989,990,991,992]",15,3,3069,3,3,20,100,""
