"rownum","MapsKey","MapWorldsTier","BetrayalTier","SynthesisTier","LegionTier","BlightTier","MetamorphosisTier","DeliriumTier","HarvestTier","HeistTier","i32","i32","i32"
0,326,1,4,4,2,5,2,2,1,2,4,15,14
1,327,1,4,4,4,5,1,1,2,2,14,1,0
2,328,1,3,5,7,8,2,2,3,3,3,2,0
3,329,1,2,2,7,9,11,11,12,2,9,15,1
4,330,0,0,0,0,0,0,0,0,0,15,16,3
5,331,2,5,1,2,2,2,2,14,5,8,12,16
6,332,2,2,5,3,3,3,3,3,3,1,4,0
7,333,2,3,3,1,3,2,2,1,11,4,5,5
8,334,2,2,3,3,4,5,5,5,5,3,2,2
9,335,2,1,4,3,4,9,9,11,11,11,12,4
10,336,2,4,5,5,5,5,5,5,4,4,2,0
11,337,3,2,1,8,10,9,9,15,3,4,2,0
12,338,3,3,5,4,2,3,3,16,5,4,2,0
13,339,3,3,1,5,3,2,2,14,14,11,4,9
14,340,3,3,2,4,2,6,6,4,4,14,9,0
15,341,3,10,3,3,4,3,3,5,14,4,15,5
16,342,3,3,2,5,5,2,2,4,14,2,4,0
17,343,3,5,4,9,7,6,6,5,5,11,7,3
18,344,3,11,6,5,4,6,7,15,15,16,15,0
19,345,3,7,9,6,8,10,10,10,10,5,16,13
20,346,3,7,4,5,1,3,3,9,13,1,15,12
21,347,4,5,4,4,5,11,11,11,7,14,5,0
22,348,4,9,10,3,5,3,3,9,9,9,11,9
23,349,4,14,12,14,12,9,9,4,4,4,4,0
24,350,4,4,2,4,3,2,2,2,3,3,4,2
25,351,4,11,10,8,7,5,5,5,5,5,5,3
26,352,4,3,5,4,5,15,15,4,3,2,8,4
27,353,4,4,4,2,5,2,2,1,2,3,14,5
28,354,4,6,8,10,8,3,3,4,1,2,5,0
29,355,4,4,8,9,6,10,10,7,7,5,4,3
30,356,4,6,9,12,15,5,5,7,12,3,3,2
31,357,0,0,0,0,0,0,0,0,0,2,3,0
32,358,0,0,0,0,0,0,0,0,0,11,9,5
33,359,0,0,0,0,0,0,0,0,0,12,6,10
34,360,0,0,0,0,0,0,0,0,0,3,11,11
35,361,0,0,0,0,0,0,0,0,0,11,15,0
36,362,0,0,0,0,0,0,0,0,0,10,10,3
37,363,5,7,8,7,7,4,4,2,2,11,14,8
38,364,5,6,5,1,2,2,2,2,14,3,14,15
39,365,5,6,2,1,5,2,2,2,2,5,2,1
40,366,5,5,3,6,6,9,9,9,13,13,3,5
41,367,5,1,3,4,4,13,13,4,4,4,1,0
42,368,5,7,8,8,10,3,3,3,4,3,4,9
43,369,5,9,5,6,7,3,3,3,8,3,3,3
44,370,5,12,14,1,3,14,14,2,4,11,3,0
45,371,5,4,3,5,3,14,14,14,14,9,4,3
46,372,5,4,3,2,4,4,4,11,11,14,3,7
47,373,6,5,4,3,3,2,2,2,1,9,13,4
48,374,6,6,7,4,4,2,2,2,2,2,2,16
49,375,6,5,3,5,1,1,1,2,4,1,4,0
50,376,6,6,8,6,8,4,4,14,2,10,12,0
51,377,6,6,7,10,10,4,4,4,4,4,3,0
52,378,6,2,5,2,5,4,4,14,3,14,8,14
53,379,6,6,10,3,1,1,1,5,5,2,3,4
54,380,6,6,3,3,3,2,2,2,15,3,4,12
55,381,6,1,3,6,8,5,5,5,5,5,5,3
56,382,6,9,8,12,12,3,3,3,3,3,2,4
57,383,6,5,4,9,7,2,2,2,2,2,16,13
58,384,7,4,5,4,4,11,11,11,3,2,14,0
59,385,7,10,9,10,9,15,15,2,2,12,11,0
60,386,7,7,8,10,10,4,4,4,2,3,14,0
61,387,7,5,6,7,6,10,10,14,2,14,14,0
62,388,7,1,2,5,3,2,2,3,4,4,3,0
63,389,7,7,8,8,10,3,3,3,4,4,4,2
64,390,7,3,7,8,6,4,4,4,4,4,4,3
65,391,7,7,9,9,8,13,13,13,2,2,9,2
66,392,7,5,13,11,11,9,9,3,3,2,15,2
67,393,7,8,10,9,8,12,12,12,12,16,5,16
68,394,7,7,7,10,7,3,3,3,3,15,4,0
69,395,8,8,9,7,9,2,2,14,5,3,12,2
70,396,8,8,11,11,13,14,14,3,5,2,3,0
71,397,8,8,10,6,10,3,3,15,15,3,15,4
72,398,8,5,9,12,11,3,3,3,3,3,2,4
73,399,8,7,6,10,6,4,4,13,9,3,2,0
74,400,8,2,4,2,2,2,2,12,11,5,2,11
75,401,8,4,5,6,9,4,4,4,3,3,13,3
76,402,8,8,7,6,9,3,3,3,3,3,5,3
77,403,8,8,7,9,8,4,4,4,3,3,13,14
78,404,8,9,9,5,3,5,5,1,4,2,2,3
79,405,8,8,7,9,9,14,14,10,10,9,14,4
80,406,9,9,10,9,10,3,3,3,2,2,3,6
81,407,9,8,6,10,8,11,11,6,6,14,3,12
82,408,9,15,13,13,11,5,5,15,1,2,14,3
83,409,9,9,15,6,7,4,4,3,9,5,14,3
84,410,9,10,10,10,10,13,13,3,3,13,9,15
85,411,9,10,7,8,6,4,4,14,3,15,2,1
86,412,9,9,6,7,6,3,3,3,15,15,9,4
87,413,9,6,9,10,8,3,3,3,3,3,3,11
88,414,9,9,11,7,9,3,3,4,3,2,2,0
89,415,9,9,9,11,13,3,3,3,4,4,3,3
90,416,9,9,10,8,9,5,5,5,6,10,10,0
91,417,10,11,13,11,15,8,8,13,4,12,8,5
92,418,10,3,13,12,12,9,9,9,3,12,3,0
93,419,10,10,14,13,12,3,3,5,14,3,4,0
94,420,10,11,8,3,4,4,4,4,16,15,3,0
95,421,10,8,11,14,13,3,3,2,2,4,4,3
96,422,10,6,12,11,13,7,7,10,4,4,9,0
97,423,10,11,11,10,10,3,3,3,3,15,3,13
98,424,10,10,7,3,1,1,1,2,2,3,14,0
99,425,10,3,1,4,4,2,2,2,13,13,3,3
100,426,10,8,8,14,13,2,2,3,3,3,3,4
101,427,11,8,6,6,9,16,16,16,15,2,4,5
102,428,11,11,6,11,11,8,8,4,13,2,2,4
103,429,11,12,13,11,15,4,4,2,2,15,11,0
104,430,11,7,6,6,10,3,3,3,14,4,11,0
105,431,11,10,7,7,7,14,14,12,12,2,5,4
106,432,11,10,11,13,15,3,3,2,2,1,13,0
107,433,11,9,8,7,9,3,3,2,14,7,5,2
108,434,11,11,10,8,7,9,9,9,9,3,15,0
109,435,11,11,10,5,2,3,3,3,3,14,1,0
110,436,11,10,6,8,8,4,4,9,15,16,4,2
111,437,0,0,0,0,0,0,0,0,0,8,2,2
112,438,12,12,15,13,14,4,4,4,4,2,3,14
113,439,12,15,13,15,14,16,16,2,16,15,3,16
114,440,12,12,6,7,6,13,13,13,9,9,2,9
115,441,12,12,9,9,9,5,5,5,5,15,9,0
116,442,12,11,12,14,12,4,4,3,12,4,16,0
117,443,12,12,9,9,7,2,2,2,3,15,10,0
118,444,12,15,14,14,14,12,12,8,3,3,14,15
119,445,12,12,6,8,7,15,15,15,16,16,3,5
120,446,12,13,14,7,6,3,3,3,3,8,3,3
121,447,13,13,14,15,11,5,5,4,2,14,2,3
122,448,13,7,7,8,6,12,12,3,3,10,15,3
123,449,13,11,13,12,11,4,4,4,1,13,1,15
124,450,13,12,12,11,12,14,14,8,8,6,5,9
125,451,13,14,12,13,14,15,15,3,4,15,3,14
126,452,13,13,14,13,11,14,14,9,9,5,3,0
127,453,13,12,11,9,6,3,3,3,3,4,2,14
128,454,13,15,11,15,12,15,15,4,2,5,7,0
129,455,13,13,15,12,14,11,11,11,11,14,3,3
130,456,14,13,13,12,14,12,12,14,4,14,14,3
131,457,14,13,12,15,13,15,15,15,9,14,3,13
132,458,14,14,15,14,15,14,14,4,10,7,11,11
133,459,14,13,13,11,13,14,14,11,11,4,5,14
134,460,14,10,14,13,12,4,4,6,5,3,2,2
135,461,14,13,11,11,12,11,11,5,3,12,10,6
136,462,14,14,11,15,11,15,15,15,15,5,4,12
137,463,15,15,15,12,14,15,15,15,15,15,14,14
138,464,15,14,11,14,13,5,5,5,5,3,3,13
139,465,15,14,12,13,11,14,14,3,14,2,4,12
140,466,15,13,12,13,11,5,5,16,4,3,15,2
141,467,15,14,12,12,13,16,16,14,14,5,6,3
142,468,0,0,0,0,0,0,0,0,0,9,15,1
143,469,0,0,0,0,0,0,0,0,0,14,11,0
144,470,0,0,0,0,0,0,0,0,0,6,12,4
145,471,16,16,16,16,16,16,16,16,16,16,16,16
146,472,16,16,16,16,16,16,16,16,16,16,16,16
147,473,16,16,16,16,16,16,16,16,16,16,16,16
148,474,16,16,16,16,16,16,16,16,16,16,16,16
149,475,17,17,17,17,17,17,17,17,17,17,17,17
150,476,16,16,16,16,16,16,16,16,16,16,16,16
151,477,5,5,5,5,5,5,5,5,5,5,5,5
152,478,10,10,10,10,10,10,10,10,10,10,10,10
153,479,15,15,15,15,15,15,15,15,15,15,15,15
154,480,0,0,0,0,0,0,0,16,16,16,16,16
