"rownum","StatsKey","Description","BaseItemTypesKey","ModsKey"
0,19713,"Quality (Elemental Damage Modifiers)",278,0
1,19714,"Quality (Caster Modifiers)",279,1
2,19715,"Quality (Attack Modifiers)",280,2
3,19716,"Quality (Defence Modifiers)",281,3
4,19717,"Quality (Life and Mana Modifiers)",282,4
5,19718,"Quality (Resistance Modifiers)",283,5
6,19719,"Quality (Attribute Modifiers)",284,6
7,19720,"Quality (Physical and Chaos Damage Modifiers)",285,7
8,19721,"Quality (Speed Modifiers)",286,8
9,19722,"Quality (Critical Modifiers)",287,9
