"rownum","Id","BaseItemTypesKey","i32","i32","i32","i32","i32","bool"
0,"Metadata/Items/Currency/CurrencyWeaponQuality",0,496,56,0,1,1,1
1,"Metadata/Items/Currency/CurrencyIdentification",1,116,56,1,1,1,1
2,"Metadata/Items/Currency/CurrencyRerollRare",2,757,161,2,1,1,1
3,"Metadata/Items/Currency/CurrencyArmourQuality",4,583,56,3,1,1,1
4,"Metadata/Items/Currency/CurrencyDuplicate",5,480,161,4,1,1,1
5,"Metadata/Items/Currency/CurrencyUpgradeToRare",6,670,161,5,1,1,1
6,"Metadata/Items/Currency/CurrencyUpgradeRandomly",7,290,161,6,1,1,1
7,"Metadata/Items/Currency/CurrencyPassiveRefund",8,583,626,7,1,1,1
8,"Metadata/Items/Currency/CurrencyUpgradeToMagic",10,29,161,8,1,1,1
9,"Metadata/Items/Currency/CurrencyRerollMagic",11,116,161,9,1,1,1
10,"Metadata/Items/Currency/CurrencyConvertToNormal",12,29,431,10,1,1,1
11,"Metadata/Items/Currency/CurrencyAddModToRare",13,393,161,11,1,1,1
12,"Metadata/Items/Currency/CurrencyUpgradeMagicToRare",14,583,161,12,1,1,1
13,"Metadata/Items/Currency/CurrencyAddModToMagic",15,290,243,13,1,1,1
14,"Metadata/Items/Currency/CurrencyPortal",16,204,56,14,1,1,1
15,"Metadata/Items/Currency/CurrencyFlaskQuality",17,670,56,15,1,1,1
16,"Metadata/Items/Currency/CurrencyGemQuality",18,757,56,16,1,1,1
17,"Metadata/Items/Currency/CurrencyRerollSocketColours",19,290,349,17,1,1,1
18,"Metadata/Items/Currency/CurrencyRerollSocketLinks",20,204,349,18,1,1,1
19,"Metadata/Items/Currency/CurrencyRerollSocketNumbers",21,116,349,19,1,1,1
20,"Metadata/Items/Currency/CurrencyModValues",22,843,243,20,1,1,1
21,"Metadata/Items/Currency/CurrencyRerollImplicit",23,204,431,21,1,1,1
22,"Metadata/Items/Currency/CurrencyMapQuality",25,843,56,22,1,1,1
23,"Metadata/Items/Currency/CurrencyIdentificationShard",26,29,56,23,1,1,1
24,"Metadata/Items/Currency/CurrencyUpgradeToMagicShard",27,29,243,24,1,1,1
25,"Metadata/Items/Currency/CurrencyRerollMagicShard",28,116,243,25,1,1,1
26,"Metadata/Items/Currency/CurrencyUpgradeToRareShard",29,670,243,26,1,1,1
27,"Metadata/Items/Currency/CurrencyCorrupt",33,290,431,27,1,1,1
28,"CraftingSlot","",405,338,28,2,4,1
29,"Generic1","",179,722,30,1,1,1
30,"Generic2","",265,722,31,1,1,1
31,"Generic3","",351,722,32,1,1,1
32,"Generic4","",437,722,33,1,1,1
33,"Generic5","",522,722,34,1,1,1
34,"Metadata/Items/Currency/CurrencySilverCoin",40,757,626,35,1,1,1
35,"Metadata/Items/Currency/CurrencyAddAtlasMod",176,583,543,36,1,1,1
36,"Metadata/Items/Currency/CurrencyAddAtlasModMid",177,670,543,37,1,1,1
37,"Metadata/Items/Currency/CurrencyAddAtlasModHigh",178,757,543,38,1,1,1
38,"Metadata/Items/Currency/CurrencyPerandusCoin",39,843,622,39,1,1,""
39,"Generic6","",610,722,40,1,1,1
40,"Generic7","",697,722,41,1,1,1
41,"Generic8","",179,808,42,1,1,1
42,"Generic9","",265,808,43,1,1,1
43,"Generic10","",351,808,44,1,1,1
44,"Generic11","",437,808,45,1,1,1
45,"Generic12","",522,808,46,1,1,1
46,"Generic13","",610,808,47,1,1,1
47,"Generic14","",697,808,48,1,1,1
48,"Metadata/Items/Currency/CurrencyRerollRareShard",213,757,243,49,1,1,1
49,"Metadata/Items/Currency/CurrencyDuplicateShard",214,480,243,50,1,1,1
50,"Metadata/Items/Currency/CurrencyAddModToRareShard",215,393,243,51,1,1,1
51,"Metadata/Items/Currency/CurrencyUpgradeMagicToRareShard",216,583,243,52,1,1,1
52,"Metadata/Items/Currency/CurrencyRemoveModShard",207,204,243,53,1,1,1
53,"Metadata/Items/Currency/CurrencyRemoveMod",200,204,161,54,1,1,1
54,"Metadata/Items/Currency/CurrencyRerollMapType",202,843,349,55,1,1,1
55,"Metadata/Items/Currency/CurrencyRerollMapTypeShard",209,843,431,56,1,1,1
56,"Metadata/Items/Currency/CurrencyUpgradeMapTier",203,757,349,57,1,1,1
57,"Metadata/Items/Currency/CurrencyRerollUnique",206,116,543,58,1,1,1
58,"Metadata/Items/Currency/CurrencyUpgradeToRareAndSetSockets",201,204,543,59,1,1,1
59,"Metadata/Items/Currency/CurrencyStrongboxQuality",204,290,543,60,1,1,1
60,"Metadata/Items/AtlasExiles/ApplyInfluence",8160,393,626,61,1,1,1
61,"Metadata/Items/Currency/CurrencyRerollUniqueShard",212,116,626,62,1,1,1
62,"Metadata/Items/Currency/CurrencyUpgradeToRareAndSetSocketsShard",208,204,626,63,1,1,1
63,"Metadata/Items/Currency/CurrencyUpgradeMapTierShard",210,757,431,64,1,1,1
