"rownum","Id","Name","Stats","StatsValues","Points","HASH16","Icon","IconMaxed","SoundEffect","i32","Quest"
0,"JewellerySpeed","Chaotic Adornment",[14794],[5],5,5415,"Art/2DArt/SkillIcons/HellscapePassives/JewelleryandFlaskMicro.dds","Art/2DArt/SkillIcons/HellscapePassives/JewelleryandFlaskMicroMaxed.dds","",1161,""
1,"ArmourSpeed","Twisted Metal",[14790],[5],5,34224,"Art/2DArt/SkillIcons/HellscapePassives/ArmourMicro.dds","Art/2DArt/SkillIcons/HellscapePassives/ArmourMicroMaxed.dds","",1161,""
2,"WeaponSpeed","Murderous Desecration","[14791,14793]","[5,5]",5,10836,"Art/2DArt/SkillIcons/HellscapePassives/WeaponMicro.dds","Art/2DArt/SkillIcons/HellscapePassives/WeaponMicroMaxed.dds","",1161,""
3,"MapSpeed","Fervent Dreams",[14792],[5],5,34087,"Art/2DArt/SkillIcons/HellscapePassives/MapsMicro.dds","Art/2DArt/SkillIcons/HellscapePassives/MapsMicroMaxed.dds","",1161,""
4,"MicrowaveSlotNonMap1","Alternate History",[15260],[1],1,13590,"Art/2DArt/SkillIcons/HellscapePassives/MicrowaveUniqueItems.dds","Art/2DArt/SkillIcons/HellscapePassives/MicrowaveUniqueItemsMaxed.dds",336,1161,""
5,"MicrowaveSlotNonMap2","Crushed Organs",[14772],[1],1,46379,"Art/2DArt/SkillIcons/HellscapePassives/NonMapsSlotMicro.dds","Art/2DArt/SkillIcons/HellscapePassives/NonMapsSlotMicroMaxed.dds",294,1161,""
6,"MicrowaveSlotMap","Restless Nightmares",[14773],[1],1,32734,"Art/2DArt/SkillIcons/HellscapePassives/MapsSlotMicro.dds","Art/2DArt/SkillIcons/HellscapePassives/MapsSlotMicroMaxed.dds",295,1157,182
7,"AddSocketNumber","Trypophobia",[14796],[3],5,15734,"Art/2DArt/SkillIcons/HellscapePassives/AddAdditionalSlot.dds","Art/2DArt/SkillIcons/HellscapePassives/AddAdditionalSlotMaxed.dds","",1161,""
8,"AddSocketLink","Stitched Wounds",[14797],[3],5,50796,"Art/2DArt/SkillIcons/HellscapePassives/LinkAdditionalSlot.dds","Art/2DArt/SkillIcons/HellscapePassives/LinkAdditionalSlotMaxed.dds","",1161,""
9,"HellscapingSpeedPerHellscapeTierOnMap","Warped Sluice",[15116],[1],5,31773,"Art/2DArt/SkillIcons/HellscapePassives/AddCorruptedImplicitModifier.dds","Art/2DArt/SkillIcons/HellscapePassives/AddCorruptedImplicitModifierMaxed.dds","",1161,""
10,"AddExplicitModifier","Golden Blood",[14799],[4],5,46764,"Art/2DArt/SkillIcons/HellscapePassives/AddExplicitModifier.dds","Art/2DArt/SkillIcons/HellscapePassives/AddExplicitModifierMaxed.dds","",1161,""
11,"UpgradeExplicitModifier","Intensifying Emulsion",[14800],[2],5,5968,"Art/2DArt/SkillIcons/HellscapePassives/UpgradeExplicitModifierByOne.dds","Art/2DArt/SkillIcons/HellscapePassives/UpgradeExplicitModifierByOneMaxed.dds","",1161,""
12,"IncreasedUpsideTier","Anomalous Aura",[14801],[2],5,38827,"Art/2DArt/SkillIcons/HellscapePassives/GenerateHellscapeUpside.dds","Art/2DArt/SkillIcons/HellscapePassives/GenerateHellscapeUpsideMaxed.dds","",1161,""
13,"ReducedDownsideTier","Stabilising Energy",[14802],[2],5,46437,"Art/2DArt/SkillIcons/HellscapePassives/GenerateHellscapeDownside.dds","Art/2DArt/SkillIcons/HellscapePassives/GenerateHellscapeDownsideMaxed.dds","",1161,""
14,"AdditionalUpside","Strange Forces",[14803],[1],5,49509,"Art/2DArt/SkillIcons/HellscapePassives/GenerateAdditionalHellscapeUpside.dds","Art/2DArt/SkillIcons/HellscapePassives/GenerateAdditionalHellscapeUpsideMaxed.dds","",1161,""
