"rownum","Id","i32","i32","SpawnWeight","rid","rid","Extra_ModsKeys","bool","bool","bool","rid","i32","i32","i32","i32","rid","rid","rid","bool","rid","bool","rid"
0,"KillMapBoss",100,0,100,660,"",[],"",1,"","",0,0,0,0,1545,1546,1547,"","",1,""
1,"KillExiles",100,0,100,664,"",[],"",1,"",2236,0,0,2,2,1568,1568,1569,"","","",""
2,"FindMap",100,0,100,661,"",[],1,"","","",0,0,0,0,1553,"","","","","",""
3,"FindUnique",100,0,100,662,"",[],1,"","","",0,0,0,0,1554,"","","","","",""
4,"FindDivCard",100,0,100,670,"",[],1,"","","",0,0,0,0,1555,"","","","","",""
5,"FindVaalFragment",100,0,100,671,"",[],1,"","","",0,0,0,0,1556,"","","","","",""
6,"CompleteMission",0,0,100,663,"",[],"","",1,"",0,0,0,0,1557,"","","","","",""
7,"CompleteUberLabTrial",100,73,100,674,"",[],"","",1,4797,0,0,1,1,1559,"","",1,"",1,""
8,"CompleteAbyss",80,0,100,673,"",[],"","","",6643,0,0,1,1,1560,1561,1562,"","","",""
9,"KillMonsters1",50,0,100,665,1312,[],"",1,"","",0,0,3,5,1548,1548,1549,"","","",""
10,"KillMonsters2",25,0,100,665,1301,[],"",1,"","",0,0,3,5,1548,1548,1549,"","","",""
11,"KillMonsters3",25,0,100,665,1302,[],"",1,"","",0,0,3,5,1548,1548,1549,"","","",""
12,"KillMonsters4",0,0,100,665,915,[],"",1,"","",0,0,3,5,1548,1548,1549,"","","",""
13,"KillMonsters5",0,0,100,665,916,[],"",1,"","",0,0,3,5,1548,1548,1549,"","","",""
14,"KillMonsters6",0,0,100,665,917,[],"",1,"","",0,0,3,5,1548,1548,1549,"","","",""
15,"KillMonsters7",0,0,100,665,918,[],"",1,"","",0,0,3,5,1548,1548,1549,"","","",""
16,"KillMonsters8",0,0,100,665,919,[],"",1,"","",0,0,3,5,1548,1548,1549,"","","",""
17,"KillMonsters9",0,0,100,665,920,[],"",1,"","",0,0,3,5,1548,1548,1549,"","","",""
18,"KillMonsters10",0,0,100,665,921,[],"",1,"","",0,0,3,5,1548,1548,1549,"","","",""
19,"TagObjects",100,0,100,659,"",[],"","","","",8,10,13,13,1543,1543,1544,"","","",""
20,"CompleteMap",100,0,100,694,"",[],"",1,"","",0,0,0,0,1558,"","","","",1,""
21,"KillBeyondBoss",80,0,100,676,"",[],"",1,"",5737,0,0,1,1,1570,"","","","","",""
22,"KillWarband",80,0,100,678,"",[],"",1,"",3128,0,0,1,1,1571,1572,1573,"","","",""
23,"KillEssenceMonster",80,0,100,679,"",[],"",1,"",4879,0,0,2,2,1574,1575,1576,"","","",""
24,"KillInvasionBoss",80,0,100,680,"",[],"",1,"",2456,0,0,1,1,1577,1578,1579,"","","",""
25,"KillHarbinger",80,0,100,681,"",[],"",1,"",6306,0,0,2,2,1580,1581,1582,"","","",""
26,"OpenUniqueStrongbox",20,0,100,677,"",[],"","","","",0,0,0,0,1585,"","","","","",""
27,"OpenBreach",80,0,100,672,"",[],"","",1,5471,0,0,2,2,1586,1587,1588,"","","",""
28,"CompleteUniqueMap",0,0,100,686,"",[],"",1,1,"",0,0,0,0,1558,"","",1,"",1,""
29,"CompleteSynthesisMap",0,0,100,685,"",[],"",1,1,"",0,0,0,0,1552,"","",1,"",1,""
30,"CompleteElderGuardianMap",100,81,100,682,"",[],"",1,1,"",0,0,0,0,1550,"","",1,19727,1,""
31,"CompleteShaperGuardianMap",0,83,100,683,"",[],"",1,1,"",0,0,0,0,1551,"","",1,"",1,""
32,"CompleteLegion",80,0,100,684,"",[],"","","",9375,0,0,1,1,1563,"","","","","",""
33,"CompleteHarvest",80,0,100,691,"",[],"","",1,11828,0,0,1,1,1564,"","","","","",105
34,"CompleteBlightEncounter",64,0,100,692,"",[],"","",1,10077,0,0,1,1,1565,1566,"","","","",95
35,"CompleteBlightedMap",16,0,100,693,"",[],"","",1,"",0,0,0,0,1567,"","","",19515,1,96
36,"OpenDelirium",80,0,100,690,"",[],"","","",12503,0,0,1,1,1589,"","","","","",102
37,"KillMetamorph",80,0,100,689,"",[],"",1,"",11490,0,0,1,1,1583,"",1584,"","","",97
