"rownum","Id","Value","i32"
0,"MonsterDamageReductionImprovement",670,100
1,"MonsterAccuracyBase",13,1
2,"MonsterAccuracyIncremental",38,1
3,"MonsterAccuracyImprovement",300,100
4,"MonsterEvasionBase",50,1
5,"MonsterEvasionIncremental",16,1
6,"MonsterEvasionIncrementalDexterity",16,1
7,"MonsterEvasionImprovement",212,100
8,"EnergyShieldRatioOfLife",40,1
9,"OldLeechModsEffectiveness",20,1
10,"AscendancyRespecCost",5,1
11,"SkillDamageBaseEffectiveness",3885209,1000000
12,"SkillDamageIncrementalEffectiveness",360246,1000000
13,"MaxHideoutDoodads",750,1
14,"AtlasAwakeningObjectiveCompletionBonus",4,1
15,"AtlasBonusObjectiveCompletionBonus",15,1
16,"PassiveTreeJewelDistanceMultiplier",120,100
