"rownum","BaseItemTypesKey","i32","Description","Hash","AchievementItemsKeys"
0,7892,111,"Essence Item",52571,[]
1,7893,131,"Currency Item",52259,[]
2,7894,151,"Unique Item",18701,[]
3,7895,121,"Map Item",22038,[]
4,7896,251,"Unique Map Item",6696,[]
5,7897,301,"Rare Abyss Item",41772,[]
6,7898,301,"Fragment Item",60390,[]
7,7899,301,"Scarab Item",32186,[]
8,7900,151,"Essence Item",23218,[]
9,7901,301,"Fossil Item",19642,[]
10,7902,221,"Expedition Item",40101,[]
11,7903,151,"Stacked Decks",34745,[]
12,7904,151,"Talisman Item",43064,[]
13,7905,161,"Enchanted Helmet",19352,[]
14,7906,1001,"6-Linked Armour Item",6078,[]
15,7907,141,"Currency Item",14134,[]
16,7908,1501,"League-specific Unique Item",4526,[]
17,7909,501,"Shaper or Elder Armour Item",61377,[]
18,7910,501,"Shaper or Elder Weapon Item",53204,[]
19,7911,701,"Shaper or Elder Trinket Item",61894,[]
20,7912,501,"Elder Map Item",39336,[]
21,7913,351,"Breach Item",43164,[]
22,7914,351,"valuable Currency Shards or Harbinger Item",50482,[]
23,7915,501,"high level Corrupted Gem or Valuable Gem",15068,[]
24,7916,301,"Item",31223,[]
25,7917,121,"Quality Gem",16288,[]
26,7918,151,"Bestiary Item",28161,[]
27,7919,221,"Blight Item",19373,[]
28,7920,221,"Metamorph Item",62324,[]
29,7921,431,"Delirium Item",23535,[]
30,7922,111,"Essence Item",46750,[]
31,7923,131,"Currency Item",54300,[]
32,7924,151,"Unique Item",59184,[]
33,7925,121,"Map Item",43361,[]
34,7926,251,"Unique Map Item",37492,[]
35,7927,301,"Rare Abyss Item",2531,[]
36,7928,301,"Fragment Item",4173,[]
37,7929,301,"Scarab Item",25303,[]
38,7930,151,"Essence Item",31454,[]
39,7931,301,"Fossil Item",51101,[]
40,7932,221,"Expedition Item",41074,[]
41,7933,151,"Stacked Decks",47490,[]
42,7934,151,"Talisman Item",23793,[]
43,7935,161,"Enchanted Helmet",42868,[]
44,7936,1001,"6-Linked Armour Item",12755,[]
45,7937,141,"Currency Item",30048,[]
46,7938,1501,"League-specific Unique Item",32094,[]
47,7939,501,"Shaper or Elder Armour Item",38195,[]
48,7940,501,"Shaper or Elder Weapon Item",28068,[]
49,7941,701,"Shaper or Elder Trinket Item",52048,[]
50,7942,501,"Elder Map Item",56725,[]
51,7943,351,"Breach Item",39939,[]
52,7944,351,"valuable Currency Shards or Harbinger Item",19733,[]
53,7945,501,"high level Corrupted Gem or Valuable Gem",41974,[]
54,7946,301,"Item",55071,[]
55,7947,121,"Quality Gem",43471,[]
56,7948,151,"Bestiary Item",58563,[]
57,7949,221,"Blight Item",24651,[]
58,7950,221,"Metamorph Item",65346,[]
59,7951,431,"Delirium Item",12740,[]
