"rownum","BuffDefinitions","[i32]","StatsKeys","i32","[i32]","i32","i32","[i32]"
0,854,[],"[477,447]",0,[],0,0,[]
1,873,[],"[6241,6245]",0,[],1,0,[]
2,898,[],[346],25,"[1,2,0]",2,0,[]
3,900,"[1,1]",[477],0,[],3,0,[]
4,902,[],"[173,172,6249,1115]",0,[],4,0,[]
5,904,[],"[24,477,70,177]",0,[],5,0,[]
6,1083,[],"[24,70,216,177,477]",0,[],6,0,[]
7,897,[],"[6380,6381,6382]",0,[],7,0,[]
8,1144,[1],[],30,[2],8,0,[]
9,1263,[],[],0,[],9,0,[]
10,1310,[],"[177,70]",0,[],10,0,[]
11,1392,[],[24],0,[],11,0,[]
12,1403,[],"[717,24]",0,[],12,0,[]
13,1429,[],"[43,44,611,4999,477]",0,[],13,0,[]
14,1430,[],"[50,51,7426,477]",0,[],14,0,[]
15,1431,[],"[57,58,7427,477,659]",0,[],15,0,[]
16,1432,[],"[28,29,477,1905]",0,[],16,0,[]
17,1440,[],[140],0,[],17,0,[]
18,1444,[],[1954],200,"[2,9,13]",18,100,[]
19,1444,[],[1954],200,"[2,9,13]",19,85,[]
20,1444,[],[1954],200,"[2,9,13]",20,70,[]
21,1444,[],[1954],200,"[2,9,13]",21,55,[]
22,1444,[],[1954],200,"[2,9,13]",22,35,[]
23,1416,[],"[5875,5876,5878,5879,346]",74,"[2,9,10]",23,0,[]
24,1417,[],"[5875,5876,5878,5879,346]",55,"[2,9,10]",24,0,[]
25,1455,[],"[5875,5876,5878,5879,346]",74,"[2,9,18]",25,0,[]
26,1456,[],"[5875,5876,5878,5879,346]",55,"[2,9,18]",26,0,[]
27,905,[],"[24,477,70,177,3412]",0,[],28,0,[]
28,901,"[1,1,1]",[477],0,[],29,0,[]
29,903,[],"[173,172,6249,1115,10631]",0,[],30,0,[]
30,899,[],[346],35,"[1,0]",31,0,[]
31,906,[],"[595,659]",0,[],32,0,[]
32,1657,[],[1953],23,"[2,4,9]",33,0,[]
33,1657,[],[1953],11,"[2,4,9]",34,0,[]
34,1718,[],"[477,151,153]",16,"[2,10]",35,0,[]
35,1721,[],[346],0,[],36,0,[]
36,1737,[-8],[1957],120,"[2,9,10]",37,0,[]
37,1741,[],[477],28,"[1,9,14]",38,0,[]
38,1720,[],[346],120,"[0,1,2,9]",39,0,[]
39,1748,[],"[139,138]",0,[],40,0,[]
40,1657,[],[1953],23,"[2,3,9]",41,0,[]
41,1657,[],[1953],11,"[2,3,9]",42,0,[]
42,1776,[],[2566],14,[2],43,0,[]
43,1777,[],[2566],14,[2],44,0,[400]
44,1803,[],[],0,[],45,0,[]
45,1868,[],[1951],150,"[2,9,13]",46,55,[]
46,1805,[10],[],0,[],1000,0,"[1,50]"
