"rownum","Slot","ClusterJewelSize","i32","ReplacesSlot","ProxySlot","[i32]"
0,1219,"",0,"","",[]
1,1220,"",0,"","",[]
2,1221,"",0,"","",[]
3,1222,"",0,"","",[]
4,1223,"",0,"","",[]
5,1224,"",0,"","",[]
6,1225,"",0,"","",[]
7,1226,"",0,"","",[]
8,1227,"",0,"","",[]
9,1228,"",0,"","",[]
10,1229,"",0,"","",[]
11,1230,2,0,"",3001,"[3,5,5]"
12,1231,2,1,"",3002,"[0,11,11]"
13,1232,2,2,"",3003,"[2,3,3]"
14,1233,"",0,"","",[]
15,1234,2,3,"",3004,"[1,1,1]"
16,1235,"",0,"","",[]
17,1236,2,4,"",3005,"[5,9,9]"
18,1237,"",0,"","",[]
19,1238,"",0,"","",[]
20,1239,2,5,"",3006,"[4,7,7]"
21,2965,1,0,11,3007,"[2,3]"
22,2966,1,1,11,3008,"[3,5]"
23,2967,1,2,11,3009,"[3,7]"
24,2968,0,0,21,3010,[1]
25,2969,0,0,22,3011,[2]
26,2970,0,0,23,3012,[3]
27,2971,1,0,12,3013,"[5,9]"
28,2972,1,1,12,3014,"[5,11]"
29,2973,1,2,12,3015,"[0,1]"
30,2974,0,0,27,3016,[4]
31,2975,0,0,28,3017,[5]
32,2976,0,0,29,3018,[0]
33,2977,1,0,13,3019,"[1,1]"
34,2978,1,1,13,3020,"[2,3]"
35,2979,1,2,13,3021,"[3,5]"
36,2980,0,0,33,3022,[0]
37,2981,0,0,34,3023,[1]
38,2982,0,0,35,3024,[2]
39,2983,1,0,15,3025,"[5,11]"
40,2984,1,1,15,3026,"[1,1]"
41,2985,1,2,15,3027,"[2,3]"
42,2986,0,0,39,3028,[5]
43,2987,0,0,40,3029,[0]
44,2988,0,0,41,3030,[1]
45,2989,1,0,17,3031,"[4,7]"
46,2990,1,1,17,3032,"[5,9]"
47,2991,1,2,17,3033,"[5,11]"
48,2992,0,0,45,3034,[3]
49,2993,0,0,46,3035,[4]
50,2994,0,0,47,3036,[5]
51,2995,1,0,20,3037,"[3,5]"
52,2996,1,1,20,3038,"[4,7]"
53,2997,1,2,20,3039,"[5,9]"
54,2998,0,0,51,3040,[2]
55,2999,0,0,52,3041,[3]
56,3000,0,0,53,3042,[4]
