"rownum","Id","StatsKey","FormatText","i32"
0,"Mana",11746,"{0} Mana",1
1,"Life",14015,"{0} Life",1
2,"ES",14874,"{0} Energy Shield",1
3,"Rage",14052,"{0} Rage",1
4,"ManaPercent",14014,"{0}% Mana",1
5,"LifePercent",14016,"{0}% Life",1
6,"UnreservedManaPercent",14283,"[DNT] {0}% Unreserved Mana ",1
7,"ManaPerMinute",14704,"{0} Mana per second",60
8,"LifePerMinute",14705,"{0} Life per second",60
9,"ManaPercentPerMinute",14708,"{0}% Mana per second",60
10,"LifePercentPerMinute",14709,"{0}% Life per second",60
11,"ESPerMinute",14786,"{0) Energy Shield per second",60
12,"ESPercentPerMinute",14787,"{0}% Energy Shield per second",60
