"rownum","Id","Name","Category","ItemClassCategory","RemovedIfLeavesArea","[rid]","[rid]","AllocateToMapOwner","AlwaysAllocate","CanHaveVeiledMods","i32","i32","AlwaysShow","CanBeCorrupted","CanHaveIncubators","CanHaveInfluence","CanBeDoubleCorrupted","CanHaveAspects","CanTransferSkin","ItemStance","CanScourge","bool"
0,"LifeFlask","Life Flasks","Flasks",0,"",[],[],"","","",2604,1161,"","","","","","",1,"","",""
1,"ManaFlask","Mana Flasks","Flasks",0,"",[],[],"","","",2604,1161,"","","","","","",1,"","",""
2,"HybridFlask","Hybrid Flasks","Flasks",0,"",[],[],"","","",2604,1161,"","","","","","",1,"","",""
3,"Currency","Currency","Other",5,"",[],[],"",1,"",2604,1161,"","","","","","","","","",""
4,"Amulet","Amulets","Jewellery",6,"",[],[],"","",1,2604,1161,"",1,1,1,1,1,1,"",1,1
5,"Ring","Rings","Jewellery",7,"",[],[],"","",1,2604,1161,"",1,1,1,1,1,1,"",1,1
6,"Claw","Claws","One Handed Weapon",8,"",[],[],"","",1,2604,1161,"",1,1,1,1,1,1,0,1,1
7,"Dagger","Daggers","One Handed Weapon",3,"",[],[],"","",1,2604,1161,"",1,1,1,1,1,1,1,1,1
8,"Wand","Wands","One Handed Weapon",9,"",[],[],"","",1,2604,1161,"",1,1,1,1,1,1,2,1,1
9,"One Hand Sword","One Hand Swords","One Handed Weapon",2,"",[],[],"","",1,2604,1161,"",1,1,1,1,1,1,3,1,1
10,"Thrusting One Hand Sword","Thrusting One Hand Swords","One Handed Weapon",2,"",[],[],"","",1,2604,1161,"",1,1,1,1,1,1,4,1,1
11,"One Hand Axe","One Hand Axes","One Handed Weapon",10,"",[],[],"","",1,2604,1161,"",1,1,1,1,1,1,3,1,1
12,"One Hand Mace","One Hand Maces","One Handed Weapon",1,"",[],[],"","",1,2604,1161,"",1,1,1,1,1,1,3,1,1
13,"Bow","Bows","Two Handed Weapon",11,"",[],[],"","",1,2604,1161,"",1,1,1,1,1,1,5,1,1
14,"Staff","Staves","Two Handed Weapon",4,"",[],[],"","",1,2604,1161,"",1,1,1,1,1,1,6,1,1
15,"Two Hand Sword","Two Hand Swords","Two Handed Weapon",12,"",[],[],"","",1,2604,1161,"",1,1,1,1,1,1,7,1,1
16,"Two Hand Axe","Two Hand Axes","Two Handed Weapon",13,"",[],[],"","",1,2604,1161,"",1,1,1,1,1,1,8,1,1
17,"Two Hand Mace","Two Hand Maces","Two Handed Weapon",14,"",[],[],"","",1,2604,1161,"",1,1,1,1,1,1,8,1,1
18,"Active Skill Gem","Active Skill Gems","Gems",15,"",[],[],"",1,"",2604,1161,"",1,"","","","","","","",""
19,"Support Skill Gem","Support Skill Gems","Gems",16,"",[],[],"",1,"",2604,1161,"",1,"","","","","","","",""
20,"Quiver","Quivers","Off-hand",17,"",[],[],"","",1,2604,1161,"",1,1,1,1,1,1,9,1,1
21,"Belt","Belts","Jewellery",18,"",[],[],"","",1,2604,1161,"",1,1,1,1,1,1,"",1,1
22,"Gloves","Gloves","Armor",19,"",[],[],"","",1,2604,1161,"",1,1,1,1,1,1,"",1,1
23,"Boots","Boots","Armor",20,"",[],[],"","",1,2604,1161,"",1,1,1,1,1,1,"",1,1
24,"Body Armour","Body Armours","Armor",21,"",[],[],"","",1,2604,1161,"",1,1,1,1,1,1,"",1,1
25,"Helmet","Helmets","Armor",22,"",[],[],"","",1,2604,1161,"",1,1,1,1,1,1,"",1,1
26,"Shield","Shields","Off-hand",23,"",[],[],"","",1,2604,1161,"",1,1,1,1,1,1,10,1,1
27,"SmallRelic","Small Relics","","","",[],[],"","","",2604,1161,"","","","","","","","","",""
28,"MediumRelic","Medium Relics","","","",[],[],"","","",2604,1161,"","","","","","","","","",""
29,"LargeRelic","Large Relics","","","",[],[],"","","",2604,1161,"","","","","","","","","",""
