"rownum","MonsterVarietiesKey","bool","rid"
0,2496,1,""
1,2500,1,15
2,2502,1,38
3,2514,1,""
4,2515,1,27
5,2519,1,15
6,2521,1,55
7,2484,1,5
8,2488,1,19
9,2492,1,26
10,2548,1,40
11,2551,1,48
12,2552,1,71
13,2536,1,25
14,2540,1,7
15,2542,1,54
16,2528,1,28
17,2531,1,9
18,2533,1,35
19,2506,1,8
20,2507,1,6
21,2511,1,70
22,2494,1,88
23,2503,1,15
24,2522,1,27
25,2545,1,8
26,2534,1,78
27,2501,"",23
28,2520,"",36
29,2493,"",18
30,2547,"",32
31,2541,"",34
32,2532,"",13
33,2510,"",35
34,4355,"",""
35,4357,"",""
36,4356,"",""
37,2561,"",""
38,2562,"",""
39,2565,"",""
40,2559,"",""
41,2563,"",""
42,2560,"",""
43,2564,"",""
44,2485,"",5
45,2497,"",""
46,2516,"",27
47,2529,"",28
48,2543,"",54
49,2549,"",40
50,2508,"",6
51,2512,1,78
52,2526,1,""
53,2513,1,""
54,2535,1,""
55,2546,1,""
56,2505,1,""
57,2527,1,81
