"rownum","Id","i32","f32","rid","rid","rid"
0,"Fire",4,24,3597,163,""
1,"Ice",4,0,6209,164,""
2,"CausticCloud",8,5,4597,466,""
3,"Tar",4,0,4946,165,""
4,"Smoke",8,0,12396,1492,""
5,"Desecration",4,24,2186,202,""
6,"Consecration",10,0,8685,203,1244
7,"Lightning",6,0,10288,227,""
8,"Maelstorm",4,4,4839,692,""
9,"Haste",4,0,"",778,""
10,"Sandstorm",0,24,"",868,""
11,"Blizzard",4,0,"",797,""
12,"Spores",4,24,7302,448,""
13,"DevouringDarkness",4,24,"",837,""
14,"Quicksand",0,24,7943,915,""
15,"Blood",0,24,14699,1115,""
16,"TemporalAnomaly",10,0,10088,1001,1399
17,"OrionMeteor",0,0,"",1425,227
18,"CrownOfThorns",4,24,"",1568,""
19,"VaalCloud",4,24,"",300,""
20,"Profane",10,0,"",1540,""
21,"ChaosOfferingOfJudgement",6,24,"",491,514
22,"FireOfferingOfJudgement",6,24,"",490,514
23,"DespairBearGeyser",0,24,"",861,""
24,"Fungal",0,0,"",1389,1391
25,"BestiarySpiderWeb",0,24,"",1031,""
26,"VaalColdSnap",4,24,7886,1109,""
27,"Oil",4,24,"",1624,1625
28,"Scorch",4,0,"",1717,""
29,"GravityWell",0,24,"",1755,""
30,"LightningVortex",4,4,13968,1781,227
